"name","region","date","value","value_daily"
"icu","CAN","2020-04-01",36,36
"icu","CAN","2020-04-02",124,88
"icu","CAN","2020-04-03",125,1
"icu","CAN","2020-04-04",126,1
"icu","CAN","2020-04-05",130,4
"icu","CAN","2020-04-06",132,2
"icu","CAN","2020-04-07",130,-2
"icu","CAN","2020-04-08",33,-97
"icu","CAN","2020-04-09",98,65
"icu","CAN","2020-04-10",95,-3
"icu","CAN","2020-04-11",92,-3
"icu","CAN","2020-04-12",90,-2
"icu","CAN","2020-04-13",84,-6
"icu","CAN","2020-04-14",85,1
"icu","CAN","2020-04-15",87,2
"icu","CAN","2020-04-16",86,-1
"icu","CAN","2020-04-17",82,-4
"icu","CAN","2020-04-18",85,3
"icu","CAN","2020-04-19",89,4
"icu","CAN","2020-04-20",79,-10
"icu","CAN","2020-04-21",82,3
"icu","CAN","2020-04-22",76,-6
"icu","CAN","2020-04-23",71,-5
"icu","CAN","2020-04-24",72,1
"icu","CAN","2020-04-25",69,-3
"icu","CAN","2020-04-26",68,-1
"icu","CAN","2020-04-27",64,-4
"icu","CAN","2020-04-28",68,4
"icu","CAN","2020-04-29",64,-4
"icu","CAN","2020-04-30",59,-5
"icu","CAN","2020-05-01",290,231
"icu","CAN","2020-05-02",296,6
"icu","CAN","2020-05-03",292,-4
"icu","CAN","2020-05-04",292,0
"icu","CAN","2020-05-05",290,-2
"icu","CAN","2020-05-06",281,-9
"icu","CAN","2020-05-07",277,-4
"icu","CAN","2020-05-08",264,-13
"icu","CAN","2020-05-09",258,-6
"icu","CAN","2020-05-10",258,0
"icu","CAN","2020-05-11",252,-6
"icu","CAN","2020-05-12",244,-8
"icu","CAN","2020-05-13",235,-9
"icu","CAN","2020-05-14",225,-10
"icu","CAN","2020-05-15",226,1
"icu","CAN","2020-05-16",216,-10
"icu","CAN","2020-05-17",208,-8
"icu","CAN","2020-05-18",221,13
"icu","CAN","2020-05-19",213,-8
"icu","CAN","2020-05-20",206,-7
"icu","CAN","2020-05-21",198,-8
"icu","CAN","2020-05-22",197,-1
"icu","CAN","2020-05-23",198,1
"icu","CAN","2020-05-24",188,-10
"icu","CAN","2020-05-25",192,4
"icu","CAN","2020-05-26",191,-1
"icu","CAN","2020-05-27",181,-10
"icu","CAN","2020-05-28",178,-3
"icu","CAN","2020-05-29",173,-5
"icu","CAN","2020-05-30",172,-1
"icu","CAN","2020-05-31",177,5
"icu","CAN","2020-06-01",177,0
"icu","CAN","2020-06-02",178,1
"icu","CAN","2020-06-03",171,-7
"icu","CAN","2020-06-04",167,-4
"icu","CAN","2020-06-05",163,-4
"icu","CAN","2020-06-06",161,-2
"icu","CAN","2020-06-07",158,-3
"icu","CAN","2020-06-08",157,-1
"icu","CAN","2020-06-09",161,4
"icu","CAN","2020-06-10",160,-1
"icu","CAN","2020-06-11",156,-4
"icu","CAN","2020-06-12",151,-5
"icu","CAN","2020-06-13",143,-8
"icu","CAN","2020-06-14",142,-1
