"name","region","date","value","value_daily"
"vaccine_administration_dose_2","CAN","2020-12-19",0,0
"vaccine_administration_dose_2","CAN","2020-12-20",0,0
"vaccine_administration_dose_2","CAN","2020-12-21",0,0
"vaccine_administration_dose_2","CAN","2020-12-22",0,0
"vaccine_administration_dose_2","CAN","2020-12-23",0,0
"vaccine_administration_dose_2","CAN","2020-12-24",0,0
"vaccine_administration_dose_2","CAN","2020-12-25",0,0
"vaccine_administration_dose_2","CAN","2020-12-26",0,0
"vaccine_administration_dose_2","CAN","2020-12-27",0,0
"vaccine_administration_dose_2","CAN","2020-12-28",0,0
"vaccine_administration_dose_2","CAN","2020-12-29",0,0
"vaccine_administration_dose_2","CAN","2020-12-30",0,0
"vaccine_administration_dose_2","CAN","2020-12-31",0,0
"vaccine_administration_dose_2","CAN","2021-01-01",0,0
"vaccine_administration_dose_2","CAN","2021-01-02",0,0
"vaccine_administration_dose_2","CAN","2021-01-03",0,0
"vaccine_administration_dose_2","CAN","2021-01-04",0,0
"vaccine_administration_dose_2","CAN","2021-01-05",0,0
"vaccine_administration_dose_2","CAN","2021-01-06",0,0
"vaccine_administration_dose_2","CAN","2021-01-07",0,0
"vaccine_administration_dose_2","CAN","2021-01-08",0,0
"vaccine_administration_dose_2","CAN","2021-01-09",4527,4527
"vaccine_administration_dose_2","CAN","2021-01-10",4527,0
"vaccine_administration_dose_2","CAN","2021-01-11",4527,0
"vaccine_administration_dose_2","CAN","2021-01-12",4527,0
"vaccine_administration_dose_2","CAN","2021-01-13",4527,0
"vaccine_administration_dose_2","CAN","2021-01-14",4527,0
"vaccine_administration_dose_2","CAN","2021-01-15",4527,0
"vaccine_administration_dose_2","CAN","2021-01-16",26769,22242
"vaccine_administration_dose_2","CAN","2021-01-17",26769,0
"vaccine_administration_dose_2","CAN","2021-01-18",26769,0
"vaccine_administration_dose_2","CAN","2021-01-19",26769,0
"vaccine_administration_dose_2","CAN","2021-01-20",26769,0
"vaccine_administration_dose_2","CAN","2021-01-21",26769,0
"vaccine_administration_dose_2","CAN","2021-01-22",26769,0
"vaccine_administration_dose_2","CAN","2021-01-23",59309,32540
"vaccine_administration_dose_2","CAN","2021-01-24",59309,0
"vaccine_administration_dose_2","CAN","2021-01-25",59309,0
"vaccine_administration_dose_2","CAN","2021-01-26",59309,0
"vaccine_administration_dose_2","CAN","2021-01-27",59309,0
"vaccine_administration_dose_2","CAN","2021-01-28",59309,0
"vaccine_administration_dose_2","CAN","2021-01-29",59309,0
"vaccine_administration_dose_2","CAN","2021-01-30",113662,54353
"vaccine_administration_dose_2","CAN","2021-01-31",113662,0
"vaccine_administration_dose_2","CAN","2021-02-01",113662,0
"vaccine_administration_dose_2","CAN","2021-02-02",113662,0
"vaccine_administration_dose_2","CAN","2021-02-03",113662,0
"vaccine_administration_dose_2","CAN","2021-02-04",113662,0
"vaccine_administration_dose_2","CAN","2021-02-05",113662,0
"vaccine_administration_dose_2","CAN","2021-02-06",173811,60149
"vaccine_administration_dose_2","CAN","2021-02-07",173811,0
"vaccine_administration_dose_2","CAN","2021-02-08",173811,0
