"name","region","date","value","value_daily"
"vaccine_administration_total_doses","CAN","2020-12-19",12362,12362
"vaccine_administration_total_doses","CAN","2020-12-20",12362,0
"vaccine_administration_total_doses","CAN","2020-12-21",12362,0
"vaccine_administration_total_doses","CAN","2020-12-22",12362,0
"vaccine_administration_total_doses","CAN","2020-12-23",12362,0
"vaccine_administration_total_doses","CAN","2020-12-24",12362,0
"vaccine_administration_total_doses","CAN","2020-12-25",12362,0
"vaccine_administration_total_doses","CAN","2020-12-26",46171,33809
"vaccine_administration_total_doses","CAN","2020-12-27",46171,0
"vaccine_administration_total_doses","CAN","2020-12-28",46171,0
"vaccine_administration_total_doses","CAN","2020-12-29",46171,0
"vaccine_administration_total_doses","CAN","2020-12-30",46171,0
"vaccine_administration_total_doses","CAN","2020-12-31",46171,0
"vaccine_administration_total_doses","CAN","2021-01-01",46171,0
"vaccine_administration_total_doses","CAN","2021-01-02",82516,36345
"vaccine_administration_total_doses","CAN","2021-01-03",82516,0
"vaccine_administration_total_doses","CAN","2021-01-04",82516,0
"vaccine_administration_total_doses","CAN","2021-01-05",82516,0
"vaccine_administration_total_doses","CAN","2021-01-06",82516,0
"vaccine_administration_total_doses","CAN","2021-01-07",82516,0
"vaccine_administration_total_doses","CAN","2021-01-08",82516,0
"vaccine_administration_total_doses","CAN","2021-01-09",221888,139372
"vaccine_administration_total_doses","CAN","2021-01-10",221888,0
"vaccine_administration_total_doses","CAN","2021-01-11",221888,0
"vaccine_administration_total_doses","CAN","2021-01-12",221888,0
"vaccine_administration_total_doses","CAN","2021-01-13",221888,0
"vaccine_administration_total_doses","CAN","2021-01-14",221888,0
"vaccine_administration_total_doses","CAN","2021-01-15",221888,0
"vaccine_administration_total_doses","CAN","2021-01-16",591735,369847
"vaccine_administration_total_doses","CAN","2021-01-17",591735,0
"vaccine_administration_total_doses","CAN","2021-01-18",591735,0
"vaccine_administration_total_doses","CAN","2021-01-19",591735,0
"vaccine_administration_total_doses","CAN","2021-01-20",591735,0
"vaccine_administration_total_doses","CAN","2021-01-21",591735,0
"vaccine_administration_total_doses","CAN","2021-01-22",591735,0
"vaccine_administration_total_doses","CAN","2021-01-23",834836,243101
"vaccine_administration_total_doses","CAN","2021-01-24",834836,0
"vaccine_administration_total_doses","CAN","2021-01-25",834836,0
"vaccine_administration_total_doses","CAN","2021-01-26",834836,0
"vaccine_administration_total_doses","CAN","2021-01-27",834836,0
"vaccine_administration_total_doses","CAN","2021-01-28",834836,0
"vaccine_administration_total_doses","CAN","2021-01-29",834836,0
"vaccine_administration_total_doses","CAN","2021-01-30",972926,138090
"vaccine_administration_total_doses","CAN","2021-01-31",972926,0
"vaccine_administration_total_doses","CAN","2021-02-01",972926,0
"vaccine_administration_total_doses","CAN","2021-02-02",972926,0
"vaccine_administration_total_doses","CAN","2021-02-03",972926,0
"vaccine_administration_total_doses","CAN","2021-02-04",972926,0
"vaccine_administration_total_doses","CAN","2021-02-05",972926,0
"vaccine_administration_total_doses","CAN","2021-02-06",1075278,102352
"vaccine_administration_total_doses","CAN","2021-02-07",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-08",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-09",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-10",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-11",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-12",1075278,0
"vaccine_administration_total_doses","CAN","2021-02-13",1280476,205198
"vaccine_administration_total_doses","CAN","2021-02-14",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-15",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-16",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-17",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-18",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-19",1280476,0
"vaccine_administration_total_doses","CAN","2021-02-20",1521897,241421
"vaccine_administration_total_doses","CAN","2021-02-21",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-22",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-23",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-24",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-25",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-26",1521897,0
"vaccine_administration_total_doses","CAN","2021-02-27",1919971,398074
"vaccine_administration_total_doses","CAN","2021-02-28",1919971,0
"vaccine_administration_total_doses","CAN","2021-03-01",1919971,0
"vaccine_administration_total_doses","CAN","2021-03-02",1919971,0
