"name","region","date","value","value_daily"
"vaccine_coverage_dose_1","CAN","2020-12-19",0.1,0.1
"vaccine_coverage_dose_1","CAN","2020-12-20",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-21",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-22",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-23",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-24",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-25",0.1,0
"vaccine_coverage_dose_1","CAN","2020-12-26",0.2,0.1
"vaccine_coverage_dose_1","CAN","2020-12-27",0.2,0
"vaccine_coverage_dose_1","CAN","2020-12-28",0.2,0
"vaccine_coverage_dose_1","CAN","2020-12-29",0.2,0
"vaccine_coverage_dose_1","CAN","2020-12-30",0.2,0
"vaccine_coverage_dose_1","CAN","2020-12-31",0.2,0
"vaccine_coverage_dose_1","CAN","2021-01-01",0.2,0
"vaccine_coverage_dose_1","CAN","2021-01-02",0.4,0.2
"vaccine_coverage_dose_1","CAN","2021-01-03",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-04",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-05",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-06",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-07",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-08",0.4,0
"vaccine_coverage_dose_1","CAN","2021-01-09",0.9,0.5
"vaccine_coverage_dose_1","CAN","2021-01-10",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-11",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-12",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-13",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-14",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-15",0.9,0
"vaccine_coverage_dose_1","CAN","2021-01-16",1.5,0.6
"vaccine_coverage_dose_1","CAN","2021-01-17",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-18",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-19",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-20",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-21",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-22",1.5,0
"vaccine_coverage_dose_1","CAN","2021-01-23",2,0.5
"vaccine_coverage_dose_1","CAN","2021-01-24",2,0
"vaccine_coverage_dose_1","CAN","2021-01-25",2,0
"vaccine_coverage_dose_1","CAN","2021-01-26",2,0
"vaccine_coverage_dose_1","CAN","2021-01-27",2,0
"vaccine_coverage_dose_1","CAN","2021-01-28",2,0
"vaccine_coverage_dose_1","CAN","2021-01-29",2,0
"vaccine_coverage_dose_1","CAN","2021-01-30",2.2,0.2
"vaccine_coverage_dose_1","CAN","2021-01-31",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-01",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-02",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-03",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-04",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-05",2.2,0
"vaccine_coverage_dose_1","CAN","2021-02-06",2.4,0.2
"vaccine_coverage_dose_1","CAN","2021-02-07",2.4,0
"vaccine_coverage_dose_1","CAN","2021-02-08",2.4,0
"vaccine_coverage_dose_1","CAN","2021-02-09",2.4,0
"vaccine_coverage_dose_1","CAN","2021-02-10",2.4,0
"vaccine_coverage_dose_1","CAN","2021-02-11",2.4,0
"vaccine_coverage_dose_1","CAN","2021-02-12",2.4,0
