"name","region","date","value","value_daily"
"icu","CAN","2020-01-25",0,0
"icu","CAN","2020-01-26",0,0
"icu","CAN","2020-01-27",0,0
"icu","CAN","2020-01-28",0,0
"icu","CAN","2020-01-29",0,0
"icu","CAN","2020-01-30",0,0
"icu","CAN","2020-01-31",0,0
"icu","CAN","2020-02-01",0,0
"icu","CAN","2020-02-02",0,0
"icu","CAN","2020-02-03",0,0
"icu","CAN","2020-02-04",0,0
"icu","CAN","2020-02-05",0,0
"icu","CAN","2020-02-06",0,0
"icu","CAN","2020-02-07",0,0
"icu","CAN","2020-02-08",0,0
"icu","CAN","2020-02-09",0,0
"icu","CAN","2020-02-10",0,0
"icu","CAN","2020-02-11",0,0
"icu","CAN","2020-02-12",0,0
"icu","CAN","2020-02-13",0,0
"icu","CAN","2020-02-14",0,0
"icu","CAN","2020-02-15",0,0
"icu","CAN","2020-02-16",0,0
"icu","CAN","2020-02-17",0,0
"icu","CAN","2020-02-18",0,0
"icu","CAN","2020-02-19",0,0
"icu","CAN","2020-02-20",0,0
"icu","CAN","2020-02-21",0,0
"icu","CAN","2020-02-22",0,0
"icu","CAN","2020-02-23",0,0
"icu","CAN","2020-02-24",0,0
"icu","CAN","2020-02-25",0,0
"icu","CAN","2020-02-26",0,0
"icu","CAN","2020-02-27",0,0
"icu","CAN","2020-02-28",0,0
"icu","CAN","2020-02-29",0,0
"icu","CAN","2020-03-01",0,0
"icu","CAN","2020-03-02",0,0
"icu","CAN","2020-03-03",0,0
"icu","CAN","2020-03-04",0,0
"icu","CAN","2020-03-05",0,0
"icu","CAN","2020-03-06",0,0
"icu","CAN","2020-03-07",0,0
"icu","CAN","2020-03-08",0,0
"icu","CAN","2020-03-09",0,0
"icu","CAN","2020-03-10",0,0
"icu","CAN","2020-03-11",0,0
"icu","CAN","2020-03-12",0,0
"icu","CAN","2020-03-13",1,1
"icu","CAN","2020-03-14",2,1
"icu","CAN","2020-03-15",2,0
"icu","CAN","2020-03-16",2,0
"icu","CAN","2020-03-17",6,4
"icu","CAN","2020-03-18",10,4
"icu","CAN","2020-03-19",12,2
"icu","CAN","2020-03-20",18,6
"icu","CAN","2020-03-21",21,3
"icu","CAN","2020-03-22",22,1
"icu","CAN","2020-03-23",24,2
"icu","CAN","2020-03-24",33,9
"icu","CAN","2020-03-25",37,4
"icu","CAN","2020-03-26",39,2
"icu","CAN","2020-03-27",39,0
"icu","CAN","2020-03-28",68,29
"icu","CAN","2020-03-29",70,2
"icu","CAN","2020-03-30",79,9
"icu","CAN","2020-03-31",83,4
"icu","CAN","2020-04-01",92,9
"icu","CAN","2020-04-02",266,174
"icu","CAN","2020-04-03",290,24
"icu","CAN","2020-04-04",288,-2
"icu","CAN","2020-04-05",301,13
"icu","CAN","2020-04-06",322,21
"icu","CAN","2020-04-07",331,9
"icu","CAN","2020-04-08",342,11
"icu","CAN","2020-04-09",365,23
"icu","CAN","2020-04-10",356,-9
"icu","CAN","2020-04-11",350,-6
"icu","CAN","2020-04-12",499,149
"icu","CAN","2020-04-13",506,7
"icu","CAN","2020-04-14",507,1
"icu","CAN","2020-04-15",503,-4
"icu","CAN","2020-04-16",521,18
"icu","CAN","2020-04-17",514,-7
"icu","CAN","2020-04-18",530,16
"icu","CAN","2020-04-19",526,-4
"icu","CAN","2020-04-20",512,-14
"icu","CAN","2020-04-21",528,16
"icu","CAN","2020-04-22",520,-8
"icu","CAN","2020-04-23",505,-15
"icu","CAN","2020-04-24",520,15
"icu","CAN","2020-04-25",543,23
"icu","CAN","2020-04-26",529,-14
"icu","CAN","2020-04-27",510,-19
"icu","CAN","2020-04-28",514,4
"icu","CAN","2020-04-29",517,3
"icu","CAN","2020-04-30",514,-3
"icu","CAN","2020-05-01",509,-5
"icu","CAN","2020-05-02",506,-3
"icu","CAN","2020-05-03",518,12
"icu","CAN","2020-05-04",508,-10
"icu","CAN","2020-05-05",510,2
"icu","CAN","2020-05-06",506,-4
"icu","CAN","2020-05-07",495,-11
"icu","CAN","2020-05-08",499,4
"icu","CAN","2020-05-09",471,-28
"icu","CAN","2020-05-10",461,-10
"icu","CAN","2020-05-11",454,-7
"icu","CAN","2020-05-12",441,-13
"icu","CAN","2020-05-13",426,-15
"icu","CAN","2020-05-14",426,0
"icu","CAN","2020-05-15",416,-10
"icu","CAN","2020-05-16",416,0
"icu","CAN","2020-05-17",401,-15
"icu","CAN","2020-05-18",401,0
"icu","CAN","2020-05-19",398,-3
"icu","CAN","2020-05-20",389,-9
"icu","CAN","2020-05-21",387,-2
"icu","CAN","2020-05-22",373,-14
"icu","CAN","2020-05-23",368,-5
"icu","CAN","2020-05-24",365,-3
"icu","CAN","2020-05-25",366,1
"icu","CAN","2020-05-26",369,3
"icu","CAN","2020-05-27",373,4
"icu","CAN","2020-05-28",362,-11
"icu","CAN","2020-05-29",354,-8
"icu","CAN","2020-05-30",340,-14
"icu","CAN","2020-05-31",336,-4
"icu","CAN","2020-06-01",347,11
"icu","CAN","2020-06-02",340,-7
"icu","CAN","2020-06-03",333,-7
"icu","CAN","2020-06-04",323,-10
"icu","CAN","2020-06-05",309,-14
"icu","CAN","2020-06-06",290,-19
"icu","CAN","2020-06-07",284,-6
"icu","CAN","2020-06-08",283,-1
"icu","CAN","2020-06-09",275,-8
"icu","CAN","2020-06-10",277,2
"icu","CAN","2020-06-11",277,0
"icu","CAN","2020-06-12",267,-10
"icu","CAN","2020-06-13",257,-10
"icu","CAN","2020-06-14",244,-13
"icu","CAN","2020-06-15",230,-14
"icu","CAN","2020-06-16",225,-5
"icu","CAN","2020-06-17",213,-12
"icu","CAN","2020-06-18",200,-13
"icu","CAN","2020-06-19",189,-11
"icu","CAN","2020-06-20",188,-1
"icu","CAN","2020-06-21",194,6
"icu","CAN","2020-06-22",181,-13
"icu","CAN","2020-06-23",179,-2
"icu","CAN","2020-06-24",174,-5
"icu","CAN","2020-06-25",167,-7
"icu","CAN","2020-06-26",158,-9
"icu","CAN","2020-06-27",151,-7
"icu","CAN","2020-06-28",146,-5
"icu","CAN","2020-06-29",141,-5
"icu","CAN","2020-06-30",135,-6
"icu","CAN","2020-07-01",125,-10
"icu","CAN","2020-07-02",120,-5
"icu","CAN","2020-07-03",118,-2
"icu","CAN","2020-07-04",114,-4
"icu","CAN","2020-07-05",106,-8
"icu","CAN","2020-07-06",101,-5
"icu","CAN","2020-07-07",96,-5
"icu","CAN","2020-07-08",97,1
"icu","CAN","2020-07-09",97,0
"icu","CAN","2020-07-10",102,5
"icu","CAN","2020-07-11",95,-7
