"name","region","sub_region_1","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"cases","AB",4831,"2023-05-15",41269,"2023-05-01",41238,14,31
"cases","AB",4832,"2023-05-15",254529,"2023-05-01",254292,14,237
"cases","AB",4833,"2023-05-15",65020,"2023-05-01",64959,14,61
"cases","AB",4834,"2023-05-15",204073,"2023-05-01",203845,14,228
"cases","AB",4835,"2023-05-15",67793,"2023-05-01",67756,14,37
"cases","AB",9999,"2023-05-15",91,"2023-05-01",87,14,4
"cases","BC",591,"2023-05-27",71912,"2023-04-29",71660,28,252
"cases","BC",592,"2023-05-27",174483,"2023-04-29",173984,28,499
"cases","BC",593,"2023-05-27",81942,"2023-04-29",81615,28,327
"cases","BC",594,"2023-05-27",41349,"2023-04-29",41111,28,238
"cases","BC",595,"2023-05-27",32000,"2023-04-29",31899,28,101
"cases","MB",4601,"2023-05-27",84803,"2023-05-20",84767,7,36
"cases","MB",4602,"2023-05-27",16512,"2023-05-20",16509,7,3
"cases","MB",4603,"2023-05-27",13400,"2023-05-20",13392,7,8
"cases","MB",4604,"2023-05-27",20102,"2023-05-20",20101,7,1
"cases","MB",4605,"2023-05-27",21424,"2023-05-20",21412,7,12
"cases","NB",1301,"2023-05-27",28133,"2023-04-29",28060,28,73
"cases","NB",1302,"2023-05-27",20135,"2023-04-29",20063,28,72
"cases","NB",1303,"2023-05-27",17629,"2023-04-29",17546,28,83
"cases","NB",1304,"2023-05-27",7294,"2023-04-29",7275,28,19
"cases","NB",1305,"2023-05-27",3648,"2023-04-29",3642,28,6
"cases","NB",1306,"2023-05-27",8726,"2023-04-29",8706,28,20
"cases","NB",1307,"2023-05-27",5381,"2023-04-29",5360,28,21
"cases","NL",1011,"2023-06-03",19720,"2023-05-20",19720,14,0
"cases","NL",1012,"2023-06-03",4023,"2023-05-20",4023,14,0
"cases","NL",1013,"2023-06-03",3271,"2023-05-20",3271,14,0
"cases","NL",1014,"2023-06-03",2351,"2023-05-20",2351,14,0
"cases","NL",9999,"2023-06-03",26107,"2023-05-20",26045,14,62
"cases","NS",1201,"2023-05-22",6877,"2023-05-15",6877,7,0
"cases","NS",1202,"2023-05-22",5478,"2023-05-15",5478,7,0
"cases","NS",1203,"2023-05-22",7113,"2023-05-15",7113,7,0
"cases","NS",1204,"2023-05-22",27655,"2023-05-15",27655,7,0
"cases","NS",9999,"2023-05-22",38324,"2023-05-15",38139,7,185
"cases","NT",6101,"2022-06-11",11508,"",,,
"cases","NU",6201,"2022-04-05",3531,"",,,
"cases","ON",3526,"2023-05-27",12415,"2023-05-20",12401,7,14
"cases","ON",3527,"2023-05-27",14982,"2023-05-20",14975,7,7
"cases","ON",3530,"2023-05-27",74548,"2023-05-20",74495,7,53
"cases","ON",3533,"2023-05-27",11958,"2023-05-20",11943,7,15
"cases","ON",3534,"2023-05-27",11520,"2023-05-20",11515,7,5
"cases","ON",3535,"2023-05-27",13534,"2023-05-20",13519,7,15
"cases","ON",3536,"2023-05-27",58603,"2023-05-20",58528,7,75
"cases","ON",3537,"2023-05-27",75262,"2023-05-20",75211,7,51
"cases","ON",3538,"2023-05-27",15048,"2023-05-20",15037,7,11
"cases","ON",3539,"2023-05-27",10244,"2023-05-20",10239,7,5
"cases","ON",3540,"2023-05-27",11621,"2023-05-20",11618,7,3
"cases","ON",3541,"2023-05-27",24854,"2023-05-20",24820,7,34
"cases","ON",3542,"2023-05-27",15045,"2023-05-20",15042,7,3
"cases","ON",3543,"2023-05-27",14652,"2023-05-20",14639,7,13
"cases","ON",3544,"2023-05-27",49489,"2023-05-20",49442,7,47
"cases","ON",3546,"2023-05-27",52643,"2023-05-20",52598,7,45
"cases","ON",3547,"2023-05-27",9627,"2023-05-20",9607,7,20
"cases","ON",3549,"2023-05-27",15559,"2023-05-20",15533,7,26
"cases","ON",3551,"2023-05-27",91762,"2023-05-20",91660,7,102
"cases","ON",3553,"2023-05-27",210242,"2023-05-20",210152,7,90
"cases","ON",3555,"2023-05-27",11460,"2023-05-20",11456,7,4
"cases","ON",3556,"2023-05-27",9344,"2023-05-20",9333,7,11
"cases","ON",3557,"2023-05-27",8099,"2023-05-20",8093,7,6
"cases","ON",3558,"2023-05-27",20611,"2023-05-20",20583,7,28
"cases","ON",3560,"2023-05-27",58734,"2023-05-20",58690,7,44
"cases","ON",3561,"2023-05-27",22414,"2023-05-20",22397,7,17
"cases","ON",3562,"2023-05-27",19353,"2023-05-20",19342,7,11
"cases","ON",3563,"2023-05-27",2949,"2023-05-20",2922,7,27
"cases","ON",3565,"2023-05-27",57262,"2023-05-20",57239,7,23
"cases","ON",3566,"2023-05-27",27827,"2023-05-20",27807,7,20
"cases","ON",3568,"2023-05-27",54583,"2023-05-20",54557,7,26
"cases","ON",3570,"2023-05-27",133153,"2023-05-20",133077,7,76
"cases","ON",3575,"2023-05-27",18739,"2023-05-20",18726,7,13
"cases","ON",3595,"2023-05-27",383357,"2023-05-20",383094,7,263
"cases","PE",1100,"2023-05-27",57286,"2023-05-13",57276,14,10
"cases","QC",2401,"2023-06-07",30652,"2023-05-31",30581,7,71
"cases","QC",2402,"2023-06-07",41410,"2023-05-31",41365,7,45
"cases","QC",2403,"2023-06-07",116617,"2023-05-31",116492,7,125
"cases","QC",2404,"2023-06-07",78359,"2023-05-31",78272,7,87
"cases","QC",2405,"2023-06-07",66995,"2023-05-31",66964,7,31
"cases","QC",2406,"2023-06-07",364449,"2023-05-31",364160,7,289
"cases","QC",2407,"2023-06-07",45873,"2023-05-31",45862,7,11
"cases","QC",2408,"2023-06-07",14899,"2023-05-31",14887,7,12
"cases","QC",2409,"2023-06-07",13688,"2023-05-31",13672,7,16
"cases","QC",2410,"2023-06-07",1993,"2023-05-31",1988,7,5
"cases","QC",2411,"2023-06-07",14028,"2023-05-31",14013,7,15
"cases","QC",2412,"2023-06-07",78108,"2023-05-31",78054,7,54
"cases","QC",2413,"2023-06-07",84081,"2023-05-31",84023,7,58
"cases","QC",2414,"2023-06-07",86163,"2023-05-31",86077,7,86
"cases","QC",2415,"2023-06-07",101709,"2023-05-31",101620,7,89
"cases","QC",2416,"2023-06-07",192924,"2023-05-31",192748,7,176
"cases","QC",2417,"2023-06-07",3639,"2023-05-31",3639,7,0
"cases","QC",2418,"2023-06-07",3116,"2023-05-31",3115,7,1
"cases","QC",9999,"2023-06-07",1273,"2023-05-31",1270,7,3
"cases","SK",4711,"2023-05-20",5296,"2023-04-22",5296,28,0
"cases","SK",4712,"2023-05-20",620,"2023-04-22",620,28,0
"cases","SK",4713,"2023-05-20",5268,"2023-04-22",5268,28,0
"cases","SK",4721,"2023-05-20",12584,"2023-04-22",12584,28,0
"cases","SK",4722,"2023-05-20",12009,"2023-04-22",12009,28,0
"cases","SK",4723,"2023-05-20",4310,"2023-04-22",4310,28,0
"cases","SK",4731,"2023-05-20",2796,"2023-04-22",2796,28,0
"cases","SK",4732,"2023-05-20",9331,"2023-04-22",9331,28,0
"cases","SK",4741,"2023-05-20",36287,"2023-04-22",36287,28,0
"cases","SK",4751,"2023-05-20",29404,"2023-04-22",29404,28,0
"cases","SK",4761,"2023-05-20",3897,"2023-04-22",3897,28,0
"cases","SK",4762,"2023-05-20",5987,"2023-04-22",5987,28,0
"cases","SK",4763,"2023-05-20",9536,"2023-04-22",9536,28,0
"cases","SK",9999,"2023-05-20",17257,"2023-04-22",16733,28,524
"cases","YT",6001,"2022-11-10",5588,"",,,
