"name","region","sub_region_1","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"deaths","AB",4831,"2023-12-02",567,"2023-11-25",561,7,6
"deaths","AB",4832,"2023-12-02",1747,"2023-11-25",1745,7,2
"deaths","AB",4833,"2023-12-02",793,"2023-11-25",790,7,3
"deaths","AB",4834,"2023-12-02",2294,"2023-11-25",2281,7,13
"deaths","AB",4835,"2023-12-02",687,"2023-11-25",686,7,1
"deaths","AB",9999,"2023-12-02",18,"2023-11-25",18,7,0
"deaths","BC",591,"2023-12-02",1117,"2023-11-25",1106,7,11
"deaths","BC",592,"2023-12-02",2502,"2023-11-25",2491,7,11
"deaths","BC",593,"2023-12-02",1449,"2023-11-25",1443,7,6
"deaths","BC",594,"2023-12-02",902,"2023-11-25",890,7,12
"deaths","BC",595,"2023-12-02",466,"2023-11-25",464,7,2
"deaths","BC",9999,"2023-12-02",0,"2023-11-25",0,7,0
"deaths","MB",4601,"2023-11-25",1077,"2023-11-18",1077,7,0
"deaths","MB",4602,"2023-11-25",150,"2023-11-18",150,7,0
"deaths","MB",4603,"2023-11-25",90,"2023-11-18",90,7,0
"deaths","MB",4604,"2023-11-25",83,"2023-11-18",83,7,0
"deaths","MB",4605,"2023-11-25",335,"2023-11-18",335,7,0
"deaths","MB",9999,"2023-11-25",795,"2023-11-18",793,7,2
"deaths","NB",1301,"2023-11-25",187,"2023-11-18",187,7,0
"deaths","NB",1302,"2023-11-25",107,"2023-11-18",107,7,0
"deaths","NB",1303,"2023-11-25",107,"2023-11-18",107,7,0
"deaths","NB",1304,"2023-11-25",83,"2023-11-18",83,7,0
"deaths","NB",1305,"2023-11-25",37,"2023-11-18",37,7,0
"deaths","NB",1306,"2023-11-25",71,"2023-11-18",71,7,0
"deaths","NB",1307,"2023-11-25",36,"2023-11-18",36,7,0
"deaths","NB",9999,"2023-11-25",222,"2023-11-18",218,7,4
"deaths","NL",1011,"2023-11-25",199,"2023-11-18",199,7,0
"deaths","NL",1012,"2023-11-25",99,"2023-11-18",99,7,0
"deaths","NL",1013,"2023-11-25",58,"2023-11-18",58,7,0
"deaths","NL",1014,"2023-11-25",11,"2023-11-18",11,7,0
"deaths","NL",9999,"2023-11-25",8,"2023-11-18",5,7,3
"deaths","NS",1201,"2023-11-25",29,"2023-11-18",29,7,0
"deaths","NS",1202,"2023-11-25",20,"2023-11-18",20,7,0
"deaths","NS",1203,"2023-11-25",26,"2023-11-18",26,7,0
"deaths","NS",1204,"2023-11-25",135,"2023-11-18",135,7,0
"deaths","NS",9999,"2023-11-25",758,"2023-11-18",750,7,8
"deaths","NT",6101,"2022-06-13",22,"2022-06-18",22,-5,0
"deaths","NU",6201,"2022-04-05",7,"",,,
"deaths","ON",3526,"2023-11-25",106,"2023-11-18",106,7,0
"deaths","ON",3527,"2023-11-25",145,"2023-11-18",143,7,2
"deaths","ON",3530,"2023-11-25",560,"2023-11-18",560,7,0
"deaths","ON",3533,"2023-11-25",136,"2023-11-18",135,7,1
"deaths","ON",3534,"2023-11-25",124,"2023-11-18",123,7,1
"deaths","ON",3535,"2023-11-25",188,"2023-11-18",183,7,5
"deaths","ON",3536,"2023-11-25",463,"2023-11-18",461,7,2
"deaths","ON",3537,"2023-11-25",712,"2023-11-18",711,7,1
"deaths","ON",3538,"2023-11-25",128,"2023-11-18",128,7,0
"deaths","ON",3539,"2023-11-25",168,"2023-11-18",168,7,0
"deaths","ON",3540,"2023-11-25",133,"2023-11-18",133,7,0
"deaths","ON",3541,"2023-11-25",129,"2023-11-18",129,7,0
"deaths","ON",3542,"2023-11-25",181,"2023-11-18",180,7,1
"deaths","ON",3543,"2023-11-25",169,"2023-11-18",169,7,0
"deaths","ON",3544,"2023-11-25",578,"2023-11-18",578,7,0
"deaths","ON",3546,"2023-11-25",671,"2023-11-18",671,7,0
"deaths","ON",3547,"2023-11-25",89,"2023-11-18",87,7,2
"deaths","ON",3549,"2023-11-25",65,"2023-11-18",63,7,2
"deaths","ON",3551,"2023-11-25",1139,"2023-11-18",1135,7,4
"deaths","ON",3553,"2023-11-25",1662,"2023-11-18",1658,7,4
"deaths","ON",3555,"2023-11-25",156,"2023-11-18",155,7,1
"deaths","ON",3556,"2023-11-25",93,"2023-11-18",93,7,0
"deaths","ON",3557,"2023-11-25",89,"2023-11-18",89,7,0
"deaths","ON",3558,"2023-11-25",312,"2023-11-18",309,7,3
"deaths","ON",3560,"2023-11-25",668,"2023-11-18",665,7,3
"deaths","ON",3561,"2023-11-25",228,"2023-11-18",227,7,1
"deaths","ON",3562,"2023-11-25",148,"2023-11-18",147,7,1
"deaths","ON",3563,"2023-11-25",36,"2023-11-18",35,7,1
"deaths","ON",3565,"2023-11-25",542,"2023-11-18",541,7,1
"deaths","ON",3566,"2023-11-25",220,"2023-11-18",219,7,1
"deaths","ON",3568,"2023-11-25",782,"2023-11-18",781,7,1
"deaths","ON",3570,"2023-11-25",1281,"2023-11-18",1278,7,3
"deaths","ON",3575,"2023-11-25",225,"2023-11-18",224,7,1
"deaths","ON",3595,"2023-11-25",4911,"2023-11-18",4897,7,14
"deaths","PE",1100,"2023-11-18",112,"2023-11-04",111,14,1
"deaths","QC",2401,"2023-12-03",329,"2023-11-26",326,7,3
"deaths","QC",2402,"2023-12-03",571,"2023-11-26",570,7,1
"deaths","QC",2403,"2023-12-03",1941,"2023-11-26",1931,7,10
"deaths","QC",2404,"2023-12-03",1296,"2023-11-26",1288,7,8
"deaths","QC",2405,"2023-12-03",937,"2023-11-26",935,7,2
"deaths","QC",2406,"2023-12-03",6059,"2023-11-26",6037,7,22
"deaths","QC",2407,"2023-12-03",529,"2023-11-26",522,7,7
"deaths","QC",2408,"2023-12-03",203,"2023-11-26",202,7,1
"deaths","QC",2409,"2023-12-03",116,"2023-11-26",115,7,1
"deaths","QC",2410,"2023-12-03",12,"2023-11-26",12,7,0
"deaths","QC",2411,"2023-12-03",162,"2023-11-26",162,7,0
"deaths","QC",2412,"2023-12-03",902,"2023-11-26",896,7,6
"deaths","QC",2413,"2023-12-03",1232,"2023-11-26",1224,7,8
"deaths","QC",2414,"2023-12-03",908,"2023-11-26",904,7,4
"deaths","QC",2415,"2023-12-03",989,"2023-11-26",987,7,2
"deaths","QC",2416,"2023-12-03",2857,"2023-11-26",2842,7,15
"deaths","QC",2417,"2023-12-03",11,"2023-11-26",11,7,0
"deaths","QC",2418,"2023-12-03",18,"2023-11-26",18,7,0
"deaths","QC",9999,"2023-12-03",12,"2023-11-26",19,7,-7
"deaths","SK",4711,"2023-11-18",58,"2023-11-04",58,14,0
"deaths","SK",4712,"2023-11-18",6,"2023-11-04",6,14,0
"deaths","SK",4713,"2023-11-18",28,"2023-11-04",28,14,0
"deaths","SK",4721,"2023-11-18",156,"2023-11-04",156,14,0
"deaths","SK",4722,"2023-11-18",147,"2023-11-04",147,14,0
"deaths","SK",4723,"2023-11-18",54,"2023-11-04",54,14,0
"deaths","SK",4731,"2023-11-18",29,"2023-11-04",29,14,0
"deaths","SK",4732,"2023-11-18",140,"2023-11-04",140,14,0
"deaths","SK",4741,"2023-11-18",277,"2023-11-04",277,14,0
"deaths","SK",4751,"2023-11-18",293,"2023-11-04",293,14,0
"deaths","SK",4761,"2023-11-18",50,"2023-11-04",50,14,0
"deaths","SK",4762,"2023-11-18",66,"2023-11-04",66,14,0
"deaths","SK",4763,"2023-11-18",122,"2023-11-04",122,14,0
"deaths","SK",9999,"2023-11-18",596,"2023-11-04",591,14,5
"deaths","YT",6001,"2022-11-10",32,"2022-11-12",32,-2,0
