"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"cases","AB","2023-04-03",630824,"2023-03-27",630444,7,380
"cases","BC","2023-03-25",397659,"2023-03-18",397202,7,457
"cases","MB","2023-03-18",155145,"2023-03-11",154990,7,155
"cases","NB","2023-04-01",90294,"2023-03-25",90139,7,155
"cases","NL","2023-03-25",54974,"2023-03-11",54872,14,102
"cases","NS","2023-04-03",83991,"2023-03-27",83719,7,272
"cases","NT","2022-06-11",11508,"",,,
"cases","NU","2022-04-05",3531,"",,,
"cases","ON","2023-03-25",1605818,"2023-03-18",1602379,7,3439
"cases","PE","2023-03-25",56846,"2023-03-18",56726,7,120
"cases","QC","2023-04-05",1323081,"2023-03-29",1320517,7,2564
"cases","SK","2023-03-25",153246,"2023-03-11",152782,14,464
"cases","YT","2022-11-10",5588,"2022-11-08",5581,2,7
