"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"deaths","AB","2023-12-30",6248,"2023-12-31",6524,-1,-276
"deaths","BC","2023-12-31",6524,"2023-12-16",6498,15,26
"deaths","MB","2023-12-30",2571,"2023-12-31",2571,-1,0
"deaths","NB","2023-12-30",871,"2023-12-09",854,21,17
"deaths","NL","2023-12-30",385,"2023-12-16",381,14,4
"deaths","NS","2023-12-23",998,"2023-12-16",996,7,2
"deaths","NT","2022-06-13",22,"2022-06-18",22,-5,0
"deaths","NU","2022-04-05",7,"",,,
"deaths","ON","2023-12-31",18119,"2023-12-19",19269,12,-1150
"deaths","PE","2023-12-30",114,"2023-12-31",114,-1,0
"deaths","QC","2023-12-31",19415,"",,,
"deaths","SK","2023-12-30",2041,"",,,
"deaths","YT","2022-11-10",32,"2022-11-12",32,-2,0
