"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"icu","AB","2022-09-23",26,"2022-09-22",26,1,0
"icu","BC","2022-09-23",22,"2022-09-22",22,1,0
"icu","MB","2022-09-23",5,"2022-09-22",5,1,0
"icu","NB","2022-09-24",2,"2022-09-17",2,7,0
"icu","NL","2022-09-23",0,"2022-09-15",0,8,0
"icu","NS","2022-09-23",8,"2022-09-15",8,8,0
"icu","NT","2022-09-23",0,"2022-09-15",0,8,0
"icu","NU","2022-09-23",0,"2022-09-15",0,8,0
"icu","ON","2022-09-22",129,"2022-09-15",130,7,-1
"icu","PE","2022-09-23",1,"2022-09-15",1,8,0
"icu","QC","2022-09-27",32,"2022-09-23",40,4,-8
"icu","SK","2022-09-23",5,"2022-09-15",5,8,0
"icu","YT","2022-09-23",0,"2022-09-15",0,8,0
