"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_dose_4","AB","2023-02-26",821033,"2023-01-29",821033,28,0
"vaccine_administration_dose_4","BC","2023-02-26",1689780,"2023-01-29",1676239,28,13541
"vaccine_administration_dose_4","MB","2023-02-26",316864,"2023-01-29",312541,28,4323
"vaccine_administration_dose_4","NB","2023-02-26",198067,"2023-01-29",194234,28,3833
"vaccine_administration_dose_4","NL","2023-02-26",139419,"2023-01-29",136800,28,2619
"vaccine_administration_dose_4","NS","2023-02-26",275771,"2023-01-29",267182,28,8589
"vaccine_administration_dose_4","NT","2023-02-26",6941,"2023-01-29",6552,28,389
"vaccine_administration_dose_4","NU","2023-02-26",3465,"2023-01-29",3150,28,315
"vaccine_administration_dose_4","ON","2023-02-26",3590484,"2023-01-29",3560355,28,30129
"vaccine_administration_dose_4","PE","2023-02-26",45561,"2023-01-29",44793,28,768
"vaccine_administration_dose_4","QC","2022-09-11",1280669,"",,,
"vaccine_administration_dose_4","SK","2023-02-26",261186,"2023-01-29",258727,28,2459
"vaccine_administration_dose_4","YT","2023-02-26",10738,"2023-01-29",10554,28,184
