"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_total_doses","AB","2022-10-09",9290224,"2022-09-11",9192211,28,98013
"vaccine_administration_total_doses","BC","2022-10-09",12672917,"2022-09-11",12208491,28,464426
"vaccine_administration_total_doses","MB","2022-10-09",3060879,"2022-09-11",3052889,28,7990
"vaccine_administration_total_doses","NB","2022-10-09",1917397,"2022-09-11",1903492,28,13905
"vaccine_administration_total_doses","NL","2022-10-09",1366371,"2022-09-11",1357316,28,9055
"vaccine_administration_total_doses","NS","2022-10-09",2482777,"2022-09-11",2431058,28,51719
"vaccine_administration_total_doses","NT","2022-10-09",89721,"2022-09-11",89385,28,336
"vaccine_administration_total_doses","NU","2022-10-09",79442,"2022-09-11",79392,28,50
"vaccine_administration_total_doses","ON","2022-10-09",34900346,"2022-09-11",34515132,28,385214
"vaccine_administration_total_doses","PE","2022-10-09",414972,"2022-09-11",410903,28,4069
"vaccine_administration_total_doses","QC","2022-09-11",20322056,"2022-08-14",20322056,28,0
"vaccine_administration_total_doses","SK","2022-10-09",2572744,"2022-09-11",2552045,28,20699
"vaccine_administration_total_doses","YT","2022-10-09",100047,"2022-09-11",99574,28,473
