"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_coverage_dose_1","AB","2023-02-26",79.6,"2023-01-29",79.6,28,0
"vaccine_coverage_dose_1","BC","2023-02-26",86.7,"2023-01-29",86.7,28,0
"vaccine_coverage_dose_1","MB","2023-02-26",82.3,"2023-01-29",82.3,28,0
"vaccine_coverage_dose_1","NB","2023-02-26",86.9,"2023-01-29",86.9,28,0
"vaccine_coverage_dose_1","NL","2023-02-26",96,"2023-01-29",96,28,0
"vaccine_coverage_dose_1","NS","2023-02-26",88.8,"2023-01-29",88.7,28,0.1
"vaccine_coverage_dose_1","NT","2023-02-26",79.1,"2023-01-29",79.9,28,-0.8
"vaccine_coverage_dose_1","NU","2023-02-26",84.9,"2023-01-29",80.8,28,4.1
"vaccine_coverage_dose_1","ON","2023-02-26",84,"2023-01-29",84,28,0
"vaccine_coverage_dose_1","PE","2023-02-26",89.9,"2023-01-29",89.8,28,0.1
"vaccine_coverage_dose_1","QC","2022-09-11",84.9,"2022-08-14",84.9,28,0
"vaccine_coverage_dose_1","SK","2023-02-26",81.7,"2023-01-29",81.6,28,0.1
"vaccine_coverage_dose_1","YT","2023-02-26",84.9,"2023-01-29",84.5,28,0.4
