"date","ab_hosp_occupancy_for_with","ab_hosp_occupancy_for","ab_icu_occupancy_for_with","ab_icu_occupancy_for","mb_hosp_occupancy_in_province","mb_icu_occupancy_in_province","mb_icu_occupancy_out_of_province","mb_hosp_occupancy_total","mb_icu_occupancy_total","nb_hosp_occupancy_for_with","nb_hosp_occupancy_for","nb_icu_occupancy_for_with","nb_icu_occupancy_for","nb_total_hosp_admissions","nb_total_hosp_discharged","qc_hosp_admissions_for_with","qc_hosp_admissions_for","qc_hosp_admissions_with","qc_icu_admissions_for_with","qc_icu_admissions_for","qc_icu_admissions_with","sk_hosp_occupancy_total","sk_hosp_occupancy_covid_related_illness","sk_hosp_occupancy_incidental_infection","sk_hosp_occupancy_patient_under_investigation","sk_icu_occupancy","sk_hosp_admissions_daily_avg_past_7_days"
2020-01-24,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-25,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-26,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-27,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-28,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-29,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-30,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-01-31,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-01,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-02,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-03,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-04,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-05,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-06,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-07,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-08,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-09,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-10,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-11,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-12,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-13,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-14,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-16,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-17,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-18,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-19,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-20,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-21,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-22,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-23,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-24,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2020-02-25,,,,,,,,,,,,,,,,4,0,4,1,0,1,,,,,,
2020-02-26,,,,,,,,,,,,,,,,2,0,2,1,0,1,,,,,,
2020-02-27,,,,,,,,,,,,,,,,3,1,2,1,0,1,,,,,,
2020-02-28,,,,,,,,,,,,,,,,1,1,0,0,0,0,,,,,,
2020-02-29,,,,,,,,,,,,,,,,2,0,2,1,0,1,,,,,,
2020-03-01,,,,,,,,,,,,,,,,5,0,5,2,0,2,,,,,,
2020-03-02,,,,,,,,,,,,,,,,3,0,3,0,0,0,,,,,,
2020-03-03,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2020-03-04,,,,,,,,,,,,,,,,1,0,1,1,0,1,,,,,,
2020-03-05,,,,,,,,,,,,,,,,2,0,2,0,0,0,,,,,,
2020-03-06,0,,0,,,,,,,,,,,,,7,1,6,0,0,0,,,,,,
2020-03-07,0,,0,,,,,,,,,,,,,5,0,5,2,0,2,,,,,,
2020-03-08,0,,0,,,,,,,,,,,,,2,0,2,0,0,0,,,,,,
2020-03-09,1,,0,,,,,,,,,,,,,3,0,3,0,0,0,,,,,,
2020-03-10,1,,0,,,,,,,,,,,,,7,0,7,4,0,4,,,,,,
2020-03-11,1,,0,,,,,,,,,,,,,6,1,5,2,1,1,,,,,,
2020-03-12,2,,1,,,,,,,,,,,,,10,1,9,3,1,2,,,,,,
2020-03-13,5,,2,,,,,,,,,,,,,4,0,4,1,0,1,,,,,,
2020-03-14,5,,2,,,,,,,,,,,,,8,0,8,3,0,3,,,,,,
2020-03-15,5,,2,,,,,,,,,,,,,6,0,6,1,0,1,,,,,,
2020-03-16,6,,2,,,,,,,,,,,,,8,1,7,3,1,2,,,,,,
2020-03-17,7,,3,,,,,,,,,,,,,5,1,4,2,0,2,,,,,,
2020-03-18,12,,3,,,,,,,,,,,,,11,0,11,3,0,3,,,,,,
2020-03-19,15,,8,,,,,,,,,,,,,15,2,13,7,2,5,,,,,,
2020-03-20,16,,9,,,,,,,,,,,,,18,1,17,8,0,8,,,,,,
2020-03-21,19,,10,,,,,,,,,,,,,23,2,21,9,1,8,,,,,,
2020-03-22,20,,10,,,,,,,,,,,,,23,2,21,13,2,11,,,,,,
2020-03-23,22,,10,,,,,,,,,,,,,30,8,22,9,4,5,,,,,,
2020-03-24,29,,11,,,,,,,,,,,,,33,4,29,12,0,12,,,,,,
2020-03-25,33,,11,,,,,,,,,,,,,41,3,38,16,1,15,,,,,,
2020-03-26,34,,11,,,,,,,,,,,,,47,7,40,18,3,15,,,,,,
2020-03-27,35,,13,,,,,,,,,,,,,65,10,55,20,5,15,,,,,,
2020-03-28,38,,14,,,,,,,,,,,,,41,3,38,13,0,13,,,,,,
2020-03-29,40,,15,,,,,,,,,,,,,48,5,43,16,2,14,,,,,,
2020-03-30,42,,17,,4,1,,,,,,,,,,70,9,61,22,4,18,,,,,,
