"name","region","sub_region_1","date","value"
"deaths","NL","1011","2022-05-06",86
"deaths","NL","1011","2022-05-09",86
"deaths","NL","1011","2022-05-11",90
"deaths","NL","1011","2022-05-13",90
"deaths","NL","1011","2022-05-18",90
"deaths","NL","1011","2022-05-25",92
"deaths","NL","1012","2022-05-06",54
"deaths","NL","1012","2022-05-09",55
"deaths","NL","1012","2022-05-11",57
"deaths","NL","1012","2022-05-13",57
"deaths","NL","1012","2022-05-18",57
"deaths","NL","1012","2022-05-25",58
"deaths","NL","1013","2022-05-06",26
"deaths","NL","1013","2022-05-09",26
"deaths","NL","1013","2022-05-11",27
"deaths","NL","1013","2022-05-13",27
"deaths","NL","1013","2022-05-18",28
"deaths","NL","1013","2022-05-25",30
"deaths","NL","1014","2022-05-06",2
"deaths","NL","1014","2022-05-09",2
"deaths","NL","1014","2022-05-11",2
"deaths","NL","1014","2022-05-13",2
"deaths","NL","1014","2022-05-18",2
"deaths","NL","1014","2022-05-25",2
