"name","region","date","value_daily"
"deaths","AB","2020-03-07",0
"deaths","AB","2020-03-14",2
"deaths","AB","2020-03-21",3
"deaths","AB","2020-03-28",28
"deaths","AB","2020-04-04",14
"deaths","AB","2020-04-11",12
"deaths","AB","2020-04-18",31
"deaths","AB","2020-04-25",27
"deaths","AB","2020-05-02",12
"deaths","AB","2020-05-09",10
"deaths","AB","2020-05-16",7
"deaths","AB","2020-05-23",3
"deaths","AB","2020-05-30",2
"deaths","AB","2020-06-06",1
"deaths","AB","2020-06-13",2
"deaths","AB","2020-06-20",2
"deaths","AB","2020-06-27",8
"deaths","AB","2020-07-04",4
"deaths","AB","2020-07-11",8
"deaths","AB","2020-07-18",25
"deaths","AB","2020-07-25",18
"deaths","AB","2020-08-01",10
"deaths","AB","2020-08-08",6
"deaths","AB","2020-08-15",4
"deaths","AB","2020-08-22",4
"deaths","AB","2020-08-29",7
"deaths","AB","2020-09-05",4
"deaths","AB","2020-09-12",5
"deaths","AB","2020-09-19",10
"deaths","AB","2020-09-26",13
"deaths","AB","2020-10-03",14
"deaths","AB","2020-10-10",10
"deaths","AB","2020-10-17",20
"deaths","AB","2020-10-24",53
"deaths","AB","2020-10-31",57
"deaths","AB","2020-11-07",56
"deaths","AB","2020-11-14",68
"deaths","AB","2020-11-21",107
"deaths","AB","2020-11-28",129
"deaths","AB","2020-12-05",153
"deaths","AB","2020-12-12",182
"deaths","AB","2020-12-19",162
"deaths","AB","2020-12-26",165
"deaths","AB","2021-01-02",129
"deaths","AB","2021-01-09",97
"deaths","AB","2021-01-16",89
"deaths","AB","2021-01-23",67
"deaths","AB","2021-01-30",41
"deaths","AB","2021-02-06",21
"deaths","AB","2021-02-13",15
"deaths","AB","2021-02-20",19
"deaths","AB","2021-02-27",21
"deaths","AB","2021-03-06",19
"deaths","AB","2021-03-13",20
"deaths","AB","2021-03-20",13
"deaths","AB","2021-03-27",17
"deaths","AB","2021-04-03",25
"deaths","AB","2021-04-10",28
"deaths","AB","2021-04-17",30
"deaths","AB","2021-04-24",32
"deaths","AB","2021-05-01",44
"deaths","AB","2021-05-08",43
"deaths","AB","2021-05-15",26
"deaths","AB","2021-05-22",18
"deaths","AB","2021-05-29",16
"deaths","AB","2021-06-05",15
"deaths","AB","2021-06-12",11
"deaths","AB","2021-06-19",6
"deaths","AB","2021-06-26",4
"deaths","AB","2021-07-03",2
"deaths","AB","2021-07-10",2
"deaths","AB","2021-07-17",1
"deaths","AB","2021-07-24",2
"deaths","AB","2021-07-31",6
"deaths","AB","2021-08-07",6
"deaths","AB","2021-08-14",17
"deaths","AB","2021-08-21",35
"deaths","AB","2021-08-28",64
"deaths","AB","2021-09-04",81
"deaths","AB","2021-09-11",115
"deaths","AB","2021-09-18",115
"deaths","AB","2021-09-25",110
"deaths","AB","2021-10-02",111
"deaths","AB","2021-10-09",78
"deaths","AB","2021-10-16",67
"deaths","AB","2021-10-23",36
"deaths","AB","2021-10-30",27
"deaths","AB","2021-11-06",31
"deaths","AB","2021-11-13",10
"deaths","AB","2021-11-20",26
"deaths","AB","2021-11-27",20
"deaths","AB","2021-12-04",15
"deaths","AB","2021-12-11",13
"deaths","AB","2021-12-18",9
"deaths","AB","2021-12-25",16
"deaths","AB","2022-01-01",42
"deaths","AB","2022-01-08",69
"deaths","AB","2022-01-15",110
"deaths","AB","2022-01-22",99
"deaths","AB","2022-01-29",122
"deaths","AB","2022-02-05",100
"deaths","AB","2022-02-12",75
"deaths","AB","2022-02-19",47
"deaths","AB","2022-02-26",22
"deaths","AB","2022-03-05",38
"deaths","AB","2022-03-12",29
"deaths","AB","2022-03-19",30
"deaths","AB","2022-03-26",25
"deaths","AB","2022-04-02",39
"deaths","AB","2022-04-09",62
"deaths","AB","2022-04-16",66
"deaths","AB","2022-04-23",73
"deaths","AB","2022-04-30",57
"deaths","AB","2022-05-07",62
"deaths","AB","2022-05-14",37
"deaths","AB","2022-05-21",31
"deaths","AB","2022-05-28",19
"deaths","AB","2022-06-04",17
"deaths","AB","2022-06-11",8
"deaths","AB","2022-06-18",9
"deaths","AB","2022-06-25",13
"deaths","AB","2022-07-02",9
"deaths","AB","2022-07-09",17
"deaths","AB","2022-07-16",14
"deaths","AB","2022-07-23",23
"deaths","AB","2022-07-30",39
"deaths","AB","2022-08-06",23
"deaths","AB","2022-08-13",32
"deaths","AB","2022-08-20",35
"deaths","AB","2022-08-27",39
"deaths","AB","2022-09-03",20
"deaths","AB","2022-09-10",28
"deaths","AB","2022-09-17",30
"deaths","AB","2022-09-24",36
"deaths","AB","2022-10-01",34
"deaths","AB","2022-10-08",38
"deaths","AB","2022-10-15",32
"deaths","AB","2022-10-22",51
"deaths","AB","2022-10-29",33
"deaths","AB","2022-11-05",37
"deaths","AB","2022-11-12",54
"deaths","AB","2022-11-19",39
"deaths","AB","2022-11-26",32
"deaths","AB","2022-12-03",26
"deaths","AB","2022-12-10",32
"deaths","AB","2022-12-17",33
"deaths","AB","2022-12-24",33
"deaths","AB","2022-12-31",21
"deaths","AB","2023-01-07",33
"deaths","AB","2023-01-14",37
"deaths","AB","2023-01-21",8
"deaths","AB","2023-01-28",13
"deaths","AB","2023-02-04",9
"deaths","AB","2023-02-11",19
"deaths","AB","2023-02-18",10
"deaths","AB","2023-02-25",13
"deaths","AB","2023-03-04",13
"deaths","AB","2023-03-11",10
"deaths","AB","2023-03-18",9
"deaths","AB","2023-03-25",13
"deaths","AB","2023-04-01",15
"deaths","AB","2023-04-08",20
"deaths","AB","2023-04-15",11
"deaths","AB","2023-04-22",17
"deaths","AB","2023-04-29",14
"deaths","AB","2023-05-06",16
"deaths","AB","2023-05-13",13
"deaths","AB","2023-05-20",8
"deaths","AB","2023-05-27",8
"deaths","AB","2023-06-03",6
"deaths","AB","2023-06-10",4
"deaths","AB","2023-06-17",6
"deaths","AB","2023-06-24",5
"deaths","AB","2023-07-01",3
"deaths","AB","2023-07-08",0
"deaths","AB","2023-07-15",2
"deaths","AB","2023-07-22",5
"deaths","AB","2023-07-29",3
"deaths","AB","2023-08-05",6
"deaths","AB","2023-08-12",5
"deaths","AB","2023-08-19",3
"deaths","AB","2023-08-26",4
"deaths","AB","2023-09-02",8
"deaths","AB","2023-09-09",9
"deaths","AB","2023-09-16",9
"deaths","AB","2023-09-23",6
"deaths","AB","2023-09-30",8
