"name","region","date","value_daily"
"icu_admissions","AB","2020-03-07",0
"icu_admissions","AB","2020-03-14",5
"icu_admissions","AB","2020-03-21",6
"icu_admissions","AB","2020-03-28",7
"icu_admissions","AB","2020-04-04",12
"icu_admissions","AB","2020-04-11",5
"icu_admissions","AB","2020-04-18",10
"icu_admissions","AB","2020-04-25",12
"icu_admissions","AB","2020-05-02",5
"icu_admissions","AB","2020-05-09",1
"icu_admissions","AB","2020-05-16",1
"icu_admissions","AB","2020-05-23",2
"icu_admissions","AB","2020-05-30",1
"icu_admissions","AB","2020-06-06",2
"icu_admissions","AB","2020-06-13",1
"icu_admissions","AB","2020-06-20",4
"icu_admissions","AB","2020-06-27",3
"icu_admissions","AB","2020-07-04",2
"icu_admissions","AB","2020-07-11",9
"icu_admissions","AB","2020-07-18",17
"icu_admissions","AB","2020-07-25",8
"icu_admissions","AB","2020-08-01",7
"icu_admissions","AB","2020-08-08",5
"icu_admissions","AB","2020-08-15",3
"icu_admissions","AB","2020-08-22",6
"icu_admissions","AB","2020-08-29",3
"icu_admissions","AB","2020-09-05",6
"icu_admissions","AB","2020-09-12",3
"icu_admissions","AB","2020-09-19",12
"icu_admissions","AB","2020-09-26",9
"icu_admissions","AB","2020-10-03",11
"icu_admissions","AB","2020-10-10",15
"icu_admissions","AB","2020-10-17",9
"icu_admissions","AB","2020-10-24",15
"icu_admissions","AB","2020-10-31",23
"icu_admissions","AB","2020-11-07",32
"icu_admissions","AB","2020-11-14",39
"icu_admissions","AB","2020-11-21",63
"icu_admissions","AB","2020-11-28",62
"icu_admissions","AB","2020-12-05",96
"icu_admissions","AB","2020-12-12",81
"icu_admissions","AB","2020-12-19",76
"icu_admissions","AB","2020-12-26",68
"icu_admissions","AB","2021-01-02",58
"icu_admissions","AB","2021-01-09",49
"icu_admissions","AB","2021-01-16",42
"icu_admissions","AB","2021-01-23",31
"icu_admissions","AB","2021-01-30",25
"icu_admissions","AB","2021-02-06",23
"icu_admissions","AB","2021-02-13",20
"icu_admissions","AB","2021-02-20",23
"icu_admissions","AB","2021-02-27",13
"icu_admissions","AB","2021-03-06",13
"icu_admissions","AB","2021-03-13",26
"icu_admissions","AB","2021-03-20",39
"icu_admissions","AB","2021-03-27",41
"icu_admissions","AB","2021-04-03",55
"icu_admissions","AB","2021-04-10",60
"icu_admissions","AB","2021-04-17",65
"icu_admissions","AB","2021-04-24",107
"icu_admissions","AB","2021-05-01",97
"icu_admissions","AB","2021-05-08",92
"icu_admissions","AB","2021-05-15",83
"icu_admissions","AB","2021-05-22",47
"icu_admissions","AB","2021-05-29",33
"icu_admissions","AB","2021-06-05",28
"icu_admissions","AB","2021-06-12",19
"icu_admissions","AB","2021-06-19",12
"icu_admissions","AB","2021-06-26",8
"icu_admissions","AB","2021-07-03",4
"icu_admissions","AB","2021-07-10",4
"icu_admissions","AB","2021-07-17",4
"icu_admissions","AB","2021-07-24",6
"icu_admissions","AB","2021-07-31",16
"icu_admissions","AB","2021-08-07",14
"icu_admissions","AB","2021-08-14",31
"icu_admissions","AB","2021-08-21",45
"icu_admissions","AB","2021-08-28",96
"icu_admissions","AB","2021-09-04",98
"icu_admissions","AB","2021-09-11",127
"icu_admissions","AB","2021-09-18",120
"icu_admissions","AB","2021-09-25",114
"icu_admissions","AB","2021-10-02",99
"icu_admissions","AB","2021-10-09",74
"icu_admissions","AB","2021-10-16",70
"icu_admissions","AB","2021-10-23",52
"icu_admissions","AB","2021-10-30",41
"icu_admissions","AB","2021-11-06",39
"icu_admissions","AB","2021-11-13",20
"icu_admissions","AB","2021-11-20",34
"icu_admissions","AB","2021-11-27",27
"icu_admissions","AB","2021-12-04",22
"icu_admissions","AB","2021-12-11",23
"icu_admissions","AB","2021-12-18",16
"icu_admissions","AB","2021-12-25",15
"icu_admissions","AB","2022-01-01",29
"icu_admissions","AB","2022-01-08",65
"icu_admissions","AB","2022-01-15",72
"icu_admissions","AB","2022-01-22",98
"icu_admissions","AB","2022-01-29",101
"icu_admissions","AB","2022-02-05",63
"icu_admissions","AB","2022-02-12",53
"icu_admissions","AB","2022-02-19",38
"icu_admissions","AB","2022-02-26",26
"icu_admissions","AB","2022-03-05",24
"icu_admissions","AB","2022-03-12",26
"icu_admissions","AB","2022-03-19",15
"icu_admissions","AB","2022-03-26",24
"icu_admissions","AB","2022-04-02",17
"icu_admissions","AB","2022-04-09",26
"icu_admissions","AB","2022-04-16",28
"icu_admissions","AB","2022-04-23",34
"icu_admissions","AB","2022-04-30",32
"icu_admissions","AB","2022-05-07",23
"icu_admissions","AB","2022-05-14",21
"icu_admissions","AB","2022-05-21",18
"icu_admissions","AB","2022-05-28",17
"icu_admissions","AB","2022-06-04",15
"icu_admissions","AB","2022-06-11",9
"icu_admissions","AB","2022-06-18",8
"icu_admissions","AB","2022-06-25",11
"icu_admissions","AB","2022-07-02",7
"icu_admissions","AB","2022-07-09",13
"icu_admissions","AB","2022-07-16",11
"icu_admissions","AB","2022-07-23",18
"icu_admissions","AB","2022-07-30",14
"icu_admissions","AB","2022-08-06",13
"icu_admissions","AB","2022-08-13",19
"icu_admissions","AB","2022-08-20",12
"icu_admissions","AB","2022-08-27",16
"icu_admissions","AB","2022-09-03",9
"icu_admissions","AB","2022-09-10",4
"icu_admissions","AB","2022-09-17",21
"icu_admissions","AB","2022-09-24",18
"icu_admissions","AB","2022-10-01",8
"icu_admissions","AB","2022-10-08",16
"icu_admissions","AB","2022-10-15",15
"icu_admissions","AB","2022-10-22",14
"icu_admissions","AB","2022-10-29",14
"icu_admissions","AB","2022-11-05",16
"icu_admissions","AB","2022-11-12",11
"icu_admissions","AB","2022-11-19",20
"icu_admissions","AB","2022-11-26",14
"icu_admissions","AB","2022-12-03",8
