"name","region","date","value"
"hospitalizations","CAN","2020-04-01",643
"hospitalizations","CAN","2020-04-02",571
"hospitalizations","CAN","2020-04-03",596
"hospitalizations","CAN","2020-04-04",668
"hospitalizations","CAN","2020-04-05",697
"hospitalizations","CAN","2020-04-06",1271
"hospitalizations","CAN","2020-04-07",1354
"hospitalizations","CAN","2020-04-08",1444
"hospitalizations","CAN","2020-04-09",1654
"hospitalizations","CAN","2020-04-10",1716
"hospitalizations","CAN","2020-04-11",1775
"hospitalizations","CAN","2020-04-12",1832
"hospitalizations","CAN","2020-04-13",1911
"hospitalizations","CAN","2020-04-14",1955
"hospitalizations","CAN","2020-04-15",2039
"hospitalizations","CAN","2020-04-16",2074
"hospitalizations","CAN","2020-04-17",2139
"hospitalizations","CAN","2020-04-18",2150
"hospitalizations","CAN","2020-04-19",2271
"hospitalizations","CAN","2020-04-20",2343
"hospitalizations","CAN","2020-04-21",2406
"hospitalizations","CAN","2020-04-22",2560
"hospitalizations","CAN","2020-04-23",2632
"hospitalizations","CAN","2020-04-24",2689
"hospitalizations","CAN","2020-04-25",2708
"hospitalizations","CAN","2020-04-26",2745
"hospitalizations","CAN","2020-04-27",2855
"hospitalizations","CAN","2020-04-28",2899
"hospitalizations","CAN","2020-04-29",2954
"hospitalizations","CAN","2020-04-30",2943
"hospitalizations","CAN","2020-05-01",2978
"hospitalizations","CAN","2020-05-02",2991
"hospitalizations","CAN","2020-05-03",3064
"hospitalizations","CAN","2020-05-04",3101
"hospitalizations","CAN","2020-05-05",3120
"hospitalizations","CAN","2020-05-06",3103
"hospitalizations","CAN","2020-05-07",3087
"hospitalizations","CAN","2020-05-08",3039
"hospitalizations","CAN","2020-05-09",3089
"hospitalizations","CAN","2020-05-10",3041
"hospitalizations","CAN","2020-05-11",3084
"hospitalizations","CAN","2020-05-12",3121
"hospitalizations","CAN","2020-05-13",3036
"hospitalizations","CAN","2020-05-14",3064
"hospitalizations","CAN","2020-05-15",3011
"hospitalizations","CAN","2020-05-16",3002
"hospitalizations","CAN","2020-05-17",2950
"hospitalizations","CAN","2020-05-18",3028
"hospitalizations","CAN","2020-05-19",2776
"hospitalizations","CAN","2020-05-20",2709
"hospitalizations","CAN","2020-05-21",2634
"hospitalizations","CAN","2020-05-22",2567
"hospitalizations","CAN","2020-05-23",2525
"hospitalizations","CAN","2020-05-24",2483
"hospitalizations","CAN","2020-05-25",2524
"hospitalizations","CAN","2020-05-26",2473
"hospitalizations","CAN","2020-05-27",2421
"hospitalizations","CAN","2020-05-28",2323
"hospitalizations","CAN","2020-05-29",2253
"hospitalizations","CAN","2020-05-30",2239
"hospitalizations","CAN","2020-05-31",2214
"hospitalizations","CAN","2020-06-01",2217
"hospitalizations","CAN","2020-06-02",2171
"hospitalizations","CAN","2020-06-03",2088
"hospitalizations","CAN","2020-06-04",1939
"hospitalizations","CAN","2020-06-05",1845
"hospitalizations","CAN","2020-06-06",1803
"hospitalizations","CAN","2020-06-07",1807
"hospitalizations","CAN","2020-06-08",1771
"hospitalizations","CAN","2020-06-09",1672
"hospitalizations","CAN","2020-06-10",1612
"hospitalizations","CAN","2020-06-11",1550
"hospitalizations","CAN","2020-06-12",1447
"hospitalizations","CAN","2020-06-13",1387
"hospitalizations","CAN","2020-06-14",1372
"hospitalizations","CAN","2020-06-15",1313
"hospitalizations","CAN","2020-06-16",1228
"hospitalizations","CAN","2020-06-17",1149
"hospitalizations","CAN","2020-06-18",1069
"hospitalizations","CAN","2020-06-19",981
"hospitalizations","CAN","2020-06-20",955
"hospitalizations","CAN","2020-06-21",952
