"name","region","date","value"
"icu","CAN","2020-04-01",36
"icu","CAN","2020-04-02",28
"icu","CAN","2020-04-03",29
"icu","CAN","2020-04-04",30
"icu","CAN","2020-04-05",34
"icu","CAN","2020-04-06",200
"icu","CAN","2020-04-07",215
"icu","CAN","2020-04-08",229
"icu","CAN","2020-04-09",284
"icu","CAN","2020-04-10",241
"icu","CAN","2020-04-11",248
"icu","CAN","2020-04-12",256
"icu","CAN","2020-04-13",245
"icu","CAN","2020-04-14",275
"icu","CAN","2020-04-15",274
"icu","CAN","2020-04-16",282
"icu","CAN","2020-04-17",275
"icu","CAN","2020-04-18",268
"icu","CAN","2020-04-19",287
"icu","CAN","2020-04-20",280
"icu","CAN","2020-04-21",281
"icu","CAN","2020-04-22",283
"icu","CAN","2020-04-23",298
"icu","CAN","2020-04-24",280
"icu","CAN","2020-04-25",273
"icu","CAN","2020-04-26",278
"icu","CAN","2020-04-27",281
"icu","CAN","2020-04-28",290
"icu","CAN","2020-04-29",277
"icu","CAN","2020-04-30",277
"icu","CAN","2020-05-01",512
"icu","CAN","2020-05-02",512
"icu","CAN","2020-05-03",509
"icu","CAN","2020-05-04",510
"icu","CAN","2020-05-05",503
"icu","CAN","2020-05-06",503
"icu","CAN","2020-05-07",483
"icu","CAN","2020-05-08",467
"icu","CAN","2020-05-09",456
"icu","CAN","2020-05-10",450
"icu","CAN","2020-05-11",436
"icu","CAN","2020-05-12",438
"icu","CAN","2020-05-13",425
"icu","CAN","2020-05-14",416
"icu","CAN","2020-05-15",411
"icu","CAN","2020-05-16",398
"icu","CAN","2020-05-17",384
"icu","CAN","2020-05-18",399
"icu","CAN","2020-05-19",396
"icu","CAN","2020-05-20",381
"icu","CAN","2020-05-21",369
"icu","CAN","2020-05-22",364
"icu","CAN","2020-05-23",368
"icu","CAN","2020-05-24",367
"icu","CAN","2020-05-25",373
"icu","CAN","2020-05-26",373
"icu","CAN","2020-05-27",358
"icu","CAN","2020-05-28",349
"icu","CAN","2020-05-29",338
"icu","CAN","2020-05-30",342
"icu","CAN","2020-05-31",338
"icu","CAN","2020-06-01",335
"icu","CAN","2020-06-02",333
"icu","CAN","2020-06-03",315
"icu","CAN","2020-06-04",296
"icu","CAN","2020-06-05",290
"icu","CAN","2020-06-06",287
"icu","CAN","2020-06-07",277
"icu","CAN","2020-06-08",274
"icu","CAN","2020-06-09",278
"icu","CAN","2020-06-10",274
"icu","CAN","2020-06-11",263
"icu","CAN","2020-06-12",253
"icu","CAN","2020-06-13",228
"icu","CAN","2020-06-14",224
"icu","CAN","2020-06-15",220
"icu","CAN","2020-06-16",208
"icu","CAN","2020-06-17",193
"icu","CAN","2020-06-18",185
"icu","CAN","2020-06-19",186
"icu","CAN","2020-06-20",194
"icu","CAN","2020-06-21",182
"icu","CAN","2020-06-22",176
"icu","CAN","2020-06-23",170
"icu","CAN","2020-06-24",164
"icu","CAN","2020-06-25",159
"icu","CAN","2020-06-26",148
"icu","CAN","2020-06-27",145
"icu","CAN","2020-06-28",143
"icu","CAN","2020-06-29",128
"icu","CAN","2020-06-30",119
"icu","CAN","2020-07-01",119
"icu","CAN","2020-07-02",117
"icu","CAN","2020-07-03",42
"icu","CAN","2020-07-04",107
"icu","CAN","2020-07-05",101
"icu","CAN","2020-07-06",98
"icu","CAN","2020-07-07",99
"icu","CAN","2020-07-08",95
"icu","CAN","2020-07-09",98
"icu","CAN","2020-07-10",93
"icu","CAN","2020-07-11",92
"icu","CAN","2020-07-12",93
"icu","CAN","2020-07-13",96
"icu","CAN","2020-07-14",89
"icu","CAN","2020-07-15",86
"icu","CAN","2020-07-16",89
"icu","CAN","2020-07-17",85
"icu","CAN","2020-07-18",86
"icu","CAN","2020-07-19",89
"icu","CAN","2020-07-20",91
"icu","CAN","2020-07-21",94
"icu","CAN","2020-07-22",93
"icu","CAN","2020-07-23",86
"icu","CAN","2020-07-24",82
"icu","CAN","2020-07-25",80
"icu","CAN","2020-07-26",79
"icu","CAN","2020-07-27",77
"icu","CAN","2020-07-28",77
"icu","CAN","2020-07-29",84
"icu","CAN","2020-07-30",82
"icu","CAN","2020-07-31",85
"icu","CAN","2020-08-01",89
"icu","CAN","2020-08-02",91
"icu","CAN","2020-08-03",96
"icu","CAN","2020-08-04",95
"icu","CAN","2020-08-05",94
"icu","CAN","2020-08-06",91
"icu","CAN","2020-08-07",88
"icu","CAN","2020-08-08",87
"icu","CAN","2020-08-09",82
"icu","CAN","2020-08-10",80
"icu","CAN","2020-08-11",79
"icu","CAN","2020-08-12",80
"icu","CAN","2020-08-13",78
"icu","CAN","2020-08-14",78
"icu","CAN","2020-08-15",78
"icu","CAN","2020-08-16",73
"icu","CAN","2020-08-17",74
"icu","CAN","2020-08-18",74
"icu","CAN","2020-08-19",74
"icu","CAN","2020-08-20",69
"icu","CAN","2020-08-21",62
"icu","CAN","2020-08-22",55
"icu","CAN","2020-08-23",54
"icu","CAN","2020-08-24",53
"icu","CAN","2020-08-25",54
"icu","CAN","2020-08-26",58
"icu","CAN","2020-08-27",59
"icu","CAN","2020-08-28",63
"icu","CAN","2020-08-29",64
"icu","CAN","2020-08-30",69
"icu","CAN","2020-08-31",72
"icu","CAN","2020-09-01",64
"icu","CAN","2020-09-02",66
"icu","CAN","2020-09-03",66
"icu","CAN","2020-09-04",67
"icu","CAN","2020-09-05",58
"icu","CAN","2020-09-06",56
"icu","CAN","2020-09-07",53
"icu","CAN","2020-09-08",61
"icu","CAN","2020-09-09",61
"icu","CAN","2020-09-10",60
"icu","CAN","2020-09-11",54
"icu","CAN","2020-09-12",60
"icu","CAN","2020-09-13",63
"icu","CAN","2020-09-14",76
"icu","CAN","2020-09-15",83
"icu","CAN","2020-09-16",92
"icu","CAN","2020-09-17",89
"icu","CAN","2020-09-18",92
"icu","CAN","2020-09-19",95
"icu","CAN","2020-09-20",96
"icu","CAN","2020-09-21",92
"icu","CAN","2020-09-22",99
"icu","CAN","2020-09-23",100
"icu","CAN","2020-09-24",106
"icu","CAN","2020-09-25",121
"icu","CAN","2020-09-26",120
"icu","CAN","2020-09-27",116
"icu","CAN","2020-09-28",118
"icu","CAN","2020-09-29",124
"icu","CAN","2020-09-30",130
"icu","CAN","2020-10-01",135
"icu","CAN","2020-10-02",147
"icu","CAN","2020-10-03",152
"icu","CAN","2020-10-04",146
"icu","CAN","2020-10-05",150
"icu","CAN","2020-10-06",148
"icu","CAN","2020-10-07",157
"icu","CAN","2020-10-08",155
"icu","CAN","2020-10-09",165
"icu","CAN","2020-10-10",167
"icu","CAN","2020-10-11",175
"icu","CAN","2020-10-12",191
"icu","CAN","2020-10-13",195
"icu","CAN","2020-10-14",196
"icu","CAN","2020-10-15",203
"icu","CAN","2020-10-16",211
"icu","CAN","2020-10-17",214
"icu","CAN","2020-10-18",214
"icu","CAN","2020-10-19",223
"icu","CAN","2020-10-20",215
"icu","CAN","2020-10-21",234
"icu","CAN","2020-10-22",237
"icu","CAN","2020-10-23",236
"icu","CAN","2020-10-24",240
"icu","CAN","2020-10-25",239
"icu","CAN","2020-10-26",236
"icu","CAN","2020-10-27",236
"icu","CAN","2020-10-28",233
"icu","CAN","2020-10-29",240
"icu","CAN","2020-10-30",239
"icu","CAN","2020-10-31",235
"icu","CAN","2020-11-01",239
"icu","CAN","2020-11-02",241
"icu","CAN","2020-11-03",245
"icu","CAN","2020-11-04",263
"icu","CAN","2020-11-05",253
"icu","CAN","2020-11-06",267
"icu","CAN","2020-11-07",272
"icu","CAN","2020-11-08",283
"icu","CAN","2020-11-09",290
"icu","CAN","2020-11-10",311
"icu","CAN","2020-11-11",329
"icu","CAN","2020-11-12",342
"icu","CAN","2020-11-13",352
"icu","CAN","2020-11-14",373
"icu","CAN","2020-11-15",387
"icu","CAN","2020-11-16",413
"icu","CAN","2020-11-17",413
"icu","CAN","2020-11-18",431
"icu","CAN","2020-11-19",428
"icu","CAN","2020-11-20",429
"icu","CAN","2020-11-21",431
"icu","CAN","2020-11-22",452
"icu","CAN","2020-11-23",459
"icu","CAN","2020-11-24",460
"icu","CAN","2020-11-25",449
"icu","CAN","2020-11-26",465
"icu","CAN","2020-11-27",474
