"name","region","sub_region_1","date","value"
"cases","QC","Abitibi-Témiscamingue","2020-01-23",0
"cases","QC","Bas-Saint-Laurent","2020-01-23",0
"cases","QC","Capitale-Nationale","2020-01-23",0
"cases","QC","Chaudière-Appalaches","2020-01-23",0
"cases","QC","Côte-Nord","2020-01-23",0
"cases","QC","Estrie","2020-01-23",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-23",0
"cases","QC","Hors Québec","2020-01-23",0
"cases","QC","Inconnu","2020-01-23",0
"cases","QC","Lanaudière","2020-01-23",0
"cases","QC","Laurentides","2020-01-23",0
"cases","QC","Laval","2020-01-23",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-23",0
"cases","QC","Montérégie","2020-01-23",0
"cases","QC","Montréal","2020-01-23",0
"cases","QC","Nord-du-Québec","2020-01-23",0
"cases","QC","Nunavik","2020-01-23",0
"cases","QC","Outaouais","2020-01-23",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-23",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-23",0
"cases","QC","Abitibi-Témiscamingue","2020-01-24",0
"cases","QC","Bas-Saint-Laurent","2020-01-24",0
"cases","QC","Capitale-Nationale","2020-01-24",0
"cases","QC","Chaudière-Appalaches","2020-01-24",0
"cases","QC","Côte-Nord","2020-01-24",0
"cases","QC","Estrie","2020-01-24",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-24",0
"cases","QC","Hors Québec","2020-01-24",0
"cases","QC","Inconnu","2020-01-24",0
"cases","QC","Lanaudière","2020-01-24",0
"cases","QC","Laurentides","2020-01-24",0
"cases","QC","Laval","2020-01-24",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-24",0
"cases","QC","Montérégie","2020-01-24",0
"cases","QC","Montréal","2020-01-24",0
"cases","QC","Nord-du-Québec","2020-01-24",0
"cases","QC","Nunavik","2020-01-24",0
"cases","QC","Outaouais","2020-01-24",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-24",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-24",0
"cases","QC","Abitibi-Témiscamingue","2020-01-25",0
"cases","QC","Bas-Saint-Laurent","2020-01-25",0
"cases","QC","Capitale-Nationale","2020-01-25",0
"cases","QC","Chaudière-Appalaches","2020-01-25",0
"cases","QC","Côte-Nord","2020-01-25",0
"cases","QC","Estrie","2020-01-25",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-25",0
"cases","QC","Hors Québec","2020-01-25",0
"cases","QC","Inconnu","2020-01-25",0
"cases","QC","Lanaudière","2020-01-25",0
"cases","QC","Laurentides","2020-01-25",0
"cases","QC","Laval","2020-01-25",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-25",0
"cases","QC","Montérégie","2020-01-25",0
"cases","QC","Montréal","2020-01-25",0
"cases","QC","Nord-du-Québec","2020-01-25",0
"cases","QC","Nunavik","2020-01-25",0
"cases","QC","Outaouais","2020-01-25",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-25",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-25",0
"cases","QC","Abitibi-Témiscamingue","2020-01-26",0
"cases","QC","Bas-Saint-Laurent","2020-01-26",0
"cases","QC","Capitale-Nationale","2020-01-26",0
"cases","QC","Chaudière-Appalaches","2020-01-26",0
"cases","QC","Côte-Nord","2020-01-26",0
"cases","QC","Estrie","2020-01-26",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-26",0
"cases","QC","Hors Québec","2020-01-26",0
"cases","QC","Inconnu","2020-01-26",0
"cases","QC","Lanaudière","2020-01-26",0
"cases","QC","Laurentides","2020-01-26",0
"cases","QC","Laval","2020-01-26",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-26",0
"cases","QC","Montérégie","2020-01-26",0
"cases","QC","Montréal","2020-01-26",0
"cases","QC","Nord-du-Québec","2020-01-26",0
"cases","QC","Nunavik","2020-01-26",0
"cases","QC","Outaouais","2020-01-26",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-26",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-26",0
"cases","QC","Abitibi-Témiscamingue","2020-01-27",0
"cases","QC","Bas-Saint-Laurent","2020-01-27",0
"cases","QC","Capitale-Nationale","2020-01-27",0
"cases","QC","Chaudière-Appalaches","2020-01-27",0
"cases","QC","Côte-Nord","2020-01-27",0
"cases","QC","Estrie","2020-01-27",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-27",0
"cases","QC","Hors Québec","2020-01-27",0
"cases","QC","Inconnu","2020-01-27",0
"cases","QC","Lanaudière","2020-01-27",0
"cases","QC","Laurentides","2020-01-27",0
"cases","QC","Laval","2020-01-27",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-27",0
"cases","QC","Montérégie","2020-01-27",0
"cases","QC","Montréal","2020-01-27",0
"cases","QC","Nord-du-Québec","2020-01-27",0
"cases","QC","Nunavik","2020-01-27",0
"cases","QC","Outaouais","2020-01-27",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-27",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-27",0
"cases","QC","Abitibi-Témiscamingue","2020-01-28",0
"cases","QC","Bas-Saint-Laurent","2020-01-28",0
"cases","QC","Capitale-Nationale","2020-01-28",0
"cases","QC","Chaudière-Appalaches","2020-01-28",0
"cases","QC","Côte-Nord","2020-01-28",0
"cases","QC","Estrie","2020-01-28",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-28",0
"cases","QC","Hors Québec","2020-01-28",0
"cases","QC","Inconnu","2020-01-28",0
"cases","QC","Lanaudière","2020-01-28",0
"cases","QC","Laurentides","2020-01-28",0
"cases","QC","Laval","2020-01-28",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-28",0
"cases","QC","Montérégie","2020-01-28",0
"cases","QC","Montréal","2020-01-28",0
"cases","QC","Nord-du-Québec","2020-01-28",0
"cases","QC","Nunavik","2020-01-28",0
"cases","QC","Outaouais","2020-01-28",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-28",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-28",0
"cases","QC","Abitibi-Témiscamingue","2020-01-29",0
"cases","QC","Bas-Saint-Laurent","2020-01-29",0
"cases","QC","Capitale-Nationale","2020-01-29",0
"cases","QC","Chaudière-Appalaches","2020-01-29",0
"cases","QC","Côte-Nord","2020-01-29",0
"cases","QC","Estrie","2020-01-29",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-29",0
"cases","QC","Hors Québec","2020-01-29",0
"cases","QC","Inconnu","2020-01-29",0
"cases","QC","Lanaudière","2020-01-29",0
"cases","QC","Laurentides","2020-01-29",0
"cases","QC","Laval","2020-01-29",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-29",0
"cases","QC","Montérégie","2020-01-29",0
"cases","QC","Montréal","2020-01-29",0
"cases","QC","Nord-du-Québec","2020-01-29",0
"cases","QC","Nunavik","2020-01-29",0
"cases","QC","Outaouais","2020-01-29",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-29",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-29",0
"cases","QC","Abitibi-Témiscamingue","2020-01-30",0
"cases","QC","Bas-Saint-Laurent","2020-01-30",0
"cases","QC","Capitale-Nationale","2020-01-30",0
"cases","QC","Chaudière-Appalaches","2020-01-30",0
"cases","QC","Côte-Nord","2020-01-30",0
"cases","QC","Estrie","2020-01-30",0
"cases","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-30",0
"cases","QC","Hors Québec","2020-01-30",0
"cases","QC","Inconnu","2020-01-30",0
"cases","QC","Lanaudière","2020-01-30",0
"cases","QC","Laurentides","2020-01-30",0
"cases","QC","Laval","2020-01-30",0
"cases","QC","Mauricie et Centre-du-Québec","2020-01-30",0
"cases","QC","Montérégie","2020-01-30",0
"cases","QC","Montréal","2020-01-30",0
"cases","QC","Nord-du-Québec","2020-01-30",0
"cases","QC","Nunavik","2020-01-30",0
"cases","QC","Outaouais","2020-01-30",0
"cases","QC","Saguenay-Lac-Saint-Jean","2020-01-30",0
"cases","QC","Terres-Cries-de-la-Baie-James","2020-01-30",0
