"name","region","date","value"
"hospitalizations","QC","2020-04-10",758
"hospitalizations","QC","2020-04-11",790
"hospitalizations","QC","2020-04-12",830
"hospitalizations","QC","2020-04-13",891
"hospitalizations","QC","2020-04-14",927
"hospitalizations","QC","2020-04-15",975
"hospitalizations","QC","2020-04-16",1018
"hospitalizations","QC","2020-04-17",1072
"hospitalizations","QC","2020-04-18",1100
"hospitalizations","QC","2020-04-19",1168
"hospitalizations","QC","2020-04-20",1223
"hospitalizations","QC","2020-04-21",1276
"hospitalizations","QC","2020-04-22",1410
"hospitalizations","QC","2020-04-23",1460
"hospitalizations","QC","2020-04-24",1505
"hospitalizations","QC","2020-04-25",1516
"hospitalizations","QC","2020-04-26",1538
"hospitalizations","QC","2020-04-27",1619
"hospitalizations","QC","2020-04-28",1645
"hospitalizations","QC","2020-04-29",1677
"hospitalizations","QC","2020-04-30",1709
"hospitalizations","QC","2020-05-01",1731
"hospitalizations","QC","2020-05-02",1748
"hospitalizations","QC","2020-05-03",1765
"hospitalizations","QC","2020-05-04",1817
"hospitalizations","QC","2020-05-05",1834
"hospitalizations","QC","2020-05-06",1827
"hospitalizations","QC","2020-05-07",1822
"hospitalizations","QC","2020-05-08",1826
"hospitalizations","QC","2020-05-09",1825
"hospitalizations","QC","2020-05-10",1832
"hospitalizations","QC","2020-05-11",1834
"hospitalizations","QC","2020-05-12",1866
"hospitalizations","QC","2020-05-13",1829
"hospitalizations","QC","2020-05-14",1818
"hospitalizations","QC","2020-05-15",1788
"hospitalizations","QC","2020-05-16",1762
"hospitalizations","QC","2020-05-17",1762
"hospitalizations","QC","2020-05-18",1777
"hospitalizations","QC","2020-05-19",1542
"hospitalizations","QC","2020-05-20",1500
"hospitalizations","QC","2020-05-21",1476
"hospitalizations","QC","2020-05-22",1449
"hospitalizations","QC","2020-05-23",1432
"hospitalizations","QC","2020-05-24",1423
"hospitalizations","QC","2020-05-25",1401
"hospitalizations","QC","2020-05-26",1374
"hospitalizations","QC","2020-05-27",1327
"hospitalizations","QC","2020-05-28",1259
"hospitalizations","QC","2020-05-29",1192
"hospitalizations","QC","2020-05-30",1193
"hospitalizations","QC","2020-05-31",1180
"hospitalizations","QC","2020-06-01",1169
"hospitalizations","QC","2020-06-02",1140
"hospitalizations","QC","2020-06-03",1076
"hospitalizations","QC","2020-06-04",1024
"hospitalizations","QC","2020-06-05",976
