"name","region","date","value"
"vaccine_administration_total_doses","QC","2020-12-14",311
"vaccine_administration_total_doses","QC","2020-12-15",1499
"vaccine_administration_total_doses","QC","2020-12-16",2470
"vaccine_administration_total_doses","QC","2020-12-17",3384
"vaccine_administration_total_doses","QC","2020-12-18",4126
"vaccine_administration_total_doses","QC","2020-12-19",4844
"vaccine_administration_total_doses","QC","2020-12-20",4958
"vaccine_administration_total_doses","QC","2020-12-21",5478
"vaccine_administration_total_doses","QC","2020-12-22",7508
"vaccine_administration_total_doses","QC","2020-12-23",11273
"vaccine_administration_total_doses","QC","2020-12-24",14297
"vaccine_administration_total_doses","QC","2020-12-25",14297
"vaccine_administration_total_doses","QC","2020-12-26",17424
"vaccine_administration_total_doses","QC","2020-12-27",19705
"vaccine_administration_total_doses","QC","2020-12-28",22236
"vaccine_administration_total_doses","QC","2020-12-29",24593
"vaccine_administration_total_doses","QC","2020-12-30",27654
"vaccine_administration_total_doses","QC","2020-12-31",27996
"vaccine_administration_total_doses","QC","2021-01-01",28000
"vaccine_administration_total_doses","QC","2021-01-02",28630
"vaccine_administration_total_doses","QC","2021-01-03",30168
"vaccine_administration_total_doses","QC","2021-01-04",32960
"vaccine_administration_total_doses","QC","2021-01-05",38944
"vaccine_administration_total_doses","QC","2021-01-06",49715
"vaccine_administration_total_doses","QC","2021-01-07",63464
"vaccine_administration_total_doses","QC","2021-01-08",76872
"vaccine_administration_total_doses","QC","2021-01-09",85637
"vaccine_administration_total_doses","QC","2021-01-10",92712
"vaccine_administration_total_doses","QC","2021-01-11",100080
"vaccine_administration_total_doses","QC","2021-01-12",108038
"vaccine_administration_total_doses","QC","2021-01-13",117185
"vaccine_administration_total_doses","QC","2021-01-14",129029
"vaccine_administration_total_doses","QC","2021-01-15",140220
"vaccine_administration_total_doses","QC","2021-01-16",148654
"vaccine_administration_total_doses","QC","2021-01-17",155786
"vaccine_administration_total_doses","QC","2021-01-18",166429
"vaccine_administration_total_doses","QC","2021-01-19",176771
"vaccine_administration_total_doses","QC","2021-01-20",188237
"vaccine_administration_total_doses","QC","2021-01-21",202001
"vaccine_administration_total_doses","QC","2021-01-22",213908
"vaccine_administration_total_doses","QC","2021-01-23",222404
"vaccine_administration_total_doses","QC","2021-01-24",224488
"vaccine_administration_total_doses","QC","2021-01-25",228975
"vaccine_administration_total_doses","QC","2021-01-26",233088
"vaccine_administration_total_doses","QC","2021-01-27",236870
"vaccine_administration_total_doses","QC","2021-01-28",240232
"vaccine_administration_total_doses","QC","2021-01-29",242511
"vaccine_administration_total_doses","QC","2021-01-30",243095
"vaccine_administration_total_doses","QC","2021-01-31",243877
"vaccine_administration_total_doses","QC","2021-02-01",244292
"vaccine_administration_total_doses","QC","2021-02-02",245003
"vaccine_administration_total_doses","QC","2021-02-03",247984
"vaccine_administration_total_doses","QC","2021-02-04",253121
"vaccine_administration_total_doses","QC","2021-02-05",258193
"vaccine_administration_total_doses","QC","2021-02-06",261445
"vaccine_administration_total_doses","QC","2021-02-07",263764
"vaccine_administration_total_doses","QC","2021-02-08",267262
"vaccine_administration_total_doses","QC","2021-02-09",270905
"vaccine_administration_total_doses","QC","2021-02-10",276792
"vaccine_administration_total_doses","QC","2021-02-11",286663
"vaccine_administration_total_doses","QC","2021-02-12",296946
"vaccine_administration_total_doses","QC","2021-02-13",298604
"vaccine_administration_total_doses","QC","2021-02-14",299546
"vaccine_administration_total_doses","QC","2021-02-15",302589
"vaccine_administration_total_doses","QC","2021-02-16",304596
"vaccine_administration_total_doses","QC","2021-02-17",307259
"vaccine_administration_total_doses","QC","2021-02-18",319188
"vaccine_administration_total_doses","QC","2021-02-19",337602
"vaccine_administration_total_doses","QC","2021-02-20",352486
"vaccine_administration_total_doses","QC","2021-02-21",361713
"vaccine_administration_total_doses","QC","2021-02-22",373741
"vaccine_administration_total_doses","QC","2021-02-23",384545
"vaccine_administration_total_doses","QC","2021-02-24",394495
"vaccine_administration_total_doses","QC","2021-02-25",408773
"vaccine_administration_total_doses","QC","2021-02-26",426198
"vaccine_administration_total_doses","QC","2021-02-27",439269
"vaccine_administration_total_doses","QC","2021-02-28",446005
"vaccine_administration_total_doses","QC","2021-03-01",464612
"vaccine_administration_total_doses","QC","2021-03-02",482488
"vaccine_administration_total_doses","QC","2021-03-03",501007
"vaccine_administration_total_doses","QC","2021-03-04",520504
"vaccine_administration_total_doses","QC","2021-03-05",540885
"vaccine_administration_total_doses","QC","2021-03-06",556665
"vaccine_administration_total_doses","QC","2021-03-07",572279
"vaccine_administration_total_doses","QC","2021-03-08",589268
"vaccine_administration_total_doses","QC","2021-03-09",608146
"vaccine_administration_total_doses","QC","2021-03-10",627981
"vaccine_administration_total_doses","QC","2021-03-11",658293
"vaccine_administration_total_doses","QC","2021-03-12",692861
"vaccine_administration_total_doses","QC","2021-03-13",727148
"vaccine_administration_total_doses","QC","2021-03-14",755756
"vaccine_administration_total_doses","QC","2021-03-15",786424
"vaccine_administration_total_doses","QC","2021-03-16",816827
"vaccine_administration_total_doses","QC","2021-03-17",844769
"vaccine_administration_total_doses","QC","2021-03-18",885469
"vaccine_administration_total_doses","QC","2021-03-19",928070
"vaccine_administration_total_doses","QC","2021-03-20",957081
"vaccine_administration_total_doses","QC","2021-03-21",978551
"vaccine_administration_total_doses","QC","2021-03-22",1005542
"vaccine_administration_total_doses","QC","2021-03-23",1038963
"vaccine_administration_total_doses","QC","2021-03-24",1080372
"vaccine_administration_total_doses","QC","2021-03-25",1136465
