"name","region","date","value"
"vaccine_administration_dose_1","AB","2020-12-14",0
"vaccine_administration_dose_1","AB","2020-12-15",20
"vaccine_administration_dose_1","AB","2020-12-16",20
"vaccine_administration_dose_1","AB","2020-12-17",394
"vaccine_administration_dose_1","AB","2020-12-18",394
"vaccine_administration_dose_1","AB","2020-12-19",394
"vaccine_administration_dose_1","AB","2020-12-20",2148
"vaccine_administration_dose_1","AB","2020-12-21",2148
"vaccine_administration_dose_1","AB","2020-12-22",3074
"vaccine_administration_dose_1","AB","2020-12-23",3636
"vaccine_administration_dose_1","AB","2020-12-24",4711
"vaccine_administration_dose_1","AB","2020-12-25",4711
"vaccine_administration_dose_1","AB","2020-12-26",4711
"vaccine_administration_dose_1","AB","2020-12-27",4711
"vaccine_administration_dose_1","AB","2020-12-28",6016
"vaccine_administration_dose_1","AB","2020-12-29",6502
"vaccine_administration_dose_1","AB","2020-12-30",8544
"vaccine_administration_dose_1","AB","2020-12-31",11102
"vaccine_administration_dose_1","AB","2021-01-01",14244
"vaccine_administration_dose_1","AB","2021-01-02",17244
"vaccine_administration_dose_1","AB","2021-01-03",17244
"vaccine_administration_dose_1","AB","2021-01-04",22861
"vaccine_administration_dose_1","AB","2021-01-05",26269
"vaccine_administration_dose_1","AB","2021-01-06",30033
"vaccine_administration_dose_1","AB","2021-01-07",33864
"vaccine_administration_dose_1","AB","2021-01-08",37686
"vaccine_administration_dose_1","AB","2021-01-09",42333
"vaccine_administration_dose_1","AB","2021-01-10",44994
"vaccine_administration_dose_1","AB","2021-01-11",46791
"vaccine_administration_dose_1","AB","2021-01-12",52318
"vaccine_administration_dose_1","AB","2021-01-13",58144
"vaccine_administration_dose_1","AB","2021-01-14",66953
"vaccine_administration_dose_1","AB","2021-01-15",74110
"vaccine_administration_dose_1","AB","2021-01-16",81561
"vaccine_administration_dose_1","AB","2021-01-17",85935
"vaccine_administration_dose_1","AB","2021-01-18",89814
"vaccine_administration_dose_1","AB","2021-01-19",92315
"vaccine_administration_dose_1","AB","2021-01-20",95243
"vaccine_administration_dose_1","AB","2021-01-21",89503
"vaccine_administration_dose_1","AB","2021-01-22",90513
"vaccine_administration_dose_1","AB","2021-01-23",91535
"vaccine_administration_dose_1","AB","2021-01-24",91775
"vaccine_administration_dose_1","AB","2021-01-25",89577
"vaccine_administration_dose_1","AB","2021-01-26",89640
"vaccine_administration_dose_1","AB","2021-01-27",89761
"vaccine_administration_dose_1","AB","2021-01-28",89852
"vaccine_administration_dose_1","AB","2021-01-29",89975
"vaccine_administration_dose_1","AB","2021-01-30",90104
"vaccine_administration_dose_1","AB","2021-01-31",90136
"vaccine_administration_dose_1","AB","2021-02-01",90138
"vaccine_administration_dose_1","AB","2021-02-02",90247
"vaccine_administration_dose_1","AB","2021-02-03",90371
"vaccine_administration_dose_1","AB","2021-02-04",90594
"vaccine_administration_dose_1","AB","2021-02-05",90798
"vaccine_administration_dose_1","AB","2021-02-06",91176
