"name","region","date","value"
"vaccine_administration_total_doses","AB","2020-12-14",0
"vaccine_administration_total_doses","AB","2020-12-15",20
"vaccine_administration_total_doses","AB","2020-12-16",20
"vaccine_administration_total_doses","AB","2020-12-17",394
"vaccine_administration_total_doses","AB","2020-12-18",394
"vaccine_administration_total_doses","AB","2020-12-19",394
"vaccine_administration_total_doses","AB","2020-12-20",2148
"vaccine_administration_total_doses","AB","2020-12-21",2148
"vaccine_administration_total_doses","AB","2020-12-22",3074
"vaccine_administration_total_doses","AB","2020-12-23",3636
"vaccine_administration_total_doses","AB","2020-12-24",4711
"vaccine_administration_total_doses","AB","2020-12-25",4711
"vaccine_administration_total_doses","AB","2020-12-26",4711
"vaccine_administration_total_doses","AB","2020-12-27",4711
"vaccine_administration_total_doses","AB","2020-12-28",6016
"vaccine_administration_total_doses","AB","2020-12-29",6502
"vaccine_administration_total_doses","AB","2020-12-30",8544
"vaccine_administration_total_doses","AB","2020-12-31",11102
"vaccine_administration_total_doses","AB","2021-01-01",14244
"vaccine_administration_total_doses","AB","2021-01-02",17244
"vaccine_administration_total_doses","AB","2021-01-03",17244
"vaccine_administration_total_doses","AB","2021-01-04",22861
"vaccine_administration_total_doses","AB","2021-01-05",26269
"vaccine_administration_total_doses","AB","2021-01-06",30033
"vaccine_administration_total_doses","AB","2021-01-07",33864
"vaccine_administration_total_doses","AB","2021-01-08",37686
"vaccine_administration_total_doses","AB","2021-01-09",42333
"vaccine_administration_total_doses","AB","2021-01-10",44994
"vaccine_administration_total_doses","AB","2021-01-11",46791
"vaccine_administration_total_doses","AB","2021-01-12",52318
"vaccine_administration_total_doses","AB","2021-01-13",58144
"vaccine_administration_total_doses","AB","2021-01-14",66953
"vaccine_administration_total_doses","AB","2021-01-15",74110
"vaccine_administration_total_doses","AB","2021-01-16",81561
"vaccine_administration_total_doses","AB","2021-01-17",85935
"vaccine_administration_total_doses","AB","2021-01-18",89814
"vaccine_administration_total_doses","AB","2021-01-19",92315
"vaccine_administration_total_doses","AB","2021-01-20",95243
"vaccine_administration_total_doses","AB","2021-01-21",96506
"vaccine_administration_total_doses","AB","2021-01-22",97785
"vaccine_administration_total_doses","AB","2021-01-23",98807
"vaccine_administration_total_doses","AB","2021-01-24",99047
"vaccine_administration_total_doses","AB","2021-01-25",99453
"vaccine_administration_total_doses","AB","2021-01-26",99814
"vaccine_administration_total_doses","AB","2021-01-27",101123
"vaccine_administration_total_doses","AB","2021-01-28",102524
"vaccine_administration_total_doses","AB","2021-01-29",104327
"vaccine_administration_total_doses","AB","2021-01-30",105752
"vaccine_administration_total_doses","AB","2021-01-31",106254
"vaccine_administration_total_doses","AB","2021-02-01",106347
"vaccine_administration_total_doses","AB","2021-02-02",107438
"vaccine_administration_total_doses","AB","2021-02-03",109341
"vaccine_administration_total_doses","AB","2021-02-04",112388
"vaccine_administration_total_doses","AB","2021-02-05",114066
"vaccine_administration_total_doses","AB","2021-02-06",116716
"vaccine_administration_total_doses","AB","2021-02-07",118384
"vaccine_administration_total_doses","AB","2021-02-08",120357
"vaccine_administration_total_doses","AB","2021-02-09",124325
"vaccine_administration_total_doses","AB","2021-02-10",129452
"vaccine_administration_total_doses","AB","2021-02-11",135575
"vaccine_administration_total_doses","AB","2021-02-12",140389
"vaccine_administration_total_doses","AB","2021-02-13",144114
"vaccine_administration_total_doses","AB","2021-02-14",145841
"vaccine_administration_total_doses","AB","2021-02-15",146603
"vaccine_administration_total_doses","AB","2021-02-16",149138
"vaccine_administration_total_doses","AB","2021-02-17",152056
"vaccine_administration_total_doses","AB","2021-02-18",155532
"vaccine_administration_total_doses","AB","2021-02-19",160423
"vaccine_administration_total_doses","AB","2021-02-20",165527
"vaccine_administration_total_doses","AB","2021-02-21",169441
"vaccine_administration_total_doses","AB","2021-02-22",173539
"vaccine_administration_total_doses","AB","2021-02-23",180755
"vaccine_administration_total_doses","AB","2021-02-24",186572
"vaccine_administration_total_doses","AB","2021-02-25",195572
"vaccine_administration_total_doses","AB","2021-02-26",207300
"vaccine_administration_total_doses","AB","2021-02-27",218696
"vaccine_administration_total_doses","AB","2021-02-28",227678
"vaccine_administration_total_doses","AB","2021-03-01",235508
"vaccine_administration_total_doses","AB","2021-03-02",245054
"vaccine_administration_total_doses","AB","2021-03-03",255283
"vaccine_administration_total_doses","AB","2021-03-04",266231
"vaccine_administration_total_doses","AB","2021-03-05",275719
"vaccine_administration_total_doses","AB","2021-03-06",282674
"vaccine_administration_total_doses","AB","2021-03-07",290391
"vaccine_administration_total_doses","AB","2021-03-08",297692
"vaccine_administration_total_doses","AB","2021-03-09",303823
"vaccine_administration_total_doses","AB","2021-03-10",308962
"vaccine_administration_total_doses","AB","2021-03-11",317574
"vaccine_administration_total_doses","AB","2021-03-12",333379
"vaccine_administration_total_doses","AB","2021-03-13",346135
"vaccine_administration_total_doses","AB","2021-03-14",357983
"vaccine_administration_total_doses","AB","2021-03-15",368124
"vaccine_administration_total_doses","AB","2021-03-16",379882
"vaccine_administration_total_doses","AB","2021-03-17",397492
"vaccine_administration_total_doses","AB","2021-03-18",418663
"vaccine_administration_total_doses","AB","2021-03-19",439069
"vaccine_administration_total_doses","AB","2021-03-20",452690
"vaccine_administration_total_doses","AB","2021-03-21",459856
"vaccine_administration_total_doses","AB","2021-03-22",487493
"vaccine_administration_total_doses","AB","2021-03-23",497280
"vaccine_administration_total_doses","AB","2021-03-24",512248
"vaccine_administration_total_doses","AB","2021-03-25",532171
"vaccine_administration_total_doses","AB","2021-03-26",558763
"vaccine_administration_total_doses","AB","2021-03-27",577223
"vaccine_administration_total_doses","AB","2021-03-28",594723
"vaccine_administration_total_doses","AB","2021-03-29",608032
"vaccine_administration_total_doses","AB","2021-03-30",620009
"vaccine_administration_total_doses","AB","2021-03-31",634997
"vaccine_administration_total_doses","AB","2021-04-01",653010
"vaccine_administration_total_doses","AB","2021-04-02",653010
"vaccine_administration_total_doses","AB","2021-04-03",653010
"vaccine_administration_total_doses","AB","2021-04-04",653010
"vaccine_administration_total_doses","AB","2021-04-05",707482
"vaccine_administration_total_doses","AB","2021-04-06",734403
"vaccine_administration_total_doses","AB","2021-04-07",755831
"vaccine_administration_total_doses","AB","2021-04-08",779817
"vaccine_administration_total_doses","AB","2021-04-09",818689
"vaccine_administration_total_doses","AB","2021-04-10",818689
"vaccine_administration_total_doses","AB","2021-04-11",847630
"vaccine_administration_total_doses","AB","2021-04-12",932258
"vaccine_administration_total_doses","AB","2021-04-13",970272
"vaccine_administration_total_doses","AB","2021-04-14",1004123
"vaccine_administration_total_doses","AB","2021-04-15",1043570
"vaccine_administration_total_doses","AB","2021-04-16",1082391
"vaccine_administration_total_doses","AB","2021-04-17",1121901
"vaccine_administration_total_doses","AB","2021-04-18",1147048
"vaccine_administration_total_doses","AB","2021-04-19",1165223
"vaccine_administration_total_doses","AB","2021-04-20",1196428
"vaccine_administration_total_doses","AB","2021-04-21",1232925
"vaccine_administration_total_doses","AB","2021-04-22",1275287
"vaccine_administration_total_doses","AB","2021-04-23",1319837
"vaccine_administration_total_doses","AB","2021-04-24",1361365
"vaccine_administration_total_doses","AB","2021-04-25",1398673
"vaccine_administration_total_doses","AB","2021-04-26",1419188
"vaccine_administration_total_doses","AB","2021-04-27",1468785
"vaccine_administration_total_doses","AB","2021-04-28",1497256
"vaccine_administration_total_doses","AB","2021-04-29",1528569
"vaccine_administration_total_doses","AB","2021-04-30",1562713
"vaccine_administration_total_doses","AB","2021-05-01",1597666
"vaccine_administration_total_doses","AB","2021-05-02",1621306
