"date_start","date_end","region","sub_region_1","cases_weekly","cases_weekly_per_100k","population"
"2020-01-05","2020-01-11","ON",,0,0,14726022
"2020-01-12","2020-01-18","ON",,0,0,14726022
"2020-01-19","2020-01-25","ON",,3,0.0203721004898675,14726022
"2020-01-26","2020-02-01","ON",,0,0,14726022
"2020-02-02","2020-02-08","ON",,1,0.00679070016328918,14726022
"2020-02-09","2020-02-15","ON",,0,0,14726022
"2020-02-16","2020-02-22","ON",,1,0.00679070016328918,14726022
"2020-02-23","2020-02-29","ON",,13,0.0882791021227593,14726022
"2020-03-01","2020-03-07","ON",,15,0.101860502449338,14726022
"2020-03-08","2020-03-14","ON",,148,1.0050236241668,14726022
"2020-03-15","2020-03-21","ON",,447,3.03544297299026,14726022
"2020-03-22","2020-03-28","ON",,1327,9.01125911668474,14726022
"2020-03-29","2020-04-04","ON",,2798,19.0003790568831,14726022
"2020-04-05","2020-04-11","ON",,3168,21.5129381173001,14726022
"2020-04-12","2020-04-18","ON",,4261,28.9351733957752,14726022
"2020-04-19","2020-04-25","ON",,3653,24.8064276964954,14726022
"2020-04-26","2020-05-02","ON",,2908,19.7473560748449,14726022
"2020-05-03","2020-05-09","ON",,2361,16.0328430855257,14726022
"2020-05-10","2020-05-16","ON",,2225,15.1093078633184,14726022
"2020-05-17","2020-05-23","ON",,2621,17.7984251279809,14726022
"2020-05-24","2020-05-30","ON",,2613,17.7440995266746,14726022
"2020-05-31","2020-06-06","ON",,2302,15.6321917758917,14726022
"2020-06-07","2020-06-13","ON",,1472,9.99591064036167,14726022
"2020-06-14","2020-06-20","ON",,1226,8.32539840019253,14726022
"2020-06-21","2020-06-27","ON",,1250,8.48837520411147,14726022
"2020-06-28","2020-07-04","ON",,1084,7.36111897700547,14726022
"2020-07-05","2020-07-11","ON",,868,5.894327741735,14726022
"2020-07-12","2020-07-18","ON",,933,6.3357232523488,14726022
"2020-07-19","2020-07-25","ON",,994,6.74995596230944,14726022
"2020-07-26","2020-08-01","ON",,808,5.48688573193765,14726022
"2020-08-02","2020-08-08","ON",,591,4.0133037965039,14726022
"2020-08-09","2020-08-15","ON",,611,4.14911779976969,14726022
"2020-08-16","2020-08-22","ON",,730,4.9572111192011,14726022
"2020-08-23","2020-08-29","ON",,848,5.75851373846922,14726022
"2020-08-30","2020-09-05","ON",,976,6.62772335937024,14726022
"2020-09-06","2020-09-12","ON",,1511,10.2607479467299,14726022
"2020-09-13","2020-09-19","ON",,2372,16.1075407873219,14726022
"2020-09-20","2020-09-26","ON",,3123,21.2073566099521,14726022
"2020-09-27","2020-10-03","ON",,4225,28.6907081898968,14726022
"2020-10-04","2020-10-10","ON",,5039,34.2183381228142,14726022
"2020-10-11","2020-10-17","ON",,5274,35.8141526611871,14726022
"2020-10-18","2020-10-24","ON",,6041,41.0226196864299,14726022
"2020-10-25","2020-10-31","ON",,6391,43.3993647435811,14726022
"2020-11-01","2020-11-07","ON",,7603,51.6296933414876,14726022
"2020-11-08","2020-11-14","ON",,10443,70.9152818052289,14726022
"2020-11-15","2020-11-21","ON",,10038,68.1650482390967,14726022
"2020-11-22","2020-11-28","ON",,11142,75.661981219368,14726022
"2020-11-29","2020-12-05","ON",,12687,86.1536129716498,14726022
"2020-12-06","2020-12-12","ON",,13066,88.7272883335364,14726022
"2020-12-13","2020-12-19","ON",,15667,106.389899458252,14726022
"2020-12-20","2020-12-26","ON",,15623,106.091108651067,14726022
"2020-12-27","2021-01-02","ON",,20459,138.930934640733,14726022
"2021-01-03","2021-01-09","ON",,24875,167.969264089346,14809257
"2021-01-10","2021-01-16","ON",,21385,144.402923117615,14809257
"2021-01-17","2021-01-23","ON",,16416,110.849585499124,14809257
"2021-01-24","2021-01-30","ON",,12774,86.2568594764747,14809257
"2021-01-31","2021-02-06","ON",,9782,66.0532800531451,14809257
"2021-02-07","2021-02-13","ON",,7901,53.3517650480372,14809257
"2021-02-14","2021-02-20","ON",,7462,50.387402960189,14809257
"2021-02-21","2021-02-27","ON",,7682,51.872960270728,14809257
"2021-02-28","2021-03-06","ON",,7938,53.6016087775369,14809257
"2021-03-07","2021-03-13","ON",,9499,64.1423131491337,14809257
"2021-03-14","2021-03-20","ON",,11040,74.547966856136,14809257
"2021-03-21","2021-03-27","ON",,14400,97.2364785080035,14809257
"2021-03-28","2021-04-03","ON",,18945,127.926742037092,14809257
"2021-04-04","2021-04-10","ON",,25584,172.75681014922,14809257
"2021-04-11","2021-04-17","ON",,30883,208.538483733519,14809257
"2021-04-18","2021-04-24","ON",,28350,191.434317062632,14809257
"2021-04-25","2021-05-01","ON",,25215,170.265125387452,14809257
"2021-05-02","2021-05-08","ON",,20756,140.155579716119,14809257
"2021-05-09","2021-05-15","ON",,16535,111.653136953461,14809257
"2021-05-16","2021-05-22","ON",,12647,85.3992877563,14809257
"2021-05-23","2021-05-29","ON",,7766,52.4401730620247,14809257
"2021-05-30","2021-06-05","ON",,5212,35.1942031933135,14809257
"2021-06-06","2021-06-12","ON",,3485,23.5325783055828,14809257
"2021-06-13","2021-06-19","ON",,2420,16.3411304159284,14809257
"2021-06-20","2021-06-26","ON",,1884,12.7217726047971,14809257
"2021-06-27","2021-07-03","ON",,1472,9.93972891415147,14809257
"2021-07-04","2021-07-10","ON",,1227,8.28535827286946,14809257
"2021-07-11","2021-07-17","ON",,1044,7.04964469183025,14809257
"2021-07-18","2021-07-24","ON",,1102,7.44129161915415,14809257
"2021-07-25","2021-07-31","ON",,1349,9.1091673268956,14809257
"2021-08-01","2021-08-07","ON",,1903,12.8500707361618,14809257
"2021-08-08","2021-08-14","ON",,3170,21.4055303382202,14809257
"2021-08-15","2021-08-21","ON",,4143,27.9757451707402,14809257
"2021-08-22","2021-08-28","ON",,4765,32.1758208396275,14809257
"2021-08-29","2021-09-04","ON",,5179,34.9713695967326,14809257
"2021-09-05","2021-09-11","ON",,5057,34.1475605427065,14809257
"2021-09-12","2021-09-18","ON",,4911,33.161690691167,14809257
"2021-09-19","2021-09-25","ON",,4400,29.7111462107788,14809257
"2021-09-26","2021-10-02","ON",,3948,26.6590011909443,14809257
"2021-10-03","2021-10-09","ON",,3843,25.9499852018234,14809257
