"date_start","date_end","region","sub_region_1","coverage_type","coverage_cum_percent","coverage_cum_individuals"
"2020-12-13","2020-12-19","ON",,"At least one dose",0.0224328770831923,3447
"2020-12-13","2020-12-19","ON",,"Completed primary series",6.5079422927741e-06,1
"2020-12-13","2020-12-19","ON",,"Completed primary series and 1 booster dose",0,0
"2020-12-13","2020-12-19","ON",,"Completed primary series and 2+ booster doses",0,0
"2020-12-20","2020-12-26","ON",,"At least one dose",0.0810303894873303,12451
"2020-12-20","2020-12-26","ON",,"Completed primary series",1.95238268783223e-05,3
"2020-12-20","2020-12-26","ON",,"Completed primary series and 1 booster dose",0,0
"2020-12-20","2020-12-26","ON",,"Completed primary series and 2+ booster doses",0,0
"2020-12-27","2021-01-02","ON",,"At least one dose",0.267534999713651,41109
"2020-12-27","2021-01-02","ON",,"Completed primary series",5.85714806349669e-05,9
"2020-12-27","2021-01-02","ON",,"Completed primary series and 1 booster dose",0,0
"2020-12-27","2021-01-02","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-01-03","2021-01-09","ON",,"At least one dose",0.80642516126681,123914
"2021-01-03","2021-01-09","ON",,"Completed primary series",0.0214892254507401,3302
"2021-01-03","2021-01-09","ON",,"Completed primary series and 1 booster dose",0,0
"2021-01-03","2021-01-09","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-01-10","2021-01-16","ON",,"At least one dose",1.35778454025292,208635
"2021-01-10","2021-01-16","ON",,"Completed primary series",0.0777699103986505,11950
"2021-01-10","2021-01-16","ON",,"Completed primary series and 1 booster dose",0,0
"2021-01-10","2021-01-16","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-01-17","2021-01-23","ON",,"At least one dose",1.54952804402493,238098
"2021-01-17","2021-01-23","ON",,"Completed primary series",0.217293685213434,33389
"2021-01-17","2021-01-23","ON",,"Completed primary series and 1 booster dose",0,0
"2021-01-17","2021-01-23","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-01-24","2021-01-30","ON",,"At least one dose",1.63555653319311,251317
"2021-01-24","2021-01-30","ON",,"Completed primary series",0.472574229589791,72615
"2021-01-24","2021-01-30","ON",,"Completed primary series and 1 booster dose",0,0
"2021-01-24","2021-01-30","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-01-31","2021-02-06","ON",,"At least one dose",1.6921235676019,260009
"2021-01-31","2021-02-06","ON",,"Completed primary series",0.637765328807276,97998
"2021-01-31","2021-02-06","ON",,"Completed primary series and 1 booster dose",0,0
"2021-01-31","2021-02-06","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-02-07","2021-02-13","ON",,"At least one dose",1.79516381792339,275842
"2021-02-07","2021-02-13","ON",,"Completed primary series",1.06571459809552,163756
"2021-02-07","2021-02-13","ON",,"Completed primary series and 1 booster dose",0,0
"2021-02-07","2021-02-13","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-02-14","2021-02-20","ON",,"At least one dose",2.00179098571897,307592
"2021-02-14","2021-02-20","ON",,"Completed primary series",1.43664127701447,220752
"2021-02-14","2021-02-20","ON",,"Completed primary series and 1 booster dose",0,0
"2021-02-14","2021-02-20","ON",,"Completed primary series and 2+ booster doses",0,0
