"date","source","date_start","date_end","region","sub_region_1","cases","deaths","new_hospitalizations","new_icu","positivity_rate"
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK",,488,16,170,6,9
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Far North West",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Far North Central",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Far North East",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","North West",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","North Central",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","North East",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Saskatoon",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Central West",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Central East",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Regina",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","South West",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","South Central",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","South East",,,,,
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-11","2022-09-17","SK","Unknown",488,16,,,9
"2022-10-13","https://pubsaskdev.blob.core.windows.net/pubsask-prod/137344/CRISP%252BREPORT%252B2022%252B10%252B13.pdf","2022-09-18","2022-09-24","SK",,469,7,189,9,8.8
