"name","region","sub_region_1","date","value"
"cases","AB","CALGARY","2020-04-01",613
"cases","AB","CALGARY","2020-04-02",695
"cases","AB","CALGARY","2020-04-03",741
"cases","AB","CALGARY","2020-04-04",774
"cases","AB","CALGARY","2020-04-05",789
"cases","AB","CALGARY","2020-04-06",806
"cases","AB","CALGARY","2020-04-07",831
"cases","AB","CALGARY","2020-04-08",850
"cases","AB","CALGARY","2020-04-09",888
"cases","AB","CALGARY","2020-04-10",933
"cases","AB","CALGARY","2020-04-11",984
"cases","AB","CALGARY","2020-04-12",1043
"cases","AB","CALGARY","2020-04-13",1107
"cases","AB","CALGARY","2020-04-14",1218
"cases","AB","CALGARY","2020-04-15",1320
"cases","AB","CALGARY","2020-04-16",1451
"cases","AB","CALGARY","2020-04-17",1632
"cases","AB","CALGARY","2020-04-18",1774
"cases","AB","CALGARY","2020-04-19",1928
"cases","AB","CALGARY","2020-04-20",2041
"cases","AB","CALGARY","2020-04-21",2204
"cases","AB","CALGARY","2020-04-22",2436
"cases","AB","CALGARY","2020-04-23",2670
"cases","AB","CALGARY","2020-04-24",2824
"cases","AB","CALGARY","2020-04-25",2958
"cases","AB","CALGARY","2020-04-26",3083
"cases","AB","CALGARY","2020-04-27",3196
"cases","AB","CALGARY","2020-04-28",3332
"cases","AB","CALGARY","2020-04-29",3438
"cases","AB","CALGARY","2020-04-30",3524
"cases","AB","CALGARY","2020-05-01",3630
"cases","AB","CALGARY","2020-05-02",3722
"cases","AB","CALGARY","2020-05-03",3778
"cases","AB","CALGARY","2020-05-04",3844
"cases","AB","CALGARY","2020-05-05",3891
"cases","AB","CALGARY","2020-05-06",3946
"cases","AB","CALGARY","2020-05-07",4013
"cases","AB","CALGARY","2020-05-08",4079
"cases","AB","CALGARY","2020-05-09",4149
"cases","AB","CALGARY","2020-05-10",4210
"cases","AB","CALGARY","2020-05-11",4254
"cases","AB","CALGARY","2020-05-12",4318
"cases","AB","CALGARY","2020-05-13",4365
"cases","AB","CALGARY","2020-05-14",4409
"cases","AB","CALGARY","2020-05-15",4467
"cases","AB","CALGARY","2020-05-16",4512
"cases","AB","CALGARY","2020-05-17",4553
"cases","AB","CALGARY","2020-05-18",4587
"cases","AB","CALGARY","2020-05-19",4625
"cases","AB","CALGARY","2020-05-20",4646
"cases","AB","CALGARY","2020-05-21",4670
"cases","AB","CALGARY","2020-05-22",4691
"cases","AB","CALGARY","2020-05-23",4720
"cases","AB","CALGARY","2020-05-24",4742
"cases","AB","CALGARY","2020-05-25",4755
"cases","AB","CALGARY","2020-05-26",4770
"cases","AB","CALGARY","2020-05-27",4793
"cases","AB","CALGARY","2020-05-28",4816
"cases","AB","CALGARY","2020-05-29",4836
"cases","AB","CALGARY","2020-05-30",4848
"cases","AB","CALGARY","2020-05-31",4869
"cases","AB","CALGARY","2020-06-01",4887
"cases","AB","CALGARY","2020-06-02",4894
"cases","AB","CALGARY","2020-06-03",4908
"cases","AB","CALGARY","2020-06-04",4919
"cases","AB","CALGARY","2020-06-05",4931
"cases","AB","CALGARY","2020-06-06",4942
"cases","AB","CALGARY","2020-06-07",4950
"cases","AB","CALGARY","2020-06-08",4961
"cases","AB","CALGARY","2020-06-09",4982
"cases","AB","CALGARY","2020-06-10",5006
"cases","AB","CALGARY","2020-06-11",5027
"cases","AB","CALGARY","2020-06-12",5036
"cases","AB","CALGARY","2020-06-13",5059
"cases","AB","CALGARY","2020-06-14",5078
"cases","AB","CALGARY","2020-06-15",5089
"cases","AB","CALGARY","2020-06-16",5110
"cases","AB","CALGARY","2020-06-17",5126
"cases","AB","CALGARY","2020-06-18",5145
"cases","AB","CALGARY","2020-06-19",5162
"cases","AB","CALGARY","2020-06-20",5167
"cases","AB","CALGARY","2020-06-21",5190
"cases","AB","CALGARY","2020-06-22",5202
"cases","AB","CALGARY","2020-06-23",5213
"cases","AB","CALGARY","2020-06-24",5221
"cases","AB","CALGARY","2020-06-25",5233
"cases","AB","CALGARY","2020-06-26",5267
"cases","AB","CALGARY","2020-06-27",5278
"cases","AB","CALGARY","2020-06-28",5309
"cases","AB","CALGARY","2020-06-29",5331
"cases","AB","CALGARY","2020-06-30",5345
"cases","AB","CALGARY","2020-07-01",5362
"cases","AB","CALGARY","2020-07-02",5365
"cases","AB","CALGARY","2020-07-03",5379
"cases","AB","CALGARY","2020-07-04",5399
"cases","AB","CALGARY","2020-07-05",5416
"cases","AB","CALGARY","2020-07-06",5430
"cases","AB","CALGARY","2020-07-07",5445
"cases","AB","CALGARY","2020-07-08",5464
"cases","AB","CALGARY","2020-07-09",5498
"cases","AB","CALGARY","2020-07-10",5514
"cases","AB","CALGARY","2020-07-11",5558
"cases","AB","CALGARY","2020-07-12",5601
"cases","AB","CALGARY","2020-07-13",5639
"cases","AB","CALGARY","2020-07-14",5669
"cases","AB","CALGARY","2020-07-15",5728
"cases","AB","CALGARY","2020-07-16",5765
"cases","AB","CALGARY","2020-07-17",5867
"cases","AB","CALGARY","2020-07-18",5929
"cases","AB","CALGARY","2020-07-19",5981
"cases","AB","CALGARY","2020-07-20",6033
"cases","AB","CALGARY","2020-07-21",6112
"cases","AB","CALGARY","2020-07-22",6172
"cases","AB","CALGARY","2020-07-23",6228
"cases","AB","CALGARY","2020-07-24",6279
"cases","AB","CALGARY","2020-07-25",6330
"cases","AB","CALGARY","2020-07-26",6366
"cases","AB","CALGARY","2020-07-27",6397
"cases","AB","CALGARY","2020-07-28",6440
"cases","AB","CALGARY","2020-07-29",6463
"cases","AB","CALGARY","2020-07-30",6489
"cases","AB","CALGARY","2020-07-31",6533
"cases","AB","CALGARY","2020-08-01",6558
"cases","AB","CALGARY","2020-08-02",6579
"cases","AB","CALGARY","2020-08-03",6595
"cases","AB","CALGARY","2020-08-04",6625
"cases","AB","CALGARY","2020-08-05",6641
"cases","AB","CALGARY","2020-08-06",6673
"cases","AB","CALGARY","2020-08-07",6708
"cases","AB","CALGARY","2020-08-08",6744
"cases","AB","CALGARY","2020-08-09",6758
"cases","AB","CALGARY","2020-08-10",6769
"cases","AB","CALGARY","2020-08-11",6783
"cases","AB","CALGARY","2020-08-12",6814
"cases","AB","CALGARY","2020-08-13",6833
"cases","AB","CALGARY","2020-08-14",6854
"cases","AB","CALGARY","2020-08-15",6877
"cases","AB","CALGARY","2020-08-16",6897
"cases","AB","CALGARY","2020-08-17",6910
"cases","AB","CALGARY","2020-08-18",6930
"cases","AB","CALGARY","2020-08-19",6964
"cases","AB","CALGARY","2020-08-20",6999
"cases","AB","CALGARY","2020-08-21",7046
"cases","AB","CALGARY","2020-08-22",7087
"cases","AB","CALGARY","2020-08-23",7115
"cases","AB","CALGARY","2020-08-24",7132
"cases","AB","CALGARY","2020-08-25",7178
"cases","AB","CALGARY","2020-08-26",7214
"cases","AB","CALGARY","2020-08-27",7310
"cases","AB","CALGARY","2020-08-28",7392
"cases","AB","CALGARY","2020-08-29",7462
"cases","AB","CALGARY","2020-08-30",7494
"cases","AB","CALGARY","2020-08-31",7560
"cases","AB","CALGARY","2020-09-01",7592
"cases","AB","CALGARY","2020-09-02",7644
"cases","AB","CALGARY","2020-09-03",7696
"cases","AB","CALGARY","2020-09-04",7761
"cases","AB","CALGARY","2020-09-05",7808
"cases","AB","CALGARY","2020-09-06",7855
"cases","AB","CALGARY","2020-09-07",7901
"cases","AB","CALGARY","2020-09-08",7930
"cases","AB","CALGARY","2020-09-09",7957
"cases","AB","CALGARY","2020-09-10",7985
"cases","AB","CALGARY","2020-09-11",8031
"cases","AB","CALGARY","2020-09-12",8080
"cases","AB","CALGARY","2020-09-13",8135
"cases","AB","CALGARY","2020-09-14",8166
"cases","AB","CALGARY","2020-09-15",8213
"cases","AB","CALGARY","2020-09-16",8255
"cases","AB","CALGARY","2020-09-17",8303
"cases","AB","CALGARY","2020-09-18",8338
"cases","AB","CALGARY","2020-09-19",8375
"cases","AB","CALGARY","2020-09-20",8417
"cases","AB","CALGARY","2020-09-21",8477
"cases","AB","CALGARY","2020-09-22",8511
"cases","AB","CALGARY","2020-09-23",8574
"cases","AB","CALGARY","2020-09-24",8615
"cases","AB","CALGARY","2020-09-25",8684
"cases","AB","CALGARY","2020-09-26",8742
"cases","AB","CALGARY","2020-09-27",8785
"cases","AB","CALGARY","2020-09-28",8846
"cases","AB","CALGARY","2020-09-29",8890
"cases","AB","CALGARY","2020-09-30",8924
"cases","AB","CALGARY","2020-10-01",8960
"cases","AB","CALGARY","2020-10-02",9032
"cases","AB","CALGARY","2020-10-03",9085
"cases","AB","CALGARY","2020-10-04",9138
"cases","AB","CALGARY","2020-10-05",9190
"cases","AB","CALGARY","2020-10-06",9237
"cases","AB","CALGARY","2020-10-07",9292
"cases","AB","CALGARY","2020-10-08",9336
"cases","AB","CALGARY","2020-10-09",9410
"cases","AB","CALGARY","2020-10-10",9482
"cases","AB","CALGARY","2020-10-11",9556
"cases","AB","CALGARY","2020-10-12",9625
"cases","AB","CALGARY","2020-10-13",9697
"cases","AB","CALGARY","2020-10-14",9775
"cases","AB","CALGARY","2020-10-15",9869
"cases","AB","CALGARY","2020-10-16",9972
"cases","AB","CALGARY","2020-10-17",10083
"cases","AB","CALGARY","2020-10-18",10195
"cases","AB","CALGARY","2020-10-19",10321
"cases","AB","CALGARY","2020-10-20",10502
"cases","AB","CALGARY","2020-10-21",10667
"cases","AB","CALGARY","2020-10-22",10817
"cases","AB","CALGARY","2020-10-23",10975
"cases","AB","CALGARY","2020-10-24",11131
"cases","AB","CALGARY","2020-10-25",11289
"cases","AB","CALGARY","2020-10-26",11503
"cases","AB","CALGARY","2020-10-27",11709
"cases","AB","CALGARY","2020-10-28",11923
"cases","AB","CALGARY","2020-10-29",12205
"cases","AB","CALGARY","2020-10-30",12493
"cases","AB","CALGARY","2020-10-31",12739
"cases","AB","CALGARY","2020-11-01",12959
"cases","AB","CALGARY","2020-11-02",13172
"cases","AB","CALGARY","2020-11-03",13379
