"name","region","sub_region_1","date","value"
"deaths","AB","","2021-11-18",3211
"deaths","AB","","2021-11-21",3217
"deaths","AB","","2021-11-22",3227
"deaths","AB","","2021-11-23",3231
"deaths","AB","","2021-11-24",3232
"deaths","AB","","2021-11-25",3235
"deaths","AB","","2021-11-28",3242
"deaths","AB","","2021-11-29",3248
"deaths","AB","","2021-11-30",3255
"deaths","AB","","2021-12-01",3257
"deaths","AB","","2021-12-02",3258
"deaths","AB","","2021-12-05",3263
"deaths","AB","","2021-12-06",3268
"deaths","AB","","2021-12-07",3272
"deaths","AB","","2021-12-08",3271
"deaths","AB","","2021-12-09",3272
"deaths","AB","","2021-12-12",3275
"deaths","AB","","2021-12-13",3283
"deaths","AB","","2021-12-14",3286
"deaths","AB","","2021-12-15",3285
"deaths","AB","","2021-12-16",3286
"deaths","AB","","2021-12-19",3292
"deaths","AB","","2021-12-20",3294
"deaths","AB","","2021-12-21",3299
"deaths","AB","","2021-12-22",3299
"deaths","AB","","2021-12-28",3310
"deaths","AB","","2022-01-03",3322
"deaths","AB","","2022-01-04",3333
"deaths","AB","","2022-01-05",3336
"deaths","AB","","2022-01-06",3338
"deaths","AB","","2022-01-09",3344
"deaths","AB","","2022-01-10",3352
"deaths","AB","","2022-01-11",3367
"deaths","AB","","2022-01-12",3375
"deaths","AB","","2022-01-13",3380
"deaths","AB","","2022-01-16",3403
"deaths","AB","","2022-01-17",3412
"deaths","AB","","2022-01-18",3413
"deaths","AB","","2022-01-19",3421
"deaths","AB","","2022-01-20",3429
"deaths","AB","","2022-01-24",3483
"deaths","AB","","2022-01-25",3505
"deaths","AB","","2022-01-26",3518
"deaths","AB","","2022-01-27",3531
"deaths","AB","","2022-01-30",3566
"deaths","AB","","2022-01-31",3579
"deaths","AB","","2022-02-01",3593
"deaths","AB","","2022-02-02",3608
"deaths","AB","","2022-02-03",3634
"deaths","AB","","2022-02-06",3673
"deaths","AB","","2022-02-07",3686
"deaths","AB","","2022-02-08",3696
"deaths","AB","","2022-02-09",3718
"deaths","AB","","2022-02-10",3741
"deaths","AB","","2022-02-13",3776
"deaths","AB","","2022-02-14",3790
"deaths","AB","","2022-02-15",3804
"deaths","AB","","2022-02-16",3822
"deaths","AB","","2022-02-17",3830
"deaths","AB","","2022-02-22",3883
"deaths","AB","","2022-02-23",3885
