"name","region","date","value"
"hospitalizations","AB","2020-03-06",0
"hospitalizations","AB","2020-03-07",0
"hospitalizations","AB","2020-03-08",0
"hospitalizations","AB","2020-03-09",1
"hospitalizations","AB","2020-03-10",1
"hospitalizations","AB","2020-03-11",1
"hospitalizations","AB","2020-03-12",2
"hospitalizations","AB","2020-03-13",5
"hospitalizations","AB","2020-03-14",5
"hospitalizations","AB","2020-03-15",5
"hospitalizations","AB","2020-03-16",6
"hospitalizations","AB","2020-03-17",7
"hospitalizations","AB","2020-03-18",12
"hospitalizations","AB","2020-03-19",15
"hospitalizations","AB","2020-03-20",16
"hospitalizations","AB","2020-03-21",19
"hospitalizations","AB","2020-03-22",20
"hospitalizations","AB","2020-03-23",22
"hospitalizations","AB","2020-03-24",29
"hospitalizations","AB","2020-03-25",33
"hospitalizations","AB","2020-03-26",34
"hospitalizations","AB","2020-03-27",35
"hospitalizations","AB","2020-03-28",38
"hospitalizations","AB","2020-03-29",40
"hospitalizations","AB","2020-03-30",42
"hospitalizations","AB","2020-03-31",42
"hospitalizations","AB","2020-04-01",41
"hospitalizations","AB","2020-04-02",43
"hospitalizations","AB","2020-04-03",45
"hospitalizations","AB","2020-04-04",47
"hospitalizations","AB","2020-04-05",44
"hospitalizations","AB","2020-04-06",45
"hospitalizations","AB","2020-04-07",46
"hospitalizations","AB","2020-04-08",49
"hospitalizations","AB","2020-04-09",50
"hospitalizations","AB","2020-04-10",52
"hospitalizations","AB","2020-04-11",52
"hospitalizations","AB","2020-04-12",50
"hospitalizations","AB","2020-04-13",49
"hospitalizations","AB","2020-04-14",48
"hospitalizations","AB","2020-04-15",55
"hospitalizations","AB","2020-04-16",58
"hospitalizations","AB","2020-04-17",63
"hospitalizations","AB","2020-04-18",56
"hospitalizations","AB","2020-04-19",62
"hospitalizations","AB","2020-04-20",62
"hospitalizations","AB","2020-04-21",61
"hospitalizations","AB","2020-04-22",64
"hospitalizations","AB","2020-04-23",65
"hospitalizations","AB","2020-04-24",70
"hospitalizations","AB","2020-04-25",70
"hospitalizations","AB","2020-04-26",75
"hospitalizations","AB","2020-04-27",77
"hospitalizations","AB","2020-04-28",79
"hospitalizations","AB","2020-04-29",86
"hospitalizations","AB","2020-04-30",89
"hospitalizations","AB","2020-05-01",82
"hospitalizations","AB","2020-05-02",83
"hospitalizations","AB","2020-05-03",83
"hospitalizations","AB","2020-05-04",82
"hospitalizations","AB","2020-05-05",84
"hospitalizations","AB","2020-05-06",79
"hospitalizations","AB","2020-05-07",78
"hospitalizations","AB","2020-05-08",73
"hospitalizations","AB","2020-05-09",64
"hospitalizations","AB","2020-05-10",65
"hospitalizations","AB","2020-05-11",64
"hospitalizations","AB","2020-05-12",65
"hospitalizations","AB","2020-05-13",61
"hospitalizations","AB","2020-05-14",57
"hospitalizations","AB","2020-05-15",52
"hospitalizations","AB","2020-05-16",50
"hospitalizations","AB","2020-05-17",50
"hospitalizations","AB","2020-05-18",50
"hospitalizations","AB","2020-05-19",45
"hospitalizations","AB","2020-05-20",44
"hospitalizations","AB","2020-05-21",42
"hospitalizations","AB","2020-05-22",39
"hospitalizations","AB","2020-05-23",35
"hospitalizations","AB","2020-05-24",33
"hospitalizations","AB","2020-05-25",33
"hospitalizations","AB","2020-05-26",33
"hospitalizations","AB","2020-05-27",31
"hospitalizations","AB","2020-05-28",32
"hospitalizations","AB","2020-05-29",33
"hospitalizations","AB","2020-05-30",27
"hospitalizations","AB","2020-05-31",24
"hospitalizations","AB","2020-06-01",24
"hospitalizations","AB","2020-06-02",25
"hospitalizations","AB","2020-06-03",20
"hospitalizations","AB","2020-06-04",18
"hospitalizations","AB","2020-06-05",18
"hospitalizations","AB","2020-06-06",18
"hospitalizations","AB","2020-06-07",20
"hospitalizations","AB","2020-06-08",19
"hospitalizations","AB","2020-06-09",16
"hospitalizations","AB","2020-06-10",16
"hospitalizations","AB","2020-06-11",16
"hospitalizations","AB","2020-06-12",20
"hospitalizations","AB","2020-06-13",18
"hospitalizations","AB","2020-06-14",20
"hospitalizations","AB","2020-06-15",25
"hospitalizations","AB","2020-06-16",27
"hospitalizations","AB","2020-06-17",28
"hospitalizations","AB","2020-06-18",30
"hospitalizations","AB","2020-06-19",30
"hospitalizations","AB","2020-06-20",27
"hospitalizations","AB","2020-06-21",28
"hospitalizations","AB","2020-06-22",26
"hospitalizations","AB","2020-06-23",28
"hospitalizations","AB","2020-06-24",27
"hospitalizations","AB","2020-06-25",30
"hospitalizations","AB","2020-06-26",32
"hospitalizations","AB","2020-06-27",32
"hospitalizations","AB","2020-06-28",32
"hospitalizations","AB","2020-06-29",32
"hospitalizations","AB","2020-06-30",32
"hospitalizations","AB","2020-07-01",30
"hospitalizations","AB","2020-07-02",33
"hospitalizations","AB","2020-07-03",38
"hospitalizations","AB","2020-07-04",46
"hospitalizations","AB","2020-07-05",46
"hospitalizations","AB","2020-07-06",47
"hospitalizations","AB","2020-07-07",47
"hospitalizations","AB","2020-07-08",41
"hospitalizations","AB","2020-07-09",41
"hospitalizations","AB","2020-07-10",43
"hospitalizations","AB","2020-07-11",44
"hospitalizations","AB","2020-07-12",46
"hospitalizations","AB","2020-07-13",56
"hospitalizations","AB","2020-07-14",61
"hospitalizations","AB","2020-07-15",64
"hospitalizations","AB","2020-07-16",68
"hospitalizations","AB","2020-07-17",75
"hospitalizations","AB","2020-07-18",75
"hospitalizations","AB","2020-07-19",76
"hospitalizations","AB","2020-07-20",85
"hospitalizations","AB","2020-07-21",92
"hospitalizations","AB","2020-07-22",94
"hospitalizations","AB","2020-07-23",90
"hospitalizations","AB","2020-07-24",88
"hospitalizations","AB","2020-07-25",78
"hospitalizations","AB","2020-07-26",79
"hospitalizations","AB","2020-07-27",79
"hospitalizations","AB","2020-07-28",76
"hospitalizations","AB","2020-07-29",77
"hospitalizations","AB","2020-07-30",75
"hospitalizations","AB","2020-07-31",75
"hospitalizations","AB","2020-08-01",71
"hospitalizations","AB","2020-08-02",72
"hospitalizations","AB","2020-08-03",72
"hospitalizations","AB","2020-08-04",65
"hospitalizations","AB","2020-08-05",62
"hospitalizations","AB","2020-08-06",55
"hospitalizations","AB","2020-08-07",54
"hospitalizations","AB","2020-08-08",54
"hospitalizations","AB","2020-08-09",51
"hospitalizations","AB","2020-08-10",49
"hospitalizations","AB","2020-08-11",47
"hospitalizations","AB","2020-08-12",49
"hospitalizations","AB","2020-08-13",48
"hospitalizations","AB","2020-08-14",46
"hospitalizations","AB","2020-08-15",48
"hospitalizations","AB","2020-08-16",50
"hospitalizations","AB","2020-08-17",53
"hospitalizations","AB","2020-08-18",52
"hospitalizations","AB","2020-08-19",50
"hospitalizations","AB","2020-08-20",44
"hospitalizations","AB","2020-08-21",48
"hospitalizations","AB","2020-08-22",47
"hospitalizations","AB","2020-08-23",48
"hospitalizations","AB","2020-08-24",48
"hospitalizations","AB","2020-08-25",51
"hospitalizations","AB","2020-08-26",53
"hospitalizations","AB","2020-08-27",51
"hospitalizations","AB","2020-08-28",47
"hospitalizations","AB","2020-08-29",44
"hospitalizations","AB","2020-08-30",49
"hospitalizations","AB","2020-08-31",52
"hospitalizations","AB","2020-09-01",53
"hospitalizations","AB","2020-09-02",50
"hospitalizations","AB","2020-09-03",52
"hospitalizations","AB","2020-09-04",52
"hospitalizations","AB","2020-09-05",51
"hospitalizations","AB","2020-09-06",49
"hospitalizations","AB","2020-09-07",48
"hospitalizations","AB","2020-09-08",49
"hospitalizations","AB","2020-09-09",44
"hospitalizations","AB","2020-09-10",42
"hospitalizations","AB","2020-09-11",43
"hospitalizations","AB","2020-09-12",44
"hospitalizations","AB","2020-09-13",41
"hospitalizations","AB","2020-09-14",48
"hospitalizations","AB","2020-09-15",46
"hospitalizations","AB","2020-09-16",47
"hospitalizations","AB","2020-09-17",51
"hospitalizations","AB","2020-09-18",58
"hospitalizations","AB","2020-09-19",59
"hospitalizations","AB","2020-09-20",60
"hospitalizations","AB","2020-09-21",60
"hospitalizations","AB","2020-09-22",61
"hospitalizations","AB","2020-09-23",64
"hospitalizations","AB","2020-09-24",68
"hospitalizations","AB","2020-09-25",70
"hospitalizations","AB","2020-09-26",69
"hospitalizations","AB","2020-09-27",72
"hospitalizations","AB","2020-09-28",70
"hospitalizations","AB","2020-09-29",70
"hospitalizations","AB","2020-09-30",74
"hospitalizations","AB","2020-10-01",74
"hospitalizations","AB","2020-10-02",79
"hospitalizations","AB","2020-10-03",80
"hospitalizations","AB","2020-10-04",76
"hospitalizations","AB","2020-10-05",79
"hospitalizations","AB","2020-10-06",88
"hospitalizations","AB","2020-10-07",92
"hospitalizations","AB","2020-10-08",91
"hospitalizations","AB","2020-10-09",91
"hospitalizations","AB","2020-10-10",98
"hospitalizations","AB","2020-10-11",101
"hospitalizations","AB","2020-10-12",103
"hospitalizations","AB","2020-10-13",104
"hospitalizations","AB","2020-10-14",108
