"name","region","date","value"
"icu","AB","2022-02-01",62
"icu","AB","2022-02-02",70
"icu","AB","2022-02-03",80
"icu","AB","2022-02-04",81
"icu","AB","2022-02-05",82
"icu","AB","2022-02-06",87
"icu","AB","2022-02-07",92
"icu","AB","2022-02-08",97
"icu","AB","2022-02-09",93
"icu","AB","2022-02-10",92
"icu","AB","2022-02-11",91
"icu","AB","2022-02-12",91
"icu","AB","2022-02-13",87
"icu","AB","2022-02-14",90
"icu","AB","2022-02-15",88
"icu","AB","2022-02-16",83
"icu","AB","2022-02-17",86
"icu","AB","2022-02-18",89
"icu","AB","2022-02-19",83
"icu","AB","2022-02-20",75
"icu","AB","2022-02-21",73
"icu","AB","2022-02-22",69
"icu","AB","2022-02-23",71
"icu","AB","2022-02-24",70
"icu","AB","2022-02-25",63
"icu","AB","2022-02-26",59
"icu","AB","2022-02-27",63
"icu","AB","2022-02-28",62
"icu","AB","2022-03-01",60
"icu","AB","2022-03-02",59
"icu","AB","2022-03-03",58
"icu","AB","2022-03-04",56
"icu","AB","2022-03-05",58
"icu","AB","2022-03-06",59
"icu","AB","2022-03-07",57
"icu","AB","2022-03-08",58
"icu","AB","2022-03-09",58
"icu","AB","2022-03-10",59
"icu","AB","2022-03-11",64
"icu","AB","2022-03-12",63
"icu","AB","2022-03-13",60
"icu","AB","2022-03-14",58
"icu","AB","2022-03-15",55
"icu","AB","2022-03-16",49
"icu","AB","2022-03-17",45
"icu","AB","2022-03-18",40
"icu","AB","2022-03-19",41
"icu","AB","2022-03-20",45
"icu","AB","2022-03-21",44
"icu","AB","2022-03-22",48
"icu","AB","2022-03-23",50
"icu","AB","2022-03-24",44
"icu","AB","2022-03-25",43
"icu","AB","2022-03-26",36
"icu","AB","2022-03-27",37
"icu","AB","2022-03-28",37
"icu","AB","2022-03-29",37
"icu","AB","2022-03-30",36
"icu","AB","2022-03-31",31
"icu","AB","2022-04-01",32
"icu","AB","2022-04-02",32
"icu","AB","2022-04-03",33
"icu","AB","2022-04-04",35
"icu","AB","2022-04-05",37
"icu","AB","2022-04-06",40
"icu","AB","2022-04-07",37
"icu","AB","2022-04-08",32
"icu","AB","2022-04-09",32
"icu","AB","2022-04-10",34
"icu","AB","2022-04-11",38
"icu","AB","2022-04-12",40
"icu","AB","2022-04-13",36
"icu","AB","2022-04-14",32
"icu","AB","2022-04-15",33
"icu","AB","2022-04-16",36
"icu","AB","2022-04-17",32
"icu","AB","2022-04-18",34
"icu","AB","2022-04-19",37
"icu","AB","2022-04-20",38
"icu","AB","2022-04-21",36
"icu","AB","2022-04-22",38
"icu","AB","2022-04-23",41
"icu","AB","2022-04-24",37
"icu","AB","2022-04-25",41
"icu","AB","2022-04-26",44
"icu","AB","2022-04-27",39
"icu","AB","2022-04-28",38
"icu","AB","2022-04-29",39
"icu","AB","2022-04-30",37
"icu","AB","2022-05-01",38
"icu","AB","2022-05-02",38
"icu","AB","2022-05-03",42
"icu","AB","2022-05-04",40
"icu","AB","2022-05-05",38
"icu","AB","2022-05-06",36
"icu","AB","2022-05-07",30
"icu","AB","2022-05-08",29
"icu","AB","2022-05-09",28
"icu","AB","2022-05-10",29
"icu","AB","2022-05-11",29
"icu","AB","2022-05-12",26
"icu","AB","2022-05-13",30
"icu","AB","2022-05-14",28
"icu","AB","2022-05-15",29
"icu","AB","2022-05-16",28
"icu","AB","2022-05-17",26
"icu","AB","2022-05-18",25
"icu","AB","2022-05-19",25
"icu","AB","2022-05-20",25
"icu","AB","2022-05-21",24
"icu","AB","2022-05-22",23
"icu","AB","2022-05-23",24
"icu","AB","2022-05-24",24
"icu","AB","2022-05-25",21
"icu","AB","2022-05-26",24
"icu","AB","2022-05-27",28
"icu","AB","2022-05-28",27
"icu","AB","2022-05-29",26
"icu","AB","2022-05-30",26
"icu","AB","2022-05-31",25
"icu","AB","2022-06-01",25
"icu","AB","2022-06-02",23
"icu","AB","2022-06-03",23
"icu","AB","2022-06-04",21
"icu","AB","2022-06-05",21
"icu","AB","2022-06-06",19
"icu","AB","2022-06-07",18
"icu","AB","2022-06-08",20
"icu","AB","2022-06-09",16
"icu","AB","2022-06-10",17
"icu","AB","2022-06-11",20
"icu","AB","2022-06-12",17
"icu","AB","2022-06-13",13
"icu","AB","2022-06-14",12
"icu","AB","2022-06-15",12
"icu","AB","2022-06-16",8
"icu","AB","2022-06-17",8
"icu","AB","2022-06-18",11
"icu","AB","2022-06-19",10
"icu","AB","2022-06-20",11
"icu","AB","2022-06-21",13
"icu","AB","2022-06-22",9
"icu","AB","2022-06-23",12
"icu","AB","2022-06-24",10
"icu","AB","2022-06-25",8
"icu","AB","2022-06-26",8
"icu","AB","2022-06-27",7
"icu","AB","2022-06-28",8
"icu","AB","2022-06-29",7
"icu","AB","2022-06-30",7
"icu","AB","2022-07-01",8
"icu","AB","2022-07-02",8
"icu","AB","2022-07-03",10
"icu","AB","2022-07-04",13
"icu","AB","2022-07-05",10
"icu","AB","2022-07-06",9
"icu","AB","2022-07-07",10
"icu","AB","2022-07-08",10
"icu","AB","2022-07-09",11
"icu","AB","2022-07-10",9
