"name","region","sub_region_1","date","value"
"hospitalizations","BC","Fraser",2021-03-13,136
"hospitalizations","BC","Interior",2021-03-13,15
"hospitalizations","BC","Northern",2021-03-13,14
"hospitalizations","BC","Out of Canada",2021-03-13,0
"hospitalizations","BC","Vancouver Coastal",2021-03-13,79
"hospitalizations","BC","Vancouver Island",2021-03-13,11
"hospitalizations","BC","Fraser",2021-03-14,136
"hospitalizations","BC","Interior",2021-03-14,15
"hospitalizations","BC","Northern",2021-03-14,14
"hospitalizations","BC","Out of Canada",2021-03-14,0
"hospitalizations","BC","Vancouver Coastal",2021-03-14,79
"hospitalizations","BC","Vancouver Island",2021-03-14,11
"hospitalizations","BC","Fraser",2021-03-15,140
"hospitalizations","BC","Interior",2021-03-15,15
"hospitalizations","BC","Northern",2021-03-15,20
"hospitalizations","BC","Out of Canada",2021-03-15,0
"hospitalizations","BC","Vancouver Coastal",2021-03-15,81
"hospitalizations","BC","Vancouver Island",2021-03-15,13
"hospitalizations","BC","Fraser",2021-03-16,145
"hospitalizations","BC","Interior",2021-03-16,15
"hospitalizations","BC","Northern",2021-03-16,24
"hospitalizations","BC","Out of Canada",2021-03-16,0
"hospitalizations","BC","Vancouver Coastal",2021-03-16,82
"hospitalizations","BC","Vancouver Island",2021-03-16,14
"hospitalizations","BC","Fraser",2021-03-17,150
"hospitalizations","BC","Interior",2021-03-17,16
"hospitalizations","BC","Northern",2021-03-17,27
"hospitalizations","BC","Out of Canada",2021-03-17,0
"hospitalizations","BC","Vancouver Coastal",2021-03-17,78
"hospitalizations","BC","Vancouver Island",2021-03-17,10
"hospitalizations","BC","Fraser",2021-03-18,149
"hospitalizations","BC","Interior",2021-03-18,17
"hospitalizations","BC","Northern",2021-03-18,32
"hospitalizations","BC","Out of Canada",2021-03-18,0
"hospitalizations","BC","Vancouver Coastal",2021-03-18,79
"hospitalizations","BC","Vancouver Island",2021-03-18,9
"hospitalizations","BC","Fraser",2021-03-19,154
"hospitalizations","BC","Interior",2021-03-19,15
"hospitalizations","BC","Northern",2021-03-19,32
"hospitalizations","BC","Out of Canada",2021-03-19,0
"hospitalizations","BC","Vancouver Coastal",2021-03-19,82
"hospitalizations","BC","Vancouver Island",2021-03-19,9
"hospitalizations","BC","Fraser",2021-03-20,154
"hospitalizations","BC","Interior",2021-03-20,15
"hospitalizations","BC","Northern",2021-03-20,32
"hospitalizations","BC","Out of Canada",2021-03-20,0
"hospitalizations","BC","Vancouver Coastal",2021-03-20,82
"hospitalizations","BC","Vancouver Island",2021-03-20,9
