name,region,date,value
vaccine_coverage_dose_1,QC,2020-12-19,0.1
vaccine_coverage_dose_1,QC,2020-12-20,0.1
vaccine_coverage_dose_1,QC,2020-12-21,0.1
vaccine_coverage_dose_1,QC,2020-12-22,0.1
vaccine_coverage_dose_1,QC,2020-12-23,0.1
vaccine_coverage_dose_1,QC,2020-12-24,0.1
vaccine_coverage_dose_1,QC,2020-12-25,0.1
vaccine_coverage_dose_1,QC,2020-12-26,0.2
vaccine_coverage_dose_1,QC,2020-12-27,0.2
vaccine_coverage_dose_1,QC,2020-12-28,0.2
vaccine_coverage_dose_1,QC,2020-12-29,0.2
vaccine_coverage_dose_1,QC,2020-12-30,0.2
vaccine_coverage_dose_1,QC,2020-12-31,0.2
vaccine_coverage_dose_1,QC,2021-01-01,0.2
vaccine_coverage_dose_1,QC,2021-01-02,0.3
vaccine_coverage_dose_1,QC,2021-01-03,0.3
vaccine_coverage_dose_1,QC,2021-01-04,0.3
vaccine_coverage_dose_1,QC,2021-01-05,0.3
vaccine_coverage_dose_1,QC,2021-01-06,0.3
vaccine_coverage_dose_1,QC,2021-01-07,0.3
vaccine_coverage_dose_1,QC,2021-01-08,0.3
vaccine_coverage_dose_1,QC,2021-01-09,1
vaccine_coverage_dose_1,QC,2021-01-10,1
vaccine_coverage_dose_1,QC,2021-01-11,1
vaccine_coverage_dose_1,QC,2021-01-12,1
vaccine_coverage_dose_1,QC,2021-01-13,1
vaccine_coverage_dose_1,QC,2021-01-14,1
vaccine_coverage_dose_1,QC,2021-01-15,1
vaccine_coverage_dose_1,QC,2021-01-16,1.7
vaccine_coverage_dose_1,QC,2021-01-17,1.7
vaccine_coverage_dose_1,QC,2021-01-18,1.7
vaccine_coverage_dose_1,QC,2021-01-19,1.7
vaccine_coverage_dose_1,QC,2021-01-20,1.7
vaccine_coverage_dose_1,QC,2021-01-21,1.7
vaccine_coverage_dose_1,QC,2021-01-22,1.7
vaccine_coverage_dose_1,QC,2021-01-23,2.5
vaccine_coverage_dose_1,QC,2021-01-24,2.5
vaccine_coverage_dose_1,QC,2021-01-25,2.5
vaccine_coverage_dose_1,QC,2021-01-26,2.5
vaccine_coverage_dose_1,QC,2021-01-27,2.5
vaccine_coverage_dose_1,QC,2021-01-28,2.5
vaccine_coverage_dose_1,QC,2021-01-29,2.5
vaccine_coverage_dose_1,QC,2021-01-30,2.8
vaccine_coverage_dose_1,QC,2021-01-31,2.8
vaccine_coverage_dose_1,QC,2021-02-01,2.8
vaccine_coverage_dose_1,QC,2021-02-02,2.8
vaccine_coverage_dose_1,QC,2021-02-03,2.8
vaccine_coverage_dose_1,QC,2021-02-04,2.8
vaccine_coverage_dose_1,QC,2021-02-05,2.8
vaccine_coverage_dose_1,QC,2021-02-06,3
vaccine_coverage_dose_1,QC,2021-02-07,3
vaccine_coverage_dose_1,QC,2021-02-08,3
vaccine_coverage_dose_1,QC,2021-02-09,3
vaccine_coverage_dose_1,QC,2021-02-10,3
vaccine_coverage_dose_1,QC,2021-02-11,3
vaccine_coverage_dose_1,QC,2021-02-12,3
vaccine_coverage_dose_1,QC,2021-02-13,3.4
vaccine_coverage_dose_1,QC,2021-02-14,3.4
vaccine_coverage_dose_1,QC,2021-02-15,3.4
vaccine_coverage_dose_1,QC,2021-02-16,3.4
vaccine_coverage_dose_1,QC,2021-02-17,3.4
vaccine_coverage_dose_1,QC,2021-02-18,3.4
vaccine_coverage_dose_1,QC,2021-02-19,3.4
vaccine_coverage_dose_1,QC,2021-02-20,4
vaccine_coverage_dose_1,QC,2021-02-21,4
vaccine_coverage_dose_1,QC,2021-02-22,4
vaccine_coverage_dose_1,QC,2021-02-23,4
