"name","region","sub_region_1","date","value"
"deaths","MB","Interlake-Eastern","2020-03-13",0
"deaths","MB","Northern","2020-03-13",0
"deaths","MB","Prairie Mountain Health","2020-03-13",0
"deaths","MB","Southern Health-Santé Sud","2020-03-13",0
"deaths","MB","Winnipeg","2020-03-13",0
"deaths","MB","Interlake-Eastern","2020-03-14",0
"deaths","MB","Northern","2020-03-14",0
"deaths","MB","Prairie Mountain Health","2020-03-14",0
"deaths","MB","Southern Health-Santé Sud","2020-03-14",0
"deaths","MB","Winnipeg","2020-03-14",0
"deaths","MB","Interlake-Eastern","2020-03-15",0
"deaths","MB","Northern","2020-03-15",0
"deaths","MB","Prairie Mountain Health","2020-03-15",0
"deaths","MB","Southern Health-Santé Sud","2020-03-15",0
"deaths","MB","Winnipeg","2020-03-15",0
"deaths","MB","Interlake-Eastern","2020-03-16",0
"deaths","MB","Northern","2020-03-16",0
"deaths","MB","Prairie Mountain Health","2020-03-16",0
"deaths","MB","Southern Health-Santé Sud","2020-03-16",0
"deaths","MB","Winnipeg","2020-03-16",0
"deaths","MB","Interlake-Eastern","2020-03-17",0
"deaths","MB","Northern","2020-03-17",0
"deaths","MB","Prairie Mountain Health","2020-03-17",0
"deaths","MB","Southern Health-Santé Sud","2020-03-17",0
"deaths","MB","Winnipeg","2020-03-17",0
"deaths","MB","Interlake-Eastern","2020-03-18",0
"deaths","MB","Northern","2020-03-18",0
"deaths","MB","Prairie Mountain Health","2020-03-18",0
"deaths","MB","Southern Health-Santé Sud","2020-03-18",0
"deaths","MB","Winnipeg","2020-03-18",0
"deaths","MB","Interlake-Eastern","2020-03-19",0
"deaths","MB","Northern","2020-03-19",0
"deaths","MB","Prairie Mountain Health","2020-03-19",0
"deaths","MB","Southern Health-Santé Sud","2020-03-19",0
"deaths","MB","Winnipeg","2020-03-19",0
"deaths","MB","Interlake-Eastern","2020-03-20",0
"deaths","MB","Northern","2020-03-20",0
"deaths","MB","Prairie Mountain Health","2020-03-20",0
"deaths","MB","Southern Health-Santé Sud","2020-03-20",0
"deaths","MB","Winnipeg","2020-03-20",0
"deaths","MB","Interlake-Eastern","2020-03-21",0
"deaths","MB","Northern","2020-03-21",0
"deaths","MB","Prairie Mountain Health","2020-03-21",0
"deaths","MB","Southern Health-Santé Sud","2020-03-21",0
"deaths","MB","Winnipeg","2020-03-21",0
"deaths","MB","Interlake-Eastern","2020-03-22",0
"deaths","MB","Northern","2020-03-22",0
"deaths","MB","Prairie Mountain Health","2020-03-22",0
"deaths","MB","Southern Health-Santé Sud","2020-03-22",0
"deaths","MB","Winnipeg","2020-03-22",0
"deaths","MB","Interlake-Eastern","2020-03-23",0
"deaths","MB","Northern","2020-03-23",0
"deaths","MB","Prairie Mountain Health","2020-03-23",0
"deaths","MB","Southern Health-Santé Sud","2020-03-23",0
"deaths","MB","Winnipeg","2020-03-23",0
"deaths","MB","Interlake-Eastern","2020-03-24",0
"deaths","MB","Northern","2020-03-24",0
"deaths","MB","Prairie Mountain Health","2020-03-24",0
"deaths","MB","Southern Health-Santé Sud","2020-03-24",0
"deaths","MB","Winnipeg","2020-03-24",0
"deaths","MB","Interlake-Eastern","2020-03-25",0
"deaths","MB","Northern","2020-03-25",0
"deaths","MB","Prairie Mountain Health","2020-03-25",0
"deaths","MB","Southern Health-Santé Sud","2020-03-25",0
"deaths","MB","Winnipeg","2020-03-25",0
"deaths","MB","Interlake-Eastern","2020-03-26",0
"deaths","MB","Northern","2020-03-26",0
"deaths","MB","Prairie Mountain Health","2020-03-26",0
"deaths","MB","Southern Health-Santé Sud","2020-03-26",0
"deaths","MB","Winnipeg","2020-03-26",1
"deaths","MB","Interlake-Eastern","2020-03-27",0
"deaths","MB","Northern","2020-03-27",0
"deaths","MB","Prairie Mountain Health","2020-03-27",0
"deaths","MB","Southern Health-Santé Sud","2020-03-27",0
"deaths","MB","Winnipeg","2020-03-27",1
"deaths","MB","Interlake-Eastern","2020-03-28",0
"deaths","MB","Northern","2020-03-28",0
"deaths","MB","Prairie Mountain Health","2020-03-28",0
"deaths","MB","Southern Health-Santé Sud","2020-03-28",0
"deaths","MB","Winnipeg","2020-03-28",1
"deaths","MB","Interlake-Eastern","2020-03-29",0
"deaths","MB","Northern","2020-03-29",0
"deaths","MB","Prairie Mountain Health","2020-03-29",0
"deaths","MB","Southern Health-Santé Sud","2020-03-29",0
"deaths","MB","Winnipeg","2020-03-29",1
"deaths","MB","Interlake-Eastern","2020-03-30",0
"deaths","MB","Northern","2020-03-30",0
"deaths","MB","Prairie Mountain Health","2020-03-30",0
"deaths","MB","Southern Health-Santé Sud","2020-03-30",0
"deaths","MB","Winnipeg","2020-03-30",1
"deaths","MB","Interlake-Eastern","2020-03-31",0
"deaths","MB","Northern","2020-03-31",0
"deaths","MB","Prairie Mountain Health","2020-03-31",0
"deaths","MB","Southern Health-Santé Sud","2020-03-31",0
"deaths","MB","Winnipeg","2020-03-31",1
"deaths","MB","Interlake-Eastern","2020-04-01",0
"deaths","MB","Northern","2020-04-01",0
"deaths","MB","Prairie Mountain Health","2020-04-01",0
"deaths","MB","Southern Health-Santé Sud","2020-04-01",0
"deaths","MB","Winnipeg","2020-04-01",1
"deaths","MB","Interlake-Eastern","2020-04-02",0
"deaths","MB","Northern","2020-04-02",0
"deaths","MB","Prairie Mountain Health","2020-04-02",0
"deaths","MB","Southern Health-Santé Sud","2020-04-02",0
"deaths","MB","Winnipeg","2020-04-02",2
"deaths","MB","Interlake-Eastern","2020-04-03",0
"deaths","MB","Northern","2020-04-03",0
"deaths","MB","Prairie Mountain Health","2020-04-03",0
"deaths","MB","Southern Health-Santé Sud","2020-04-03",0
"deaths","MB","Winnipeg","2020-04-03",2
"deaths","MB","Interlake-Eastern","2020-04-04",0
"deaths","MB","Northern","2020-04-04",0
"deaths","MB","Prairie Mountain Health","2020-04-04",0
"deaths","MB","Southern Health-Santé Sud","2020-04-04",0
"deaths","MB","Winnipeg","2020-04-04",2
"deaths","MB","Interlake-Eastern","2020-04-05",0
"deaths","MB","Northern","2020-04-05",0
"deaths","MB","Prairie Mountain Health","2020-04-05",0
"deaths","MB","Southern Health-Santé Sud","2020-04-05",0
"deaths","MB","Winnipeg","2020-04-05",2
"deaths","MB","Interlake-Eastern","2020-04-06",0
"deaths","MB","Northern","2020-04-06",0
"deaths","MB","Prairie Mountain Health","2020-04-06",0
"deaths","MB","Southern Health-Santé Sud","2020-04-06",0
"deaths","MB","Winnipeg","2020-04-06",3
"deaths","MB","Interlake-Eastern","2020-04-07",0
"deaths","MB","Northern","2020-04-07",0
"deaths","MB","Prairie Mountain Health","2020-04-07",0
"deaths","MB","Southern Health-Santé Sud","2020-04-07",0
"deaths","MB","Winnipeg","2020-04-07",3
"deaths","MB","Interlake-Eastern","2020-04-08",0
"deaths","MB","Northern","2020-04-08",0
"deaths","MB","Prairie Mountain Health","2020-04-08",0
"deaths","MB","Southern Health-Santé Sud","2020-04-08",0
"deaths","MB","Winnipeg","2020-04-08",3
"deaths","MB","Interlake-Eastern","2020-04-09",0
"deaths","MB","Northern","2020-04-09",0
"deaths","MB","Prairie Mountain Health","2020-04-09",0
"deaths","MB","Southern Health-Santé Sud","2020-04-09",0
"deaths","MB","Winnipeg","2020-04-09",4
"deaths","MB","Interlake-Eastern","2020-04-10",0
"deaths","MB","Northern","2020-04-10",0
"deaths","MB","Prairie Mountain Health","2020-04-10",0
"deaths","MB","Southern Health-Santé Sud","2020-04-10",0
"deaths","MB","Winnipeg","2020-04-10",4
"deaths","MB","Interlake-Eastern","2020-04-11",0
"deaths","MB","Northern","2020-04-11",0
"deaths","MB","Prairie Mountain Health","2020-04-11",0
"deaths","MB","Southern Health-Santé Sud","2020-04-11",0
"deaths","MB","Winnipeg","2020-04-11",4
"deaths","MB","Interlake-Eastern","2020-04-12",0
"deaths","MB","Northern","2020-04-12",0
"deaths","MB","Prairie Mountain Health","2020-04-12",0
"deaths","MB","Southern Health-Santé Sud","2020-04-12",0
"deaths","MB","Winnipeg","2020-04-12",4
"deaths","MB","Interlake-Eastern","2020-04-13",0
"deaths","MB","Northern","2020-04-13",0
"deaths","MB","Prairie Mountain Health","2020-04-13",0
"deaths","MB","Southern Health-Santé Sud","2020-04-13",0
"deaths","MB","Winnipeg","2020-04-13",4
"deaths","MB","Interlake-Eastern","2020-04-14",0
"deaths","MB","Northern","2020-04-14",0
"deaths","MB","Prairie Mountain Health","2020-04-14",1
"deaths","MB","Southern Health-Santé Sud","2020-04-14",0
"deaths","MB","Winnipeg","2020-04-14",4
"deaths","MB","Interlake-Eastern","2020-04-15",0
"deaths","MB","Northern","2020-04-15",0
"deaths","MB","Prairie Mountain Health","2020-04-15",1
"deaths","MB","Southern Health-Santé Sud","2020-04-15",0
"deaths","MB","Winnipeg","2020-04-15",4
"deaths","MB","Interlake-Eastern","2020-04-16",0
"deaths","MB","Northern","2020-04-16",0
"deaths","MB","Prairie Mountain Health","2020-04-16",1
"deaths","MB","Southern Health-Santé Sud","2020-04-16",0
"deaths","MB","Winnipeg","2020-04-16",4
"deaths","MB","Interlake-Eastern","2020-04-17",0
"deaths","MB","Northern","2020-04-17",0
"deaths","MB","Prairie Mountain Health","2020-04-17",1
"deaths","MB","Southern Health-Santé Sud","2020-04-17",0
"deaths","MB","Winnipeg","2020-04-17",4
"deaths","MB","Interlake-Eastern","2020-04-18",0
"deaths","MB","Northern","2020-04-18",0
"deaths","MB","Prairie Mountain Health","2020-04-18",1
"deaths","MB","Southern Health-Santé Sud","2020-04-18",0
"deaths","MB","Winnipeg","2020-04-18",4
"deaths","MB","Interlake-Eastern","2020-04-19",0
"deaths","MB","Northern","2020-04-19",0
"deaths","MB","Prairie Mountain Health","2020-04-19",1
"deaths","MB","Southern Health-Santé Sud","2020-04-19",0
"deaths","MB","Winnipeg","2020-04-19",4
"deaths","MB","Interlake-Eastern","2020-04-20",0
"deaths","MB","Northern","2020-04-20",0
"deaths","MB","Prairie Mountain Health","2020-04-20",1
"deaths","MB","Southern Health-Santé Sud","2020-04-20",0
"deaths","MB","Winnipeg","2020-04-20",5
"deaths","MB","Interlake-Eastern","2020-04-21",0
"deaths","MB","Northern","2020-04-21",0
"deaths","MB","Prairie Mountain Health","2020-04-21",1
"deaths","MB","Southern Health-Santé Sud","2020-04-21",0
"deaths","MB","Winnipeg","2020-04-21",5
"deaths","MB","Interlake-Eastern","2020-04-22",0
"deaths","MB","Northern","2020-04-22",0
"deaths","MB","Prairie Mountain Health","2020-04-22",1
"deaths","MB","Southern Health-Santé Sud","2020-04-22",0
"deaths","MB","Winnipeg","2020-04-22",5
"deaths","MB","Interlake-Eastern","2020-04-23",0
"deaths","MB","Northern","2020-04-23",0
"deaths","MB","Prairie Mountain Health","2020-04-23",1
"deaths","MB","Southern Health-Santé Sud","2020-04-23",0
"deaths","MB","Winnipeg","2020-04-23",5
"deaths","MB","Interlake-Eastern","2020-04-24",0
"deaths","MB","Northern","2020-04-24",0
"deaths","MB","Prairie Mountain Health","2020-04-24",1
"deaths","MB","Southern Health-Santé Sud","2020-04-24",0
"deaths","MB","Winnipeg","2020-04-24",5
"deaths","MB","Interlake-Eastern","2020-04-25",0
"deaths","MB","Northern","2020-04-25",0
"deaths","MB","Prairie Mountain Health","2020-04-25",1
"deaths","MB","Southern Health-Santé Sud","2020-04-25",0
"deaths","MB","Winnipeg","2020-04-25",5
"deaths","MB","Interlake-Eastern","2020-04-26",0
"deaths","MB","Northern","2020-04-26",0
"deaths","MB","Prairie Mountain Health","2020-04-26",1
"deaths","MB","Southern Health-Santé Sud","2020-04-26",0
"deaths","MB","Winnipeg","2020-04-26",5
"deaths","MB","Interlake-Eastern","2020-04-27",0
"deaths","MB","Northern","2020-04-27",0
"deaths","MB","Prairie Mountain Health","2020-04-27",1
"deaths","MB","Southern Health-Santé Sud","2020-04-27",0
"deaths","MB","Winnipeg","2020-04-27",5
"deaths","MB","Interlake-Eastern","2020-04-28",0
"deaths","MB","Northern","2020-04-28",0
"deaths","MB","Prairie Mountain Health","2020-04-28",1
"deaths","MB","Southern Health-Santé Sud","2020-04-28",0
"deaths","MB","Winnipeg","2020-04-28",5
"deaths","MB","Interlake-Eastern","2020-04-29",0
"deaths","MB","Northern","2020-04-29",0
"deaths","MB","Prairie Mountain Health","2020-04-29",1
"deaths","MB","Southern Health-Santé Sud","2020-04-29",0
"deaths","MB","Winnipeg","2020-04-29",5
"deaths","MB","Interlake-Eastern","2020-04-30",0
"deaths","MB","Northern","2020-04-30",0
"deaths","MB","Prairie Mountain Health","2020-04-30",1
"deaths","MB","Southern Health-Santé Sud","2020-04-30",0
"deaths","MB","Winnipeg","2020-04-30",5
"deaths","MB","Interlake-Eastern","2020-05-01",0
"deaths","MB","Northern","2020-05-01",0
"deaths","MB","Prairie Mountain Health","2020-05-01",1
"deaths","MB","Southern Health-Santé Sud","2020-05-01",0
"deaths","MB","Winnipeg","2020-05-01",5
"deaths","MB","Interlake-Eastern","2020-05-02",0
"deaths","MB","Northern","2020-05-02",0
"deaths","MB","Prairie Mountain Health","2020-05-02",1
"deaths","MB","Southern Health-Santé Sud","2020-05-02",0
"deaths","MB","Winnipeg","2020-05-02",5
"deaths","MB","Interlake-Eastern","2020-05-03",0
"deaths","MB","Northern","2020-05-03",0
"deaths","MB","Prairie Mountain Health","2020-05-03",1
"deaths","MB","Southern Health-Santé Sud","2020-05-03",0
"deaths","MB","Winnipeg","2020-05-03",5
"deaths","MB","Interlake-Eastern","2020-05-04",0
"deaths","MB","Northern","2020-05-04",0
"deaths","MB","Prairie Mountain Health","2020-05-04",1
"deaths","MB","Southern Health-Santé Sud","2020-05-04",1
"deaths","MB","Winnipeg","2020-05-04",5
"deaths","MB","Interlake-Eastern","2020-05-05",0
"deaths","MB","Northern","2020-05-05",0
"deaths","MB","Prairie Mountain Health","2020-05-05",1
"deaths","MB","Southern Health-Santé Sud","2020-05-05",1
"deaths","MB","Winnipeg","2020-05-05",5
"deaths","MB","Interlake-Eastern","2020-05-06",0
"deaths","MB","Northern","2020-05-06",0
"deaths","MB","Prairie Mountain Health","2020-05-06",1
"deaths","MB","Southern Health-Santé Sud","2020-05-06",1
"deaths","MB","Winnipeg","2020-05-06",5
"deaths","MB","Interlake-Eastern","2020-05-07",0
"deaths","MB","Northern","2020-05-07",0
"deaths","MB","Prairie Mountain Health","2020-05-07",1
"deaths","MB","Southern Health-Santé Sud","2020-05-07",1
"deaths","MB","Winnipeg","2020-05-07",5
"deaths","MB","Interlake-Eastern","2020-05-08",0
"deaths","MB","Northern","2020-05-08",0
"deaths","MB","Prairie Mountain Health","2020-05-08",1
"deaths","MB","Southern Health-Santé Sud","2020-05-08",1
"deaths","MB","Winnipeg","2020-05-08",5
"deaths","MB","Interlake-Eastern","2020-05-09",0
"deaths","MB","Northern","2020-05-09",0
"deaths","MB","Prairie Mountain Health","2020-05-09",1
"deaths","MB","Southern Health-Santé Sud","2020-05-09",1
"deaths","MB","Winnipeg","2020-05-09",5
"deaths","MB","Interlake-Eastern","2020-05-10",0
"deaths","MB","Northern","2020-05-10",0
"deaths","MB","Prairie Mountain Health","2020-05-10",1
"deaths","MB","Southern Health-Santé Sud","2020-05-10",1
"deaths","MB","Winnipeg","2020-05-10",5
"deaths","MB","Interlake-Eastern","2020-05-11",0
"deaths","MB","Northern","2020-05-11",0
"deaths","MB","Prairie Mountain Health","2020-05-11",1
"deaths","MB","Southern Health-Santé Sud","2020-05-11",1
"deaths","MB","Winnipeg","2020-05-11",5
"deaths","MB","Interlake-Eastern","2020-05-12",0
"deaths","MB","Northern","2020-05-12",0
"deaths","MB","Prairie Mountain Health","2020-05-12",1
"deaths","MB","Southern Health-Santé Sud","2020-05-12",1
"deaths","MB","Winnipeg","2020-05-12",5
"deaths","MB","Interlake-Eastern","2020-05-13",0
"deaths","MB","Northern","2020-05-13",0
"deaths","MB","Prairie Mountain Health","2020-05-13",1
"deaths","MB","Southern Health-Santé Sud","2020-05-13",1
"deaths","MB","Winnipeg","2020-05-13",5
"deaths","MB","Interlake-Eastern","2020-05-14",0
"deaths","MB","Northern","2020-05-14",0
"deaths","MB","Prairie Mountain Health","2020-05-14",1
"deaths","MB","Southern Health-Santé Sud","2020-05-14",1
"deaths","MB","Winnipeg","2020-05-14",5
"deaths","MB","Interlake-Eastern","2020-05-15",0
"deaths","MB","Northern","2020-05-15",0
"deaths","MB","Prairie Mountain Health","2020-05-15",1
"deaths","MB","Southern Health-Santé Sud","2020-05-15",1
"deaths","MB","Winnipeg","2020-05-15",5
"deaths","MB","Interlake-Eastern","2020-05-16",0
"deaths","MB","Northern","2020-05-16",0
"deaths","MB","Prairie Mountain Health","2020-05-16",1
"deaths","MB","Southern Health-Santé Sud","2020-05-16",1
"deaths","MB","Winnipeg","2020-05-16",5
"deaths","MB","Interlake-Eastern","2020-05-17",0
"deaths","MB","Northern","2020-05-17",0
"deaths","MB","Prairie Mountain Health","2020-05-17",1
"deaths","MB","Southern Health-Santé Sud","2020-05-17",1
"deaths","MB","Winnipeg","2020-05-17",5
"deaths","MB","Interlake-Eastern","2020-05-18",0
"deaths","MB","Northern","2020-05-18",0
"deaths","MB","Prairie Mountain Health","2020-05-18",1
"deaths","MB","Southern Health-Santé Sud","2020-05-18",1
"deaths","MB","Winnipeg","2020-05-18",5
"deaths","MB","Interlake-Eastern","2020-05-19",0
"deaths","MB","Northern","2020-05-19",0
"deaths","MB","Prairie Mountain Health","2020-05-19",1
"deaths","MB","Southern Health-Santé Sud","2020-05-19",1
"deaths","MB","Winnipeg","2020-05-19",5
"deaths","MB","Interlake-Eastern","2020-05-20",0
"deaths","MB","Northern","2020-05-20",0
"deaths","MB","Prairie Mountain Health","2020-05-20",1
"deaths","MB","Southern Health-Santé Sud","2020-05-20",1
"deaths","MB","Winnipeg","2020-05-20",5
"deaths","MB","Interlake-Eastern","2020-05-21",0
"deaths","MB","Northern","2020-05-21",0
"deaths","MB","Prairie Mountain Health","2020-05-21",1
"deaths","MB","Southern Health-Santé Sud","2020-05-21",1
"deaths","MB","Winnipeg","2020-05-21",5
"deaths","MB","Interlake-Eastern","2020-05-22",0
"deaths","MB","Northern","2020-05-22",0
"deaths","MB","Prairie Mountain Health","2020-05-22",1
"deaths","MB","Southern Health-Santé Sud","2020-05-22",1
"deaths","MB","Winnipeg","2020-05-22",5
"deaths","MB","Interlake-Eastern","2020-05-23",0
"deaths","MB","Northern","2020-05-23",0
"deaths","MB","Prairie Mountain Health","2020-05-23",1
"deaths","MB","Southern Health-Santé Sud","2020-05-23",1
"deaths","MB","Winnipeg","2020-05-23",5
"deaths","MB","Interlake-Eastern","2020-05-24",0
"deaths","MB","Northern","2020-05-24",0
"deaths","MB","Prairie Mountain Health","2020-05-24",1
"deaths","MB","Southern Health-Santé Sud","2020-05-24",1
"deaths","MB","Winnipeg","2020-05-24",5
"deaths","MB","Interlake-Eastern","2020-05-25",0
"deaths","MB","Northern","2020-05-25",0
"deaths","MB","Prairie Mountain Health","2020-05-25",1
"deaths","MB","Southern Health-Santé Sud","2020-05-25",1
"deaths","MB","Winnipeg","2020-05-25",5
"deaths","MB","Interlake-Eastern","2020-05-26",0
"deaths","MB","Northern","2020-05-26",0
"deaths","MB","Prairie Mountain Health","2020-05-26",1
"deaths","MB","Southern Health-Santé Sud","2020-05-26",1
"deaths","MB","Winnipeg","2020-05-26",5
"deaths","MB","Interlake-Eastern","2020-05-27",0
"deaths","MB","Northern","2020-05-27",0
"deaths","MB","Prairie Mountain Health","2020-05-27",1
"deaths","MB","Southern Health-Santé Sud","2020-05-27",1
"deaths","MB","Winnipeg","2020-05-27",5
"deaths","MB","Interlake-Eastern","2020-05-28",0
"deaths","MB","Northern","2020-05-28",0
"deaths","MB","Prairie Mountain Health","2020-05-28",1
"deaths","MB","Southern Health-Santé Sud","2020-05-28",1
"deaths","MB","Winnipeg","2020-05-28",5
"deaths","MB","Interlake-Eastern","2020-05-29",0
"deaths","MB","Northern","2020-05-29",0
"deaths","MB","Prairie Mountain Health","2020-05-29",1
"deaths","MB","Southern Health-Santé Sud","2020-05-29",1
"deaths","MB","Winnipeg","2020-05-29",5
"deaths","MB","Interlake-Eastern","2020-05-30",0
"deaths","MB","Northern","2020-05-30",0
"deaths","MB","Prairie Mountain Health","2020-05-30",1
"deaths","MB","Southern Health-Santé Sud","2020-05-30",1
"deaths","MB","Winnipeg","2020-05-30",5
"deaths","MB","Interlake-Eastern","2020-05-31",0
"deaths","MB","Northern","2020-05-31",0
"deaths","MB","Prairie Mountain Health","2020-05-31",1
"deaths","MB","Southern Health-Santé Sud","2020-05-31",1
"deaths","MB","Winnipeg","2020-05-31",5
"deaths","MB","Interlake-Eastern","2020-06-01",0
"deaths","MB","Northern","2020-06-01",0
"deaths","MB","Prairie Mountain Health","2020-06-01",1
"deaths","MB","Southern Health-Santé Sud","2020-06-01",1
"deaths","MB","Winnipeg","2020-06-01",5
"deaths","MB","Interlake-Eastern","2020-06-02",0
"deaths","MB","Northern","2020-06-02",0
"deaths","MB","Prairie Mountain Health","2020-06-02",1
"deaths","MB","Southern Health-Santé Sud","2020-06-02",1
"deaths","MB","Winnipeg","2020-06-02",5
"deaths","MB","Interlake-Eastern","2020-06-03",0
"deaths","MB","Northern","2020-06-03",0
"deaths","MB","Prairie Mountain Health","2020-06-03",1
"deaths","MB","Southern Health-Santé Sud","2020-06-03",1
"deaths","MB","Winnipeg","2020-06-03",5
"deaths","MB","Interlake-Eastern","2020-06-04",0
"deaths","MB","Northern","2020-06-04",0
"deaths","MB","Prairie Mountain Health","2020-06-04",1
"deaths","MB","Southern Health-Santé Sud","2020-06-04",1
"deaths","MB","Winnipeg","2020-06-04",5
"deaths","MB","Interlake-Eastern","2020-06-05",0
"deaths","MB","Northern","2020-06-05",0
"deaths","MB","Prairie Mountain Health","2020-06-05",1
"deaths","MB","Southern Health-Santé Sud","2020-06-05",1
"deaths","MB","Winnipeg","2020-06-05",5
"deaths","MB","Interlake-Eastern","2020-06-06",0
"deaths","MB","Northern","2020-06-06",0
"deaths","MB","Prairie Mountain Health","2020-06-06",1
"deaths","MB","Southern Health-Santé Sud","2020-06-06",1
"deaths","MB","Winnipeg","2020-06-06",5
"deaths","MB","Interlake-Eastern","2020-06-07",0
"deaths","MB","Northern","2020-06-07",0
"deaths","MB","Prairie Mountain Health","2020-06-07",1
"deaths","MB","Southern Health-Santé Sud","2020-06-07",1
"deaths","MB","Winnipeg","2020-06-07",5
"deaths","MB","Interlake-Eastern","2020-06-08",0
"deaths","MB","Northern","2020-06-08",0
"deaths","MB","Prairie Mountain Health","2020-06-08",1
"deaths","MB","Southern Health-Santé Sud","2020-06-08",1
"deaths","MB","Winnipeg","2020-06-08",5
"deaths","MB","Interlake-Eastern","2020-06-09",0
"deaths","MB","Northern","2020-06-09",0
"deaths","MB","Prairie Mountain Health","2020-06-09",1
"deaths","MB","Southern Health-Santé Sud","2020-06-09",1
"deaths","MB","Winnipeg","2020-06-09",5
"deaths","MB","Interlake-Eastern","2020-06-10",0
"deaths","MB","Northern","2020-06-10",0
"deaths","MB","Prairie Mountain Health","2020-06-10",1
"deaths","MB","Southern Health-Santé Sud","2020-06-10",1
"deaths","MB","Winnipeg","2020-06-10",5
"deaths","MB","Interlake-Eastern","2020-06-11",0
"deaths","MB","Northern","2020-06-11",0
"deaths","MB","Prairie Mountain Health","2020-06-11",1
"deaths","MB","Southern Health-Santé Sud","2020-06-11",1
"deaths","MB","Winnipeg","2020-06-11",5
"deaths","MB","Interlake-Eastern","2020-06-12",0
"deaths","MB","Northern","2020-06-12",0
"deaths","MB","Prairie Mountain Health","2020-06-12",1
"deaths","MB","Southern Health-Santé Sud","2020-06-12",1
"deaths","MB","Winnipeg","2020-06-12",5
"deaths","MB","Interlake-Eastern","2020-06-13",0
"deaths","MB","Northern","2020-06-13",0
