"name","region","date","value"
"hospitalizations","MB","2020-03-30",4
"hospitalizations","MB","2020-03-31",3
"hospitalizations","MB","2020-04-01",4
"hospitalizations","MB","2020-04-02",5
"hospitalizations","MB","2020-04-03",9
"hospitalizations","MB","2020-04-04",10
"hospitalizations","MB","2020-04-05",11
"hospitalizations","MB","2020-04-06",11
"hospitalizations","MB","2020-04-07",12
"hospitalizations","MB","2020-04-08",12
"hospitalizations","MB","2020-04-09",11
"hospitalizations","MB","2020-04-10",10
"hospitalizations","MB","2020-04-11",8
"hospitalizations","MB","2020-04-12",8
"hospitalizations","MB","2020-04-13",8
"hospitalizations","MB","2020-04-14",9
"hospitalizations","MB","2020-04-15",9
"hospitalizations","MB","2020-04-16",8
"hospitalizations","MB","2020-04-17",8
"hospitalizations","MB","2020-04-18",7
"hospitalizations","MB","2020-04-19",8
"hospitalizations","MB","2020-04-20",8
"hospitalizations","MB","2020-04-21",7
"hospitalizations","MB","2020-04-22",7
"hospitalizations","MB","2020-04-23",7
"hospitalizations","MB","2020-04-24",7
"hospitalizations","MB","2020-04-25",7
"hospitalizations","MB","2020-04-26",8
"hospitalizations","MB","2020-04-27",7
"hospitalizations","MB","2020-04-28",7
"hospitalizations","MB","2020-04-29",5
"hospitalizations","MB","2020-04-30",5
"hospitalizations","MB","2020-05-01",5
"hospitalizations","MB","2020-05-02",6
"hospitalizations","MB","2020-05-03",5
"hospitalizations","MB","2020-05-04",5
"hospitalizations","MB","2020-05-05",4
"hospitalizations","MB","2020-05-06",5
"hospitalizations","MB","2020-05-07",5
"hospitalizations","MB","2020-05-08",5
"hospitalizations","MB","2020-05-09",4
"hospitalizations","MB","2020-05-10",4
"hospitalizations","MB","2020-05-11",4
"hospitalizations","MB","2020-05-12",4
"hospitalizations","MB","2020-05-13",4
"hospitalizations","MB","2020-05-14",4
"hospitalizations","MB","2020-05-15",3
"hospitalizations","MB","2020-05-16",2
"hospitalizations","MB","2020-05-17",2
"hospitalizations","MB","2020-05-18",1
"hospitalizations","MB","2020-05-19",1
"hospitalizations","MB","2020-05-20",1
"hospitalizations","MB","2020-05-21",1
"hospitalizations","MB","2020-05-22",1
"hospitalizations","MB","2020-05-23",0
"hospitalizations","MB","2020-05-24",0
