"name","region","date","value"
"vaccine_administration_dose_2","MB","2020-12-15",NA
"vaccine_administration_dose_2","MB","2020-12-16",NA
"vaccine_administration_dose_2","MB","2020-12-17",NA
"vaccine_administration_dose_2","MB","2020-12-18",NA
"vaccine_administration_dose_2","MB","2020-12-19",NA
"vaccine_administration_dose_2","MB","2020-12-20",NA
"vaccine_administration_dose_2","MB","2020-12-21",1
"vaccine_administration_dose_2","MB","2020-12-22",1
"vaccine_administration_dose_2","MB","2020-12-23",1
"vaccine_administration_dose_2","MB","2020-12-24",1
"vaccine_administration_dose_2","MB","2020-12-25",1
"vaccine_administration_dose_2","MB","2020-12-26",1
"vaccine_administration_dose_2","MB","2020-12-27",1
"vaccine_administration_dose_2","MB","2020-12-28",1
"vaccine_administration_dose_2","MB","2020-12-29",1
"vaccine_administration_dose_2","MB","2020-12-30",1
"vaccine_administration_dose_2","MB","2020-12-31",2
"vaccine_administration_dose_2","MB","2021-01-01",2
"vaccine_administration_dose_2","MB","2021-01-02",2
"vaccine_administration_dose_2","MB","2021-01-03",2
"vaccine_administration_dose_2","MB","2021-01-04",3
"vaccine_administration_dose_2","MB","2021-01-05",6
"vaccine_administration_dose_2","MB","2021-01-06",302
"vaccine_administration_dose_2","MB","2021-01-07",602
"vaccine_administration_dose_2","MB","2021-01-08",899
"vaccine_administration_dose_2","MB","2021-01-09",903
"vaccine_administration_dose_2","MB","2021-01-10",908
"vaccine_administration_dose_2","MB","2021-01-11",1206
"vaccine_administration_dose_2","MB","2021-01-12",1707
"vaccine_administration_dose_2","MB","2021-01-13",2195
"vaccine_administration_dose_2","MB","2021-01-14",2199
"vaccine_administration_dose_2","MB","2021-01-15",2203
"vaccine_administration_dose_2","MB","2021-01-16",2206
"vaccine_administration_dose_2","MB","2021-01-17",2206
"vaccine_administration_dose_2","MB","2021-01-18",2212
"vaccine_administration_dose_2","MB","2021-01-19",2671
"vaccine_administration_dose_2","MB","2021-01-20",3132
"vaccine_administration_dose_2","MB","2021-01-21",3494
"vaccine_administration_dose_2","MB","2021-01-22",3502
"vaccine_administration_dose_2","MB","2021-01-23",3512
"vaccine_administration_dose_2","MB","2021-01-24",3520
"vaccine_administration_dose_2","MB","2021-01-25",4377
"vaccine_administration_dose_2","MB","2021-01-26",5229
"vaccine_administration_dose_2","MB","2021-01-27",6107
"vaccine_administration_dose_2","MB","2021-01-28",6976
"vaccine_administration_dose_2","MB","2021-01-29",7846
"vaccine_administration_dose_2","MB","2021-01-30",8706
"vaccine_administration_dose_2","MB","2021-01-31",9572
"vaccine_administration_dose_2","MB","2021-02-01",10235
"vaccine_administration_dose_2","MB","2021-02-02",10710
"vaccine_administration_dose_2","MB","2021-02-03",11197
"vaccine_administration_dose_2","MB","2021-02-04",12097
"vaccine_administration_dose_2","MB","2021-02-05",13022
"vaccine_administration_dose_2","MB","2021-02-06",13953
"vaccine_administration_dose_2","MB","2021-02-07",14853
"vaccine_administration_dose_2","MB","2021-02-08",16279
"vaccine_administration_dose_2","MB","2021-02-09",17180
"vaccine_administration_dose_2","MB","2021-02-10",18007
"vaccine_administration_dose_2","MB","2021-02-11",18901
"vaccine_administration_dose_2","MB","2021-02-12",20182
"vaccine_administration_dose_2","MB","2021-02-13",20859
"vaccine_administration_dose_2","MB","2021-02-14",21475
"vaccine_administration_dose_2","MB","2021-02-15",21688
"vaccine_administration_dose_2","MB","2021-02-16",22812
"vaccine_administration_dose_2","MB","2021-02-17",23531
"vaccine_administration_dose_2","MB","2021-02-18",24532
"vaccine_administration_dose_2","MB","2021-02-19",25921
"vaccine_administration_dose_2","MB","2021-02-20",26033
