"name","region","date","value"
"hospitalizations","NS","2021-01-19",0
"hospitalizations","NS","2021-01-20",0
"hospitalizations","NS","2021-01-21",0
"hospitalizations","NS","2021-01-22",0
"hospitalizations","NS","2021-01-23",0
"hospitalizations","NS","2021-01-24",0
"hospitalizations","NS","2021-01-25",0
"hospitalizations","NS","2021-01-26",0
"hospitalizations","NS","2021-01-27",0
"hospitalizations","NS","2021-01-28",1
"hospitalizations","NS","2021-01-29",1
"hospitalizations","NS","2021-01-30",1
"hospitalizations","NS","2021-01-31",1
"hospitalizations","NS","2021-02-01",1
"hospitalizations","NS","2021-02-02",1
"hospitalizations","NS","2021-02-03",1
"hospitalizations","NS","2021-02-04",1
"hospitalizations","NS","2021-02-05",1
"hospitalizations","NS","2021-02-06",0
"hospitalizations","NS","2021-02-07",0
"hospitalizations","NS","2021-02-08",0
"hospitalizations","NS","2021-02-09",0
"hospitalizations","NS","2021-02-10",0
"hospitalizations","NS","2021-02-11",0
"hospitalizations","NS","2021-02-12",0
"hospitalizations","NS","2021-02-13",0
"hospitalizations","NS","2021-02-14",0
"hospitalizations","NS","2021-02-15",0
"hospitalizations","NS","2021-02-16",0
"hospitalizations","NS","2021-02-17",0
"hospitalizations","NS","2021-02-18",0
"hospitalizations","NS","2021-02-19",0
"hospitalizations","NS","2021-02-20",0
"hospitalizations","NS","2021-02-21",0
"hospitalizations","NS","2021-02-22",0
"hospitalizations","NS","2021-02-23",0
"hospitalizations","NS","2021-02-24",0
"hospitalizations","NS","2021-02-25",0
"hospitalizations","NS","2021-02-26",0
"hospitalizations","NS","2021-02-27",0
"hospitalizations","NS","2021-02-28",0
"hospitalizations","NS","2021-03-01",0
"hospitalizations","NS","2021-03-02",2
"hospitalizations","NS","2021-03-03",2
"hospitalizations","NS","2021-03-04",3
"hospitalizations","NS","2021-03-05",2
"hospitalizations","NS","2021-03-06",1
"hospitalizations","NS","2021-03-07",1
"hospitalizations","NS","2021-03-08",1
"hospitalizations","NS","2021-03-09",0
"hospitalizations","NS","2021-03-10",1
"hospitalizations","NS","2021-03-11",0
"hospitalizations","NS","2021-03-12",1
"hospitalizations","NS","2021-03-13",1
"hospitalizations","NS","2021-03-14",1
"hospitalizations","NS","2021-03-15",0
"hospitalizations","NS","2021-03-16",0
"hospitalizations","NS","2021-03-17",1
"hospitalizations","NS","2021-03-18",1
"hospitalizations","NS","2021-03-19",0
"hospitalizations","NS","2021-03-20",0
"hospitalizations","NS","2021-03-21",0
"hospitalizations","NS","2021-03-22",0
"hospitalizations","NS","2021-03-23",0
"hospitalizations","NS","2021-03-24",0
"hospitalizations","NS","2021-03-25",0
"hospitalizations","NS","2021-03-26",0
"hospitalizations","NS","2021-03-27",0
"hospitalizations","NS","2021-03-28",1
"hospitalizations","NS","2021-03-29",1
"hospitalizations","NS","2021-03-30",1
"hospitalizations","NS","2021-03-31",1
"hospitalizations","NS","2021-04-01",1
"hospitalizations","NS","2021-04-02",1
"hospitalizations","NS","2021-04-03",1
"hospitalizations","NS","2021-04-04",1
"hospitalizations","NS","2021-04-05",1
"hospitalizations","NS","2021-04-06",1
"hospitalizations","NS","2021-04-07",1
"hospitalizations","NS","2021-04-08",1
"hospitalizations","NS","2021-04-09",1
"hospitalizations","NS","2021-04-10",0
"hospitalizations","NS","2021-04-11",3
"hospitalizations","NS","2021-04-12",3
"hospitalizations","NS","2021-04-13",3
"hospitalizations","NS","2021-04-14",3
"hospitalizations","NS","2021-04-15",4
"hospitalizations","NS","2021-04-16",3
"hospitalizations","NS","2021-04-17",2
"hospitalizations","NS","2021-04-18",2
"hospitalizations","NS","2021-04-19",2
"hospitalizations","NS","2021-04-20",2
"hospitalizations","NS","2021-04-21",3
"hospitalizations","NS","2021-04-22",3
"hospitalizations","NS","2021-04-23",4
"hospitalizations","NS","2021-04-24",5
"hospitalizations","NS","2021-04-25",5
