"name","region","date","value"
"vaccine_administration_dose_1","ON","2020-12-16",466
"vaccine_administration_dose_1","ON","2020-12-17",1196
"vaccine_administration_dose_1","ON","2020-12-18",2246
"vaccine_administration_dose_1","ON","2020-12-19",3360
"vaccine_administration_dose_1","ON","2020-12-20",3417
"vaccine_administration_dose_1","ON","2020-12-21",3496
"vaccine_administration_dose_1","ON","2020-12-22",4328
"vaccine_administration_dose_1","ON","2020-12-23",6798
"vaccine_administration_dose_1","ON","2020-12-24",10588
"vaccine_administration_dose_1","ON","2020-12-25",12529
"vaccine_administration_dose_1","ON","2020-12-26",12553
"vaccine_administration_dose_1","ON","2020-12-27",12630
"vaccine_administration_dose_1","ON","2020-12-28",12883
"vaccine_administration_dose_1","ON","2020-12-29",15338
"vaccine_administration_dose_1","ON","2020-12-30",20180
"vaccine_administration_dose_1","ON","2020-12-31",25920
"vaccine_administration_dose_1","ON","2021-01-01",32161
"vaccine_administration_dose_1","ON","2021-01-02",36713
"vaccine_administration_dose_1","ON","2021-01-03",42102
"vaccine_administration_dose_1","ON","2021-01-04",48094
"vaccine_administration_dose_1","ON","2021-01-05",57755
"vaccine_administration_dose_1","ON","2021-01-06",70078
"vaccine_administration_dose_1","ON","2021-01-07",85583
"vaccine_administration_dose_1","ON","2021-01-08",102607
"vaccine_administration_dose_1","ON","2021-01-09",121025
"vaccine_administration_dose_1","ON","2021-01-10",132349
"vaccine_administration_dose_1","ON","2021-01-11",144010
"vaccine_administration_dose_1","ON","2021-01-12",158165
"vaccine_administration_dose_1","ON","2021-01-13",171964
"vaccine_administration_dose_1","ON","2021-01-14",188699
"vaccine_administration_dose_1","ON","2021-01-15",206706
"vaccine_administration_dose_1","ON","2021-01-16",222624
"vaccine_administration_dose_1","ON","2021-01-17",232625
"vaccine_administration_dose_1","ON","2021-01-18",239315
"vaccine_administration_dose_1","ON","2021-01-19",249014
"vaccine_administration_dose_1","ON","2021-01-20",256207
"vaccine_administration_dose_1","ON","2021-01-21",263046
"vaccine_administration_dose_1","ON","2021-01-22",267334
"vaccine_administration_dose_1","ON","2021-01-23",270349
"vaccine_administration_dose_1","ON","2021-01-24",272164
"vaccine_administration_dose_1","ON","2021-01-25",273182
"vaccine_administration_dose_1","ON","2021-01-26",276018
"vaccine_administration_dose_1","ON","2021-01-27",278855
