"name","region","date","value"
"hospitalizations","SK","2020-03-26",7
"hospitalizations","SK","2020-03-27",6
"hospitalizations","SK","2020-03-28",6
"hospitalizations","SK","2020-03-29",5
"hospitalizations","SK","2020-03-30",5
"hospitalizations","SK","2020-03-31",4
"hospitalizations","SK","2020-04-01",4
"hospitalizations","SK","2020-04-02",4
"hospitalizations","SK","2020-04-03",3
"hospitalizations","SK","2020-04-04",4
"hospitalizations","SK","2020-04-05",4
"hospitalizations","SK","2020-04-06",4
"hospitalizations","SK","2020-04-07",7
"hospitalizations","SK","2020-04-08",8
"hospitalizations","SK","2020-04-09",8
"hospitalizations","SK","2020-04-10",8
"hospitalizations","SK","2020-04-11",8
"hospitalizations","SK","2020-04-12",7
"hospitalizations","SK","2020-04-13",8
"hospitalizations","SK","2020-04-14",7
"hospitalizations","SK","2020-04-15",8
"hospitalizations","SK","2020-04-16",7
"hospitalizations","SK","2020-04-17",6
"hospitalizations","SK","2020-04-18",5
"hospitalizations","SK","2020-04-19",4
"hospitalizations","SK","2020-04-20",4
"hospitalizations","SK","2020-04-21",5
"hospitalizations","SK","2020-04-22",5
"hospitalizations","SK","2020-04-23",6
"hospitalizations","SK","2020-04-24",5
"hospitalizations","SK","2020-04-25",4
"hospitalizations","SK","2020-04-26",5
"hospitalizations","SK","2020-04-27",7
"hospitalizations","SK","2020-04-28",8
"hospitalizations","SK","2020-04-29",10
"hospitalizations","SK","2020-04-30",10
"hospitalizations","SK","2020-05-01",10
"hospitalizations","SK","2020-05-02",12
"hospitalizations","SK","2020-05-03",14
"hospitalizations","SK","2020-05-04",11
"hospitalizations","SK","2020-05-05",13
"hospitalizations","SK","2020-05-06",13
"hospitalizations","SK","2020-05-07",12
"hospitalizations","SK","2020-05-08",19
"hospitalizations","SK","2020-05-09",15
"hospitalizations","SK","2020-05-10",12
"hospitalizations","SK","2020-05-11",11
"hospitalizations","SK","2020-05-12",11
"hospitalizations","SK","2020-05-13",10
"hospitalizations","SK","2020-05-14",10
"hospitalizations","SK","2020-05-15",9
"hospitalizations","SK","2020-05-16",8
